#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	2.518130539887188E-6
14.0	2.518130539887188E-6
15.0	2.518130539887188E-6
16.0	1.0072522159548751E-5
17.0	1.5108783239323125E-5
18.0	1.7626913779210312E-5
19.0	1.5108783239323125E-5
20.0	7.5543916196615635E-6
21.0	3.777195809830782E-5
22.0	3.525382755842063E-5
23.0	4.784448025785656E-5
24.0	9.065269943593874E-5
25.0	1.1331587429492344E-4
26.0	1.8885979049153905E-4
27.0	3.550564061240934E-4
28.0	4.784448025785657E-4
29.0	9.065269943593877E-4
30.0	0.0015511684125705076
31.0	0.0023745970991136183
32.0	0.003759568896051571
33.0	0.0053636180499597105
34.0	0.008440773569701852
35.0	0.011714343271555197
36.0	0.01639554794520548
37.0	0.021844782433521354
38.0	0.028464947622884776
39.0	0.035200946817083
40.0	0.04153404512489928
41.0	0.047884770346494764
42.0	0.05311744560838034
43.0	0.05678887993553585
44.0	0.05922391216760677
45.0	0.06025634568896052
46.0	0.058340048348106376
47.0	0.05604351329572926
48.0	0.0530847099113618
49.0	0.04979854955680903
50.0	0.04542203867848509
51.0	0.04518029814665592
52.0	0.03386885576148267
53.0	0.033108380338436744
54.0	0.029595588235294117
55.0	0.025480962933118453
56.0	0.02197068896051571
57.0	0.018508259468170828
58.0	0.01529512489927478
59.0	0.012142425463336019
60.0	0.009596595487510073
61.0	0.007765914585012087
62.0	0.006174456083803385
63.0	0.004582997582594681
64.0	0.003583299758259468
65.0	0.0028354149879129737
66.0	0.002241136180499597
67.0	0.0018206083803384368
68.0	0.0014529613215149076
69.0	0.0012238114423851732
70.0	9.694802578565673E-4
71.0	7.90692989524577E-4
72.0	6.547139403706687E-4
73.0	5.464343271555197E-4
74.0	4.331184528605962E-4
75.0	3.147663174858984E-4
76.0	2.971394037066881E-4
77.0	1.787872683319903E-4
78.0	1.4353344077356968E-4
79.0	8.561643835616437E-5
80.0	4.784448025785656E-5
81.0	3.021756647864625E-5
82.0	3.525382755842063E-5
83.0	2.0145044319097503E-5
84.0	2.266317485898469E-5
85.0	1.7626913779210312E-5
86.0	1.2590652699435938E-5
87.0	1.7626913779210316E-5
88.0	2.518130539887188E-6
89.0	1.0072522159548751E-5
90.0	5.036261079774376E-6
91.0	2.518130539887188E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	2.518130539887188E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
