#Coverage	Number of genomic locations
0.0	2.522013849E9
1.0	1.20065173E8
2.0	4.274328E7
3.0	1.8633047E7
4.0	8996015.0
5.0	4776155.0
6.0	2743983.0
7.0	1676284.0
8.0	1078851.0
9.0	727647.0
10.0	505799.0
11.0	361244.0
12.0	262351.0
13.0	194095.0
14.0	145083.0
15.0	110530.0
16.0	84728.0
17.0	65635.0
18.0	51319.0
19.0	41083.0
20.0	33154.0
21.0	27085.0
22.0	22255.0
23.0	19100.0
24.0	16024.0
25.0	14000.0
26.0	12434.0
27.0	10688.0
28.0	9436.0
29.0	8546.0
30.0	7889.0
31.0	7252.0
32.0	6547.0
33.0	5782.0
34.0	5375.0
35.0	4912.0
36.0	4261.0
37.0	4000.0
38.0	3807.0
39.0	3292.0
40.0	3120.0
41.0	2796.0
42.0	2238.0
43.0	1933.0
44.0	1745.0
45.0	1531.0
46.0	1277.0
47.0	1105.0
48.0	1085.0
49.0	828.0
50.0	737.0
51.0	632.0
52.0	623.0
53.0	534.0
54.0	548.0
55.0	554.0
56.0	542.0
57.0	483.0
58.0	382.0
59.0	399.0
60.0	412.0
61.0	509.0
62.0	470.0
63.0	515.0
64.0	516.0
65.0	472.0
66.0	519.0
67.0	532.0
68.0	568.0
69.0	542.0
70.0	530.0
71.0	533.0
72.0	450.0
73.0	446.0
74.0	397.0
75.0	322.0
76.0	298.0
77.0	275.0
78.0	305.0
79.0	664.0
80.0	2242.0
81.0	838.0
82.0	200.0
83.0	30.0
84.0	2.0
