#Position (bp)	mapping quality
3406923.0	39.8333844858193
1.0220768E7	39.30648217757039
1.7034613E7	38.396230944843495
2.3848458E7	34.816767054299255
3.0662303E7	38.13978110899231
3.7476148E7	40.1804187474707
4.4289993E7	40.09051806138784
5.1103838E7	38.21017646985875
5.7917683E7	39.973935850264645
6.4731528E7	40.36893311437138
7.1545373E7	37.870348842825905
7.8359218E7	40.69149220369225
8.5173063E7	38.56495845970749
9.1986908E7	40.52062228583952
9.8800753E7	39.40594586532598
1.05614598E8	36.707266827487565
1.12428443E8	39.948230863960035
1.19242288E8	39.71305421918912
1.26056133E8	40.326959660786414
1.300790245E8	34.0984297631262
1.33485947E8	38.61989233980121
1.39683823E8	40.25425138276465
1.46497668E8	32.918495346232575
1.53311513E8	40.59832914485631
1.60125358E8	39.930422506806494
1.66939203E8	40.21694524623099
1.73753048E8	40.51068746797647
1.80566893E8	39.69397760533226
1.87380738E8	40.726545462334535
1.94194583E8	40.84205331526104
2.01008428E8	40.433081973233264
2.07822273E8	40.8284162697963
2.14636118E8	39.47175502760609
2.21449963E8	39.967438039038186
2.28263808E8	40.71180062494858
2.35077653E8	40.154876345355554
2.41891498E8	40.92148361229652
2.48705343E8	40.698854225117415
2.52444901E8	40.93085559221028
2.558518235E8	39.79631991943267
2.62333033E8	38.31681711506912
2.69146878E8	38.461911632562604
2.75960723E8	33.45311266339152
2.82774568E8	40.38193980157837
2.89588413E8	37.48021932284975
2.96402258E8	35.60699919121403
3.03216103E8	39.18416588847235
3.10029948E8	34.524012467742835
3.16843793E8	37.892171472892535
3.23657638E8	39.40113701104283
3.30471483E8	39.98215103630699
3.37285328E8	40.502712983808706
3.44099173E8	37.18005454369932
3.50913018E8	40.25750994192728
3.57726863E8	40.969190527815975
3.64540708E8	40.42325611198111
3.704270945E8	38.2880848588386
3.73834017E8	0.0
3.78168398E8	36.09960287646238
3.84982243E8	38.611384368917896
3.91796088E8	39.42087415832182
3.98609933E8	38.03256658700097
4.05423778E8	40.78095645473121
4.12237623E8	40.76170370251179
4.19051468E8	40.829002400960825
4.25865313E8	40.26426429167668
4.32679158E8	35.497229697387866
4.39493003E8	37.802329001393595
4.46306848E8	38.95132788261376
4.53120693E8	37.19464906184851
4.59934538E8	36.12039527321457
4.66748383E8	40.06017056576054
4.73562228E8	39.57868870159935
4.80376073E8	39.94403371848419
4.87189918E8	38.851128481230724
4.91962519E8	37.53099923000566
4.953694415E8	1.8324616307982509
5.00817608E8	31.60105474519941
5.07631453E8	38.64852212869468
5.14445298E8	38.013885625675485
5.21259143E8	40.71810078232585
5.28072988E8	39.96408654036309
5.34886833E8	29.558985200845665
5.41700678E8	39.19975718507743
5.48514523E8	39.456239432202786
5.55328368E8	40.56520406784306
5.62142213E8	30.148410678679394
5.68956058E8	40.171971558664275
5.75769903E8	38.88601157564986
5.82583748E8	34.88150263181419
5.89397593E8	38.14673740459687
5.96211438E8	38.295603370870104
6.03025283E8	15.370132743362833
6.09839128E8	36.284970316298406
6.15738246E8	40.082757848281645
6.191451685E8	0.0
6.23466818E8	39.233006998294414
6.30280663E8	39.84216462005292
6.37094508E8	14.313124401259067
6.43908353E8	39.309929453822654
6.50722198E8	39.07759926619798
6.57536043E8	39.557904321350506
6.64349888E8	34.55398838041742
6.71163733E8	40.6954336266437
6.77977578E8	40.43638838245453
6.84791423E8	40.4839244564028
6.91605268E8	40.49133474529422
6.98419113E8	40.41609000730449
7.05232958E8	39.96096370918801
7.12046803E8	40.01995144472784
7.18860648E8	40.26100990508677
7.222708485E8	0.0
7.25677771E8	40.27726758122561
7.32488338E8	39.37192849588295
7.39302183E8	40.26291502014649
7.46116028E8	39.40827127415724
7.52929873E8	40.715514304189675
7.59743718E8	39.900697508326715
7.66557563E8	40.09895688232647
7.73371408E8	39.58502150245122
7.80185253E8	37.80746600194052
7.86999098E8	34.369251085018334
7.93812943E8	27.377690326968857
8.00626788E8	38.57740505859009
8.07440633E8	39.257554974092535
8.14254478E8	40.53583772063193
8.190716475E8	37.14730334189636
8.2247857E8	32.71608713368263
8.27882168E8	33.294936025401604
8.34696013E8	35.87427926467116
8.41509858E8	38.43231453858216
8.48323703E8	40.575044828555335
8.55137548E8	38.06697473771324
8.61951393E8	35.4520632971046
8.68765238E8	40.59340975002703
8.75579083E8	40.04624080938618
8.82392928E8	39.05340145865095
8.89206773E8	39.58886073379662
8.96020618E8	40.241046862698944
9.02834463E8	39.563914763046384
9.09648308E8	39.216387104060296
9.14262198E8	31.392881034674993
9.176691205E8	35.73864159112434
9.23275998E8	39.418995125615716
9.30089843E8	38.51627438060748
9.36903688E8	37.97901023619122
9.43717533E8	34.08225388242969
9.50531378E8	40.63338080280642
9.57345223E8	39.709089571784226
9.64159068E8	39.27203706653032
9.70972913E8	38.61412819992653
9.77786758E8	40.46820445504374
9.84600603E8	39.748226975181154
9.91414448E8	40.083984572300004
9.98228293E8	40.62605472749443
1.00390351E9	37.470582995443856
1.0073104325E9	0.0
1.011855983E9	40.22617396121784
1.018669828E9	40.03124506352772
1.025483673E9	39.13841981263652
1.032297518E9	40.287385159010604
1.039111363E9	39.36162066735926
1.045925208E9	40.30125293395209
1.052739053E9	40.7890603446215
1.059552898E9	39.94900139537554
1.0652815955E9	40.01292897586789
1.068688518E9	0.0
1.073180588E9	35.35593072244531
1.079994433E9	39.066169141278735
1.086808278E9	39.7145947100244
1.093622123E9	23.8268469837887
1.100435968E9	39.030165925022054
1.107249813E9	40.90920722764388
1.114063658E9	37.834658943158686
1.120877503E9	39.503034429241794
1.127691348E9	39.376764806480566
1.134505193E9	38.43037368457447
1.141319038E9	39.78950447367627
1.148132883E9	40.148561801086075
1.154946728E9	38.25952088434129
1.161760573E9	40.04779318289252
1.168574418E9	32.57988869076566
1.175388263E9	39.9845997593967
1.182202108E9	15.225218715321686
1.189015953E9	39.674514767753266
1.195829798E9	40.09162513458015
1.202643643E9	40.46510153234705
1.209457488E9	38.612059863444635
1.216271333E9	38.746032997310145
1.223085178E9	40.28621799574499
