#Duplication rate	Coverage
1.0	1.1466118E7
2.0	1882144.0
3.0	369851.0
4.0	97272.0
5.0	32577.0
6.0	13514.0
7.0	6596.0
8.0	3532.0
9.0	2191.0
10.0	1435.0
11.0	1003.0
12.0	787.0
13.0	568.0
14.0	460.0
15.0	385.0
16.0	365.0
17.0	300.0
18.0	270.0
19.0	209.0
20.0	172.0
21.0	165.0
22.0	160.0
23.0	152.0
24.0	117.0
25.0	118.0
26.0	140.0
27.0	112.0
28.0	92.0
29.0	80.0
30.0	90.0
31.0	93.0
32.0	75.0
33.0	93.0
34.0	72.0
35.0	74.0
36.0	78.0
37.0	59.0
38.0	64.0
39.0	52.0
40.0	39.0
41.0	64.0
42.0	53.0
43.0	45.0
44.0	58.0
45.0	35.0
46.0	42.0
47.0	26.0
48.0	50.0
49.0	30.0
50.0	7389.0
