#Mapping quality	mapping quality
0.0	193267.0
1.0	7808098.0
2.0	50786.0
3.0	55877.0
4.0	28540.0
5.0	18987.0
6.0	185600.0
7.0	103048.0
8.0	82109.0
9.0	30848.0
10.0	33209.0
11.0	82766.0
12.0	191956.0
13.0	19526.0
14.0	46676.0
15.0	117251.0
16.0	81033.0
17.0	143592.0
18.0	150390.0
19.0	31693.0
20.0	49583.0
21.0	244512.0
22.0	74720.0
23.0	293544.0
24.0	493163.0
25.0	115128.0
26.0	99079.0
27.0	96461.0
28.0	144168.0
29.0	118564.0
30.0	847637.0
31.0	727072.0
32.0	885252.0
33.0	499754.0
34.0	783958.0
35.0	611219.0
36.0	672037.0
37.0	645565.0
38.0	835333.0
39.0	757459.0
40.0	1995442.0
41.0	4753898.0
42.0	1.07148136E8
