#Mapping quality	mapping quality
0.0	286189.0
1.0	1.0595597E7
2.0	77227.0
3.0	87373.0
4.0	49532.0
5.0	33556.0
6.0	257638.0
7.0	148211.0
8.0	116043.0
9.0	54260.0
10.0	60352.0
11.0	123054.0
12.0	276429.0
13.0	36392.0
14.0	85885.0
15.0	180416.0
16.0	133469.0
17.0	215671.0
18.0	218367.0
19.0	64349.0
20.0	92991.0
21.0	363281.0
22.0	127483.0
23.0	377672.0
24.0	617333.0
25.0	199122.0
26.0	178267.0
27.0	181120.0
28.0	266160.0
29.0	220327.0
30.0	1220313.0
31.0	1021938.0
32.0	1192257.0
33.0	796054.0
34.0	1067622.0
35.0	915838.0
36.0	1086764.0
37.0	1103623.0
38.0	1448382.0
39.0	1490045.0
40.0	3227326.0
41.0	9822796.0
42.0	1.51106476E8
