#Mapping quality	mapping quality
0.0	644252.0
1.0	2.0933927E7
2.0	159847.0
3.0	170541.0
4.0	90379.0
5.0	58877.0
6.0	519018.0
7.0	251736.0
8.0	215570.0
9.0	97461.0
10.0	120703.0
11.0	235678.0
12.0	477799.0
13.0	62489.0
14.0	157844.0
15.0	391244.0
16.0	303876.0
17.0	383894.0
18.0	374255.0
19.0	109555.0
20.0	174400.0
21.0	810998.0
22.0	243360.0
23.0	761399.0
24.0	1170459.0
25.0	365686.0
26.0	330225.0
27.0	333601.0
28.0	543575.0
29.0	407193.0
30.0	2289154.0
31.0	2075784.0
32.0	2407706.0
33.0	1624268.0
34.0	2097019.0
35.0	1869826.0
36.0	2264885.0
37.0	2278325.0
38.0	3001362.0
39.0	2850684.0
40.0	5084487.0
41.0	1.4315874E7
42.0	2.91337752E8
