#Mapping quality	mapping quality
0.0	137519.0
1.0	5342832.0
2.0	37309.0
3.0	44519.0
4.0	20945.0
5.0	12816.0
6.0	140480.0
7.0	79436.0
8.0	70199.0
9.0	26204.0
10.0	25871.0
11.0	67650.0
12.0	158337.0
13.0	15413.0
14.0	42525.0
15.0	93031.0
16.0	63386.0
17.0	131713.0
18.0	132663.0
19.0	28384.0
20.0	40160.0
21.0	207167.0
22.0	65658.0
23.0	273886.0
24.0	458208.0
25.0	102151.0
26.0	81666.0
27.0	78399.0
28.0	114875.0
29.0	97015.0
30.0	707131.0
31.0	632081.0
32.0	780270.0
33.0	447060.0
34.0	682444.0
35.0	523499.0
36.0	562489.0
37.0	531571.0
38.0	663351.0
39.0	557058.0
40.0	1791994.0
41.0	3670607.0
42.0	9.8295613E7
