#Coverage (X)	Coverage
1.0	10.060850822898686
2.0	4.74285112512969
3.0	2.5069049962926755
4.0	1.4135780414341355
5.0	0.8464439241621022
6.0	0.5351715063747946
7.0	0.3543591090246565
8.0	0.24323138422930413
9.0	0.17212064442760777
10.0	0.12483129617680788
11.0	0.09246395779679517
12.0	0.06980963872342727
13.0	0.05361940202190851
14.0	0.04182884767899964
15.0	0.033120914462756446
16.0	0.02662645276393505
17.0	0.021719494349042634
18.0	0.01799788003587821
19.0	0.01508861919894855
20.0	0.012826019760254326
21.0	0.01102608132762839
22.0	0.009570772144002149
23.0	0.008384951072159197
24.0	0.007413913309548548
25.0	0.006603541093781473
26.0	0.0059304628894807365
27.0	0.005360006638710502
28.0	0.004860105274104853
29.0	0.004424154594161678
30.0	0.004042138226580505
31.0	0.00369339969662974
32.0	0.0033836626456178465
33.0	0.0031016265509578034
34.0	0.0028449065621032332
35.0	0.002621391030857012
36.0	0.002415596773673201
37.0	0.002226496470328243
38.0	0.0020536865307150265
39.0	0.001893351193956505
40.0	0.0017398401987662737
41.0	0.0016064720181958592
42.0	0.0014935034822940452
43.0	0.0013837636671354403
44.0	0.0012799676333372645
45.0	0.001193636043552715
46.0	0.001111927394816803
47.0	0.0010348416871437394
48.0	9.650572911397148E-4
49.0	8.987217559308647E-4
50.0	8.399076724430188E-4
51.0	7.854596999550267E-4
