#Coverage (X)	Coverage
1.0	4.157553252293724
2.0	1.6211275853036113
3.0	0.8619937367668058
4.0	0.5150151164540802
5.0	0.33476880924371244
6.0	0.23142875887363346
7.0	0.16725969528326345
8.0	0.1248342680674881
9.0	0.09564600884625918
10.0	0.07460773788336894
11.0	0.05902872003197501
12.0	0.04739563920516332
13.0	0.03855675934890712
14.0	0.03170673477858088
15.0	0.026305561950394463
16.0	0.022063793387999908
17.0	0.01867040789008456
18.0	0.015939827394120698
19.0	0.013713074093644195
20.0	0.011878940573183172
21.0	0.010338804090110898
22.0	0.009041702222759795
23.0	0.007959530424685113
24.0	0.007035676012890235
25.0	0.006228275687803375
26.0	0.005530395037823155
27.0	0.004930329950255441
28.0	0.004410139011000069
29.0	0.0039644287888194185
30.0	0.0035681766979820395
31.0	0.003232059530930087
32.0	0.002937768973467314
33.0	0.002682626654973319
34.0	0.0024591845037491566
35.0	0.0022682130099695996
36.0	0.0020896794290479193
37.0	0.0019334900632372864
38.0	0.0017917932507600653
39.0	0.0016587919702715226
40.0	0.0015328718614000536
41.0	0.0014104373033347883
42.0	0.001299670167938416
43.0	0.0011967913843591305
44.0	0.0011018376425937504
45.0	0.00101191043198412
46.0	9.305319933332612E-4
47.0	8.510614351138202E-4
48.0	7.694628564109962E-4
49.0	6.90946238407264E-4
50.0	6.157684111798289E-4
51.0	5.515608964543617E-4
