name,KO-24h_vs_KO-0h,KO-48h_vs_KO-0h,KO-6h_vs_KO-0h,WT-0h_vs_KO-0h,WT-24h_vs_KO-24h,WT-24h_vs_WT-0h,WT-48h_vs_KO-48h,WT-48h_vs_WT-0h,WT-6h_vs_KO-6h,WT-6h_vs_WT-0h
ENSMUSE00000098340,0.962424146761431,0.922486054765856,0.215687432717644,0.999866984423426,0.82134862486272,0.156453579019268,0.974154810863086,0.619226603546454,NA,0.554653441526677
ENSMUSE00000098418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000099322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000099726,0.939852337734111,0.684988957499898,NA,NA,NA,0.598200613165205,NA,0.0794388704758488,NA,NA
ENSMUSE00000100732,0.985791366634468,0.690403675881936,0.229134809229611,NA,0.864477216122017,0.817357350753593,0.981483880827778,0.877830085005564,NA,0.209689533804539
ENSMUSE00000102087,0.261343510779604,0.0116370405527081,0.0392100639491717,0.999866984423426,0.286026256949567,0.00397617927525271,0.456958318412722,0.176715186782854,NA,0.00550912378286989
ENSMUSE00000102166,0.555186754296967,0.666073591654788,NA,NA,NA,0.299158292949005,NA,0.816072759068599,NA,0.766494827348943
ENSMUSE00000102451,0.544096339664557,0.883911761797797,NA,NA,NA,0.607884197703031,NA,0.872624257091219,NA,NA
ENSMUSE00000102616,0.90111106182651,0.374848500802007,0.0445098642382599,0.999866984423426,0.953128349333105,0.943506747960014,0.912819331605255,0.708786853198793,NA,0.0591009102544621
ENSMUSE00000102813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000104604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000104993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000105392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000105758,0.187394786411693,0.948578874394768,NA,NA,NA,0.320359782979094,0.828636413745228,0.549896051393649,NA,0.579809625239927
ENSMUSE00000106455,0.948959215978799,0.964353206220285,NA,NA,NA,0.474408047126526,NA,0.503962632239055,NA,NA
ENSMUSE00000107004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000107752,0.272700703761342,0.983606063429272,0.376475539859101,NA,NA,0.583178624551885,0.993489578761967,0.90914460408551,NA,0.786648260107086
ENSMUSE00000107902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000109894,0.245033087573629,0.199117702844993,NA,NA,NA,0.446172193663599,NA,0.131825248852853,NA,NA
ENSMUSE00000110147,0.202243931555587,0.5039781311361,NA,NA,NA,0.00939861722142928,NA,0.192978384827875,NA,0.324221847071829
ENSMUSE00000110548,0.011166103381706,0.688297397962925,0.647296455835558,0.999866984423426,0.839973388181632,0.710337726464985,0.979554317680577,0.93529089687954,NA,0.075951691649351
ENSMUSE00000111715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000112192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000112455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000112784,NA,NA,NA,NA,NA,NA,NA,0.558854899378133,NA,NA
ENSMUSE00000113370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000113557,0.987259995000289,0.747183807361862,NA,NA,NA,0.905012801909933,NA,0.928561350832744,NA,NA
ENSMUSE00000113742,0.871375797877159,0.879281521234286,NA,NA,NA,0.429174500330688,NA,0.987792032985117,NA,NA
ENSMUSE00000115069,0.851183857970857,0.635352263707581,NA,NA,NA,0.654204360785029,NA,0.266131174818492,NA,NA
ENSMUSE00000115463,NA,NA,NA,NA,NA,0.345112816299359,NA,0.537936767115894,NA,NA
ENSMUSE00000115681,0.967430361546964,0.72856028586608,NA,NA,NA,0.976285699099006,NA,0.573021856651181,NA,0.625927631171588
ENSMUSE00000116533,0.0876958533236363,0.567934415251471,0.0738878165044988,0.999866984423426,0.472457643364729,1.99189992651592e-05,0.844808143971547,0.8110016443681,0.976461572676279,0.0497751068304488
ENSMUSE00000117048,0.996490549135945,0.866251014428296,NA,NA,NA,0.322894608541801,0.968401112723276,0.6229826402499,NA,0.817807180138204
ENSMUSE00000117198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000117220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000118134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000119284,0.589703939038476,0.720805391381253,0.276760415858362,NA,NA,0.828152718880338,0.974154810863086,0.955946150220458,NA,0.116968911670536
ENSMUSE00000120474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000121140,NA,NA,NA,NA,NA,0.882901861949642,NA,0.89450407090192,NA,NA
ENSMUSE00000123264,NA,NA,NA,NA,NA,NA,NA,0.87765599073021,NA,NA
ENSMUSE00000123469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000123611,0.0780393176807203,0.0182675776257904,0.423057400468356,0.999866984423426,0.999257625028908,0.352717078360312,0.998185975064521,0.117119006264015,NA,0.938602236967088
ENSMUSE00000124868,NA,NA,NA,NA,NA,NA,NA,0.900312725375501,NA,NA
ENSMUSE00000125819,0.93847964472376,0.819567906731497,NA,NA,NA,0.580900300028388,NA,0.966728297878842,NA,NA
ENSMUSE00000126670,0.799836288687949,0.628047752482171,NA,NA,NA,0.621326559360077,NA,0.112862728054068,NA,0.902346687160522
ENSMUSE00000126699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000127656,0.928817182527927,0.817627899671196,0.518455079042236,NA,0.821657826084259,0.674805541248209,0.988937661526285,0.88663708460635,NA,0.424839034578288
ENSMUSE00000127659,0.24783887914947,0.880785327240701,0.0965570129241319,0.999866984423426,0.851321677040491,0.00423280816917407,0.984727682842815,0.731923742082726,NA,0.000839041306793522
ENSMUSE00000127956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000128289,0.987373098878153,0.204902980539726,1,NA,NA,0.935671853326013,0.988937661526285,0.39677336305666,NA,0.265951284264182
ENSMUSE00000128592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000131999,0.987642889977144,0.591394558110504,NA,NA,NA,0.604797739503824,NA,0.94174733788101,NA,NA
ENSMUSE00000132116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000132382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000132847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000133942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000134080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000136286,7.04053267002484e-07,0.000106950996370817,0.000796759413777784,0.999866984423426,0.840795959495471,4.50507227246656e-12,0.906857607341978,3.45717397644225e-09,NA,1.08819477362633e-06
ENSMUSE00000136545,0.96360392444107,0.93715378397209,NA,NA,NA,0.953231232872165,NA,0.393645294443546,NA,0.387517958635093
ENSMUSE00000136709,0.189701951544152,0.132982236756806,0.955222606987317,NA,NA,0.0020036549236599,0.965356336313172,0.00699574734454705,NA,0.328580708979342
ENSMUSE00000136880,0.266745170802513,0.508577593547552,0.0783279648681496,NA,0.936529420485106,0.250552279410651,0.793096885549774,0.644316558408457,NA,0.208123326579396
ENSMUSE00000137347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000137351,0.00292989330763922,0.361683030808535,NA,NA,NA,0.00412912212467587,0.992523902805211,0.250191487347347,NA,0.020930955337399
ENSMUSE00000137925,0.348826773492008,0.912873631189234,NA,NA,NA,0.455217348668628,NA,0.327541552678038,NA,0.634996703261886
ENSMUSE00000138189,0.125994687648041,0.226778025634786,NA,NA,NA,0.209012306351126,0.992523902805211,0.367226131381448,NA,0.446616228090776
ENSMUSE00000138681,0.504192350709314,5.05952300225933e-06,0.779140589457035,0.999866984423426,0.00670714612427005,0.144664282399617,0.00302113691677318,1.6511404396068e-14,0.0778136498571013,0.00861323454551323
ENSMUSE00000139470,0.00838292635856393,0.810966270477301,0.0374311376775077,0.999866984423426,0.953128349333105,0.00966766676543557,0.905477595468909,0.121040336655329,NA,0.000703660741635006
ENSMUSE00000139943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000141513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000142731,0.808879051588269,0.735586892541287,NA,NA,NA,0.927072597025228,0.993489578761967,0.886167575089808,NA,0.270308607192716
ENSMUSE00000142856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000144259,NA,NA,NA,NA,NA,NA,NA,0.523773207915941,NA,NA
ENSMUSE00000144582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000146604,0.00408163322538143,0.00533524651959545,0.0486137838258622,NA,0.996245945613722,0.0152943433610202,0.974154810863086,0.00230807137672793,NA,0.0249367304191383
ENSMUSE00000146649,2.11055978867044e-05,0.282708902927709,2.48101721442809e-06,0.999866984423426,0.870583491414448,2.31909518144106e-06,0.793096885549774,0.0224092737365503,0.983930324001753,2.27617051507901e-07
ENSMUSE00000147002,0.0301327842236461,0.0407561752299687,0.180237149196572,NA,0.510456694605136,0.761210879168942,0.935296508265551,0.0850378275441752,NA,0.0390380228877621
ENSMUSE00000147348,0.000732312929627809,0.535407733964199,0.288606388918281,0.999866984423426,0.953128349333105,0.00892186612183163,0.991325248946578,0.0889073014767981,NA,0.0212210150619886
ENSMUSE00000147428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000148199,0.894502167085205,0.998034824685666,NA,NA,NA,0.929398613847045,NA,0.987540540991797,NA,0.274105398952033
ENSMUSE00000148587,0.151756071776995,0.0386828805040945,0.710114565867031,NA,0.910418376279833,0.219836049208117,0.965356336313172,0.430082251840636,NA,0.930360750633211
ENSMUSE00000149766,0.995297142210869,0.966212059025136,0.336947947747793,0.999866984423426,0.860239556555598,0.608776783303204,0.894446308999392,0.549896051393649,NA,0.328279961644338
ENSMUSE00000150015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000150064,0.644781511454056,0.883866569456209,NA,NA,NA,0.772550868057817,0.965356336313172,0.506713596985798,NA,0.00125021682777828
ENSMUSE00000150396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSMUSE00000150541,0.270590556056848,0.469556074528164,NA,NA,NA,0.806885689219431,NA,0.552496899440917,NA,0.550915438105134
ENSMUSE00000151494,0.141626601918592,0.56831859191217,5.91533001061725e-11,0.999866984423426,0.603924756455915,1.99420026708022e-06,0.935296508265551,0.313727660203127,NA,8.60628557699408e-16
ENSMUSE00000153160,0.969677310625816,0.887717262654296,0.272329741232235,NA,0.864477216122017,0.848334983633278,0.988937661526285,0.808582038613726,NA,0.140944859491409
ENSMUSE00000153980,0.272700703761342,0.136390844595729,NA,NA,NA,0.268678451272388,0.933047639179603,0.483675682534315,NA,0.418746557260656
ENSMUSE00000154469,0.038124357703968,0.719136253345111,0.203812026375232,0.999866984423426,0.894661321589697,0.0661441711480357,0.908091512709487,0.572279229712351,NA,0.000780316238077524
ENSMUSE00000154608,0.00101940381585789,0.000636032868160584,0.260717594999077,NA,0.864477216122017,0.00524580034139239,0.763976476663219,0.00667138255559648,NA,0.0306115795286086
ENSMUSE00000156801,0.985791366634468,0.841038003279259,0.529646336281185,NA,0.813369120246832,0.731847132585916,0.998185975064521,0.678550025923285,NA,0.0664839252239443
