name,KO-24h_vs_KO-0h,KO-48h_vs_KO-0h,KO-6h_vs_KO-0h,WT-0h_vs_KO-0h,WT-24h_vs_KO-24h,WT-24h_vs_WT-0h,WT-48h_vs_KO-48h,WT-48h_vs_WT-0h,WT-6h_vs_KO-6h,WT-6h_vs_WT-0h
ENSMUSE00000098340,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213,21.5742264567213
ENSMUSE00000099726,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179,2.06447763177179
ENSMUSE00000101796,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583,30.6118113935583
ENSMUSE00000102087,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654,12.9938969495654
ENSMUSE00000102451,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121,2.0761544728121
ENSMUSE00000102616,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989,12.249287628989
ENSMUSE00000105272,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754,5.23685883601754
ENSMUSE00000105758,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412,3.8345241934412
ENSMUSE00000107752,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672,5.74337922635672
ENSMUSE00000109894,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317,2.28665074268317
ENSMUSE00000110147,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061,3.10689857411061
ENSMUSE00000110548,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541,14.7416324125541
ENSMUSE00000111715,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362,1.68379737099362
ENSMUSE00000114502,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404,14.4920731580404
ENSMUSE00000116533,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993,62.5338064854993
ENSMUSE00000119116,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067,108.162652942067
ENSMUSE00000119284,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528,5.07754414905528
ENSMUSE00000123611,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991,11.6765132164991
ENSMUSE00000126670,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864,3.27453902490864
ENSMUSE00000127659,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768,22.7889970808768
ENSMUSE00000132047,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234,41.4504895187234
ENSMUSE00000134156,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668,258.98153772668
ENSMUSE00000136286,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819,38.5968911382819
ENSMUSE00000136709,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352,4.77785231016352
ENSMUSE00000136880,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889,6.08259784360889
