exonID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSE00000221639,45.41817818,1.085528744,0.434949086,2.49576049,0.012568743,0.062284293,Fam216a
ENSMUSE00000222185,17.79062397,1.933556183,0.73363877,2.635569795,0.008399615,0.045114794,Tnfsf8
ENSMUSE00000226239,2550.774698,1.769285543,0.192073673,9.211494319,3.22E-20,4.46E-18,Angpt2
ENSMUSE00000240815,16.49184874,2.01438034,0.577191691,3.48996767,0.000483079,0.0040844,Tstd3
ENSMUSE00000247114,47.2070321,0.988968736,0.488860323,2.023008802,0.04307224,0.160600812,Slc25a29
ENSMUSE00000254484,47.16579479,1.345920149,0.519280212,2.591895703,0.00954487,0.050003536,Slurp1
ENSMUSE00000267076,82.91691633,0.833264436,0.392315728,2.123963879,0.033673164,0.133665962,Nudt4
ENSMUSE00000270492,8.103225083,3.081630002,1.030948521,2.989121125,0.002797812,0.018373944,Thrsp
ENSMUSE00000276779,45.52269397,1.182975147,0.583081665,2.028832698,0.042475334,0.158972243,4921507P07Rik
ENSMUSE00000283485,20.41373078,0.989725209,0.496919678,1.9917207,0.046401711,0.168326305,Itih2
ENSMUSE00000284333,11.59800645,2.371595676,0.725857464,3.26730218,0.001085777,0.008233522,Etf1
ENSMUSE00000289096,12.35958624,1.75263367,0.740665555,2.366295636,0.017967091,0.082102781,Lrrc46
ENSMUSE00000315219,13.03824708,1.242064638,0.542829439,2.288130576,0.022129918,0.097389625,Gnpnat1
ENSMUSE00000321855,25.67938847,1.058346872,0.509903502,2.07558267,0.037932566,0.145818217,Map2k1
ENSMUSE00000326613,417.2428391,1.419146497,0.435617625,3.257780255,0.001122873,0.00847092,Lrrn3
ENSMUSE00000330981,499.0135376,5.15939624,0.55110546,9.361903687,7.83E-21,1.20E-18,Tnc
ENSMUSE00000331655,2.245257075,4.762638157,1.579685985,3.014927144,0.00257041,0.017241719,Wdr54
ENSMUSE00000335434,5.920390892,2.679238635,0.999475533,2.680644543,0.007348052,0.040437686,C1ql3
ENSMUSE00000337095,1.360617935,4.097488677,1.835244021,2.232666953,0.025570915,1,Kpna4
ENSMUSE00000337750,52.460901,4.06312966,0.557084983,7.293554455,3.02E-13,1.76E-11,Lurap1
ENSMUSE00000337960,4.034149568,4.386459334,1.51946784,2.886839207,0.00389133,0.024220177,Ccl3
ENSMUSE00000339896,182.1744623,1.769564675,0.38336669,4.61585401,3.91E-06,6.11E-05,Ppm1e
ENSMUSE00000340228,12.35368166,2.75050083,0.7174049,3.833958804,0.000126097,0.001289439,Ddx28
ENSMUSE00000342839,4.054833482,3.089271643,1.227585915,2.516542106,0.011851274,0.059395972,Rasd1
ENSMUSE00000345982,13.21732801,1.552828986,0.728131371,2.132622007,0.032955747,0.131701378,Tmem88
ENSMUSE00000346128,143.5211308,0.720172941,0.294724423,2.443546868,0.01454368,0.069712447,Hexb
ENSMUSE00000349659,21.91570697,1.448892211,0.536299764,2.701646186,0.006899714,0.038553609,Dnajb7
ENSMUSE00000350205,39.85613661,2.101785453,0.532215809,3.949122547,7.84E-05,0.000854145,Ddx19b
ENSMUSE00000350363,5.05875162,4.479057708,1.592408269,2.812757126,0.004911874,0.029330902,Alas1
ENSMUSE00000350587,1.323665445,3.970091118,1.842385639,2.154864343,0.031172451,1,Rhbdf2
ENSMUSE00000351329,4.448465515,3.996847715,1.303478065,3.066294571,0.002167297,0.014881272,Tbkbp1
ENSMUSE00000351508,5.926619821,2.448124596,0.929793068,2.632977897,0.008463986,0.045378695,Aldob
ENSMUSE00000352119,2.591165468,4.02900384,1.644667042,2.449738298,0.014296008,0.068728144,Taok2
ENSMUSE00000352917,80.19485335,2.065247702,0.42997415,4.803190384,1.56E-06,2.68E-05,Gla
ENSMUSE00000357642,40.33182851,6.306383541,0.793595887,7.946593026,1.92E-15,1.53E-13,Cdc23
ENSMUSE00000361602,33.12005456,1.330320077,0.442800468,3.004333041,0.002661638,0.017699162,Slc26a1
