#Position (bp)	insert size
3406923.0	258.7165742452249
1.0220768E7	233.343329368309
1.7034613E7	233.39157990040744
2.3848458E7	236.95392716103555
3.0662303E7	236.84803517449848
3.7476148E7	235.2611852433281
4.4289993E7	235.28532160527763
5.1103838E7	233.4251881363435
5.7917683E7	234.17124949454103
6.4731528E7	247.63450543167525
7.1545373E7	236.58539682539683
7.8359218E7	256.72123521332685
8.5173063E7	280.9587516960651
9.1986908E7	250.31744025735293
9.8800753E7	249.2221570926143
1.05614598E8	250.9278810408922
1.12428443E8	241.14851898206092
1.19242288E8	252.8104831188211
1.26056133E8	275.2980610381706
1.300790245E8	250.64678899082568
1.33485947E8	240.50091296409008
1.39683823E8	250.61142773637295
1.46497668E8	248.97222222222223
1.53311513E8	232.63396648044693
1.60125358E8	276.60955056179773
1.66939203E8	239.52243807927948
1.73753048E8	239.10300480769232
1.80566893E8	246.61225312374043
1.87380738E8	242.0310866822851
1.94194583E8	241.45253884046988
2.01008428E8	268.62442439916737
2.07822273E8	241.90249026215588
2.14636118E8	244.26913118527042
2.21449963E8	231.80519337624472
2.28263808E8	251.662753969609
2.35077653E8	238.63274879576866
2.41891498E8	222.70181758637628
2.48705343E8	255.0805129761724
2.52444901E8	236.18636363636364
2.558518235E8	233.47400916152162
2.62333033E8	248.44958301743745
2.69146878E8	271.02737603305786
2.75960723E8	245.09007134363853
2.82774568E8	245.11782560706402
2.89588413E8	247.46124146124146
2.96402258E8	240.94298009682626
3.03216103E8	265.0592738947888
3.10029948E8	236.01502321770008
3.16843793E8	255.77165354330708
3.23657638E8	225.5076876996805
3.30471483E8	234.06272581292654
3.37285328E8	235.32776959581082
3.44099173E8	237.5900549291703
3.50913018E8	235.13511282333516
3.57726863E8	236.1612028357996
3.64540708E8	242.14379164142943
3.704270945E8	243.68172757475082
3.73834017E8	0.0
3.78168398E8	299.6876993166287
3.84982243E8	164.84718982650094
3.91796088E8	240.76258823529412
3.98609933E8	239.05373032169746
4.05423778E8	227.9182857142857
4.12237623E8	232.7891927951968
4.19051468E8	226.76318554787935
4.25865313E8	240.9240385450126
4.32679158E8	245.89684863096264
4.39493003E8	237.69649300043295
4.46306848E8	249.26633285646162
4.53120693E8	242.26640548481882
4.59934538E8	238.01894353369764
4.66748383E8	243.26008428657434
4.73562228E8	240.53852218968237
4.80376073E8	234.9221971006783
4.87189918E8	239.37144756523185
4.91962519E8	284.8543990086741
4.953694415E8	269.4496644295302
5.00817608E8	238.0183611016661
5.07631453E8	252.88348271446864
5.14445298E8	466.83295136236313
5.21259143E8	258.9862007168459
5.28072988E8	242.03706609139047
5.34886833E8	252.4931506849315
5.41700678E8	243.32800358637178
5.48514523E8	260.2930611744514
5.55328368E8	232.17605946305747
5.62142213E8	237.59810709521693
5.68956058E8	230.51356047442775
5.75769903E8	249.30678733031675
5.82583748E8	232.7391037446286
5.89397593E8	269.69535519125685
5.96211438E8	249.00369122131278
6.03025283E8	274.4094117647059
6.09839128E8	245.6225189462288
6.15738246E8	232.59165663858803
6.191451685E8	0.0
6.23466818E8	243.80834272829765
6.30280663E8	247.30655910206946
6.37094508E8	262.75081610446136
6.43908353E8	239.87174290677476
6.50722198E8	258.736023916293
6.57536043E8	267.6569191239447
6.64349888E8	249.24284199363734
6.71163733E8	229.8478992944195
6.77977578E8	235.45551036603513
6.84791423E8	231.6404065102774
6.91605268E8	255.07801772562726
6.98419113E8	267.73396177852135
7.05232958E8	255.83724756918474
7.12046803E8	237.90721365638765
7.18860648E8	262.2779876434245
7.222708485E8	0.0
7.25677771E8	248.23346643374094
7.32488338E8	255.1905919359451
7.39302183E8	247.42204211785025
7.46116028E8	240.53372908796547
7.52929873E8	240.45416712298763
7.59743718E8	232.53448696076043
7.66557563E8	232.17788219499917
7.73371408E8	236.30744071954211
7.80185253E8	203.36005135730008
7.86999098E8	245.37981913374583
7.93812943E8	254.87152034261243
8.00626788E8	230.12385767062025
8.07440633E8	282.1269627635711
8.14254478E8	243.92999645012424
8.190716475E8	244.37707214569227
8.2247857E8	296.91866438356163
8.27882168E8	251.43567612001644
8.34696013E8	254.23546568150886
8.41509858E8	242.27188776416267
8.48323703E8	251.48744561095364
8.55137548E8	252.08071065989847
8.61951393E8	244.0815610611708
8.68765238E8	256.9767441860465
8.75579083E8	267.71922652650704
8.82392928E8	233.15146022155085
8.89206773E8	240.2387174996632
8.96020618E8	247.0062893081761
9.02834463E8	254.58002475483195
9.09648308E8	237.0788611224908
9.14262198E8	240.07676969092722
9.176691205E8	246.34763476347635
9.23275998E8	232.1265306122449
9.30089843E8	228.15773630343168
9.36903688E8	247.8155136268344
9.43717533E8	250.996138996139
9.50531378E8	251.48431444916037
9.57345223E8	254.707084850182
9.64159068E8	243.3660877513711
9.70972913E8	227.1844688221709
9.77786758E8	244.2211651244624
9.84600603E8	239.87637665198238
9.91414448E8	244.63741686333404
9.98228293E8	233.60787409863676
1.00390351E9	244.36135265700483
1.0073104325E9	0.0
1.011855983E9	236.01535647841578
1.018669828E9	242.21778493109346
1.025483673E9	251.63688833124215
1.032297518E9	241.61210103779126
1.039111363E9	238.7758537758538
1.045925208E9	257.47598368206343
1.052739053E9	239.21731063086662
1.059552898E9	252.53929121725733
1.0652815955E9	229.31123748090306
1.068688518E9	0.0
1.073180588E9	247.60888888888888
1.079994433E9	236.88386622565233
1.086808278E9	232.68214181923858
1.093622123E9	235.66441005802707
1.100435968E9	245.93308186644313
1.107249813E9	235.06967138431634
1.114063658E9	254.82065045784654
1.120877503E9	240.9875227039406
1.127691348E9	241.20610305152576
1.134505193E9	230.37870945479642
1.141319038E9	252.5698643180195
1.148132883E9	233.7077144226162
1.154946728E9	270.68659574468086
1.161760573E9	245.6036715846379
1.168574418E9	220.06009913258984
1.175388263E9	232.91731968655046
1.182202108E9	269.70837751855777
1.189015953E9	242.82145428365732
1.195829798E9	245.33364418195006
1.202643643E9	251.74328795012087
1.209457488E9	235.8290258449304
1.216271333E9	247.8820018365473
1.223085178E9	251.85547564119963
1.229899023E9	244.229587308631
1.236712868E9	237.89244915892544
1.243526713E9	242.99031329086307
1.250340558E9	243.58331718659176
1.257154403E9	243.50051614806077
1.2618183335E9	245.6357532522031
1.265225256E9	262.8981723237598
1.270782093E9	228.15551404904986
1.277595938E9	238.5602660016625
1.284409783E9	194.03511533242877
1.291223628E9	249.08108590023625
1.298037473E9	238.3116435998072
1.304851318E9	235.95812807881774
1.311665163E9	254.77615062761507
1.318479008E9	253.88751793400286
1.325292853E9	237.97461151236595
1.332106698E9	233.7787092692186
1.338920543E9	235.73989723649493
1.345734388E9	255.01139471285325
1.352548233E9	255.44274241522902
1.359362078E9	434.07894440058647
1.366175923E9	238.26922684097642
1.372989768E9	247.87796797349532
1.379803613E9	253.01967307970492
1.386617458E9	246.4148326243758
1.393431303E9	254.95432721900775
1.400245148E9	236.7345378735233
1.407058993E9	240.84001609226232
1.413872838E9	236.203513909224
1.420686683E9	237.35379456149303
1.427500528E9	241.96236933797908
1.434314373E9	234.0907467351267
1.441128218E9	244.0941323345818
1.444861853E9	275.278342455043
1.4482687755E9	250.61550151975683
1.454755908E9	235.19619852164732
1.461569753E9	234.89381933438986
1.468383598E9	250.3383668903803
1.475197443E9	240.51929092805005
1.482011288E9	250.71675432006012
1.488825133E9	243.31299316149395
1.495638978E9	230.74178974804516
1.502452823E9	251.22842197035746
1.509266668E9	251.88505747126436
1.516080513E9	233.63162393162392
1.522894358E9	237.1076219512195
1.529708203E9	242.03927779537537
1.536522048E9	256.00321702548877
1.543335893E9	244.0473108681098
1.550149738E9	245.42893778954334
1.556963583E9	249.79795597484278
1.563777428E9	235.8832131019692
1.570591273E9	240.31282881424525
1.577405118E9	245.2530137772675
1.584218963E9	231.89816360601003
1.591032808E9	237.41449529231443
1.597846653E9	239.86028893587033
1.6032409105E9	254.76088458880443
1.606647833E9	0.0
1.611474343E9	233.86056815220223
1.618288188E9	249.86980273141123
1.625102033E9	258.29968652037616
1.631915878E9	260.9111675126904
1.638729723E9	236.64227642276424
1.645543568E9	245.225347034433
1.652357413E9	235.81341159729632
1.659171258E9	245.32793844521092
1.665985103E9	244.83686808056555
1.672798948E9	242.86377708978327
1.679612793E9	254.99389312977098
1.686426638E9	239.66836052420433
1.693240483E9	234.49191858724933
1.700054328E9	252.2059068219634
1.706868173E9	244.1758993599647
1.713682018E9	240.35212685627988
1.720495863E9	265.0459745070269
1.727309708E9	267.98479825341633
1.734123553E9	243.48041413874967
1.740937398E9	230.20517174289859
1.747751243E9	245.82803643724696
1.754565088E9	245.96685113447703
1.759854186E9	250.83355112708264
1.7632611085E9	224.6
1.768192778E9	236.47486033519553
1.775006623E9	259.81799591002044
1.781820468E9	249.8727900833164
1.788634313E9	242.2319206842924
1.795448158E9	247.1717319663127
1.802262003E9	243.03087569869578
1.809075848E9	239.0170818505338
1.815889693E9	243.85577722360765
1.822703538E9	248.0198393953708
1.829517383E9	240.72484429065744
1.836331228E9	236.115713796645
1.843145073E9	262.47843137254904
1.849958918E9	253.4575409527396
1.856772763E9	241.17739347477269
1.863586608E9	252.4748440196469
1.870400453E9	249.8366249264644
1.877214298E9	243.31966116807845
1.884028143E9	253.08177449168207
1.890841988E9	246.07254509018037
1.897655833E9	247.1166420336979
1.904469678E9	248.51003553731417
1.910723823E9	233.69930481913514
1.9141307455E9	0.0
1.918097368E9	236.12442969722107
1.924911213E9	255.01861702127658
1.931725058E9	261.54117647058825
1.938538903E9	236.8159638554217
1.945352748E9	231.81376648440013
1.952166593E9	231.60456482881892
1.958980438E9	249.84452189725715
1.965794283E9	208.00344575545577
1.972608128E9	244.87265055619486
1.979421973E9	251.95423023578363
1.986235818E9	240.85367594575303
