#Mapping quality	mapping quality
0.0	202202.0
1.0	6853781.0
2.0	49341.0
3.0	58531.0
4.0	27160.0
5.0	17726.0
6.0	171258.0
7.0	95540.0
8.0	78189.0
9.0	29408.0
10.0	29141.0
11.0	76290.0
12.0	195759.0
13.0	19421.0
14.0	47596.0
15.0	104018.0
16.0	68293.0
17.0	157229.0
18.0	152050.0
19.0	33121.0
20.0	45996.0
21.0	203752.0
22.0	74492.0
23.0	314337.0
24.0	492322.0
25.0	107737.0
26.0	90994.0
27.0	88970.0
28.0	119123.0
29.0	107885.0
30.0	842449.0
31.0	688118.0
32.0	846449.0
33.0	432290.0
34.0	757903.0
35.0	551331.0
36.0	545414.0
37.0	525153.0
38.0	641351.0
39.0	585220.0
40.0	2107917.0
41.0	4087186.0
42.0	9.2757935E7
