#Duplication rate	Coverage
1.0	6668328.0
2.0	999628.0
3.0	200707.0
4.0	62346.0
5.0	26557.0
6.0	13693.0
7.0	8385.0
8.0	5490.0
9.0	3884.0
10.0	2927.0
11.0	2240.0
12.0	1691.0
13.0	1441.0
14.0	1079.0
15.0	1004.0
16.0	860.0
17.0	804.0
18.0	650.0
19.0	588.0
20.0	519.0
21.0	431.0
22.0	396.0
23.0	370.0
24.0	314.0
25.0	363.0
26.0	262.0
27.0	243.0
28.0	233.0
29.0	228.0
30.0	195.0
31.0	199.0
32.0	177.0
33.0	146.0
34.0	168.0
35.0	149.0
36.0	139.0
37.0	131.0
38.0	121.0
39.0	111.0
40.0	121.0
41.0	97.0
42.0	99.0
43.0	98.0
44.0	82.0
45.0	90.0
46.0	88.0
47.0	107.0
48.0	58.0
49.0	76.0
50.0	3445.0
