Sample	Top over-represented sequence	Sum of remaining over-represented sequences
337-16_S13_L001_R1_001	0.0	0.0
337-16_S13_L001_R2_001	0.131679491392	0.0
337-16_S13_L002_R1_001	0.0	0.0
337-16_S13_L002_R2_001	0.188964071331	0.131470453142
337-16_S13_L003_R1_001	0.0	0.0
337-16_S13_L003_R2_001	0.132455625272	0.0
337-16_S13_L004_R1_001	0.0	0.0
337-16_S13_L004_R2_001	0.181084877412	0.130450602107
337-17_S20_L001_R1_001	0.0	0.0
337-17_S20_L001_R2_001	0.0	0.0
337-17_S20_L002_R1_001	0.0	0.0
337-17_S20_L002_R2_001	0.131941848562	0.0
337-17_S20_L003_R1_001	0.0	0.0
337-17_S20_L003_R2_001	0.0	0.0
337-17_S20_L004_R1_001	0.0	0.0
337-17_S20_L004_R2_001	0.133126421228	0.0
337-18_S16_L001_R1_001	0.0	0.0
337-18_S16_L001_R2_001	0.253062881469	0.141043968509
337-18_S16_L002_R1_001	0.0	0.0
337-18_S16_L002_R2_001	0.248212297814	0.266004169662
337-18_S16_L003_R1_001	0.0	0.0
337-18_S16_L003_R2_001	0.24976002052	0.13982070305
337-18_S16_L004_R1_001	0.0	0.0
337-18_S16_L004_R2_001	0.245626849293	0.253781908887
337-19_S7_L001_R1_001	0.103031052147	0.101685138643
337-19_S7_L001_R2_001	0.365456717894	0.526526856468
337-19_S7_L002_R1_001	0.109083201017	0.104337982322
337-19_S7_L002_R2_001	0.366774149185	0.651828244678
337-19_S7_L003_R1_001	0.103766093998	0.102508323162
337-19_S7_L003_R2_001	0.370577568368	0.526158352255
337-19_S7_L004_R1_001	0.104597402437	0.102324155966
337-19_S7_L004_R2_001	0.365459451177	0.648885575999
337-1_S11_L001_R1_001	0.0	0.0
337-1_S11_L001_R2_001	0.0	0.0
337-1_S11_L002_R1_001	0.0	0.0
337-1_S11_L002_R2_001	0.161080131842	0.0
337-1_S11_L003_R1_001	0.0	0.0
337-1_S11_L003_R2_001	0.0	0.0
337-1_S11_L004_R1_001	0.0	0.0
337-1_S11_L004_R2_001	0.151127687236	0.0
337-20_S12_L001_R1_001	0.0	0.0
337-20_S12_L001_R2_001	0.248832159132	0.109037405523
337-20_S12_L002_R1_001	0.0	0.0
337-20_S12_L002_R2_001	0.250594330681	0.258859713789
337-20_S12_L003_R1_001	0.0	0.0
337-20_S12_L003_R2_001	0.251851633243	0.11389230485
337-20_S12_L004_R1_001	0.0	0.0
337-20_S12_L004_R2_001	0.248951586544	0.248866358339
337-21_S1_L001_R1_001	0.0	0.0
337-21_S1_L001_R2_001	0.0	0.0
337-21_S1_L002_R1_001	0.0	0.0
337-21_S1_L002_R2_001	0.167577547836	0.0
337-21_S1_L003_R1_001	0.0	0.0
337-21_S1_L003_R2_001	0.0	0.0
337-21_S1_L004_R1_001	0.0	0.0
337-21_S1_L004_R2_001	0.15923046063	0.0
337-23_S6_L001_R1_001	0.0	0.0
337-23_S6_L001_R2_001	0.328889446833	0.366997366298
337-23_S6_L002_R1_001	0.0	0.0
337-23_S6_L002_R2_001	0.320661859698	0.389001626535
337-23_S6_L003_R1_001	0.0	0.0
337-23_S6_L003_R2_001	0.321718089287	0.363989669444
337-23_S6_L004_R1_001	0.0	0.0
337-23_S6_L004_R2_001	0.323214563377	0.475965828513
337-24_S2_L001_R1_001	0.0	0.0
337-24_S2_L001_R2_001	0.317664394345	0.242057536346
337-24_S2_L002_R1_001	0.0	0.0
337-24_S2_L002_R2_001	0.313173823176	0.458437919672
337-24_S2_L003_R1_001	0.0	0.0
337-24_S2_L003_R2_001	0.320355750823	0.242229135994
337-24_S2_L004_R1_001	0.0	0.0
337-24_S2_L004_R2_001	0.311424629442	0.457634761882
337-2_S19_L001_R1_001	0.0	0.0
337-2_S19_L001_R2_001	0.175449368599	0.117628589028
337-2_S19_L002_R1_001	0.0	0.0
337-2_S19_L002_R2_001	0.179979451544	0.285701646856
337-2_S19_L003_R1_001	0.0	0.0
337-2_S19_L003_R2_001	0.171229424413	0.118238761653
337-2_S19_L004_R1_001	0.0	0.0
337-2_S19_L004_R2_001	0.167870156528	0.283244332052
337-3_S18_L001_R1_001	0.159469077451	1.14272656209
337-3_S18_L001_R2_001	0.550698336117	1.73495752753
337-3_S18_L002_R1_001	0.15732792709	1.23480772134
337-3_S18_L002_R2_001	0.544603610002	1.90958575725
337-3_S18_L003_R1_001	0.155897140817	1.33126394827
337-3_S18_L003_R2_001	0.552298190184	1.84939013223
337-3_S18_L004_R1_001	0.159285934258	1.23691129931
337-3_S18_L004_R2_001	0.551305987568	1.806001351
337-4_S10_L001_R1_001	0.0	0.0
337-4_S10_L001_R2_001	0.262925110918	0.0
337-4_S10_L002_R1_001	0.100794720952	0.0
337-4_S10_L002_R2_001	0.259968186937	0.165835434665
337-4_S10_L003_R1_001	0.0	0.0
337-4_S10_L003_R2_001	0.257540122485	0.100557920131
337-4_S10_L004_R1_001	0.0	0.0
337-4_S10_L004_R2_001	0.259454969372	0.153549313643
337-5_S9_L001_R1_001	0.0	0.0
337-5_S9_L001_R2_001	0.0	0.0
337-5_S9_L002_R1_001	0.0	0.0
337-5_S9_L002_R2_001	0.13209675463	0.0
337-5_S9_L003_R1_001	0.0	0.0
337-5_S9_L003_R2_001	0.0	0.0
337-5_S9_L004_R1_001	0.0	0.0
337-5_S9_L004_R2_001	0.129445235392	0.0
337-6_S15_L001_R1_001	0.0	0.0
337-6_S15_L001_R2_001	0.105882701002	0.0
337-6_S15_L002_R1_001	0.0	0.0
337-6_S15_L002_R2_001	0.147715777932	0.105086640169
337-6_S15_L003_R1_001	0.0	0.0
337-6_S15_L003_R2_001	0.105855918037	0.0
337-6_S15_L004_R1_001	0.0	0.0
337-6_S15_L004_R2_001	0.142988347051	0.105755217151
337-7_S8_L001_R1_001	0.125628609883	0.228130983555
337-7_S8_L001_R2_001	0.362263153586	1.00166767455
337-7_S8_L002_R1_001	0.127715667347	0.223145670183
337-7_S8_L002_R2_001	0.366290674437	0.981056103923
337-7_S8_L003_R1_001	0.128638191924	0.224344320034
337-7_S8_L003_R2_001	0.370063695361	0.797093280428
337-7_S8_L004_R1_001	0.122942532217	0.225898465141
337-7_S8_L004_R2_001	0.362048001296	0.977054151358
337-8_S14_L001_R1_001	0.0	0.0
337-8_S14_L001_R2_001	0.133951574971	0.0
337-8_S14_L002_R1_001	0.0	0.0
337-8_S14_L002_R2_001	0.149196014392	0.13408387853
337-8_S14_L003_R1_001	0.0	0.0
337-8_S14_L003_R2_001	0.13510313777	0.0
337-8_S14_L004_R1_001	0.0	0.0
337-8_S14_L004_R2_001	0.140502085909	0.134293436902
337-9_S23_L001_R1_001	0.0	0.0
337-9_S23_L001_R2_001	0.128373797347	0.104797035447
337-9_S23_L002_R1_001	0.0	0.0
337-9_S23_L002_R2_001	0.159079875626	0.228395146975
337-9_S23_L003_R1_001	0.0	0.0
337-9_S23_L003_R2_001	0.128289660457	0.105245604621
337-9_S23_L004_R1_001	0.0	0.0
337-9_S23_L004_R2_001	0.154579303593	0.227577273246
