#Insert size (bp)	insert size
392.0	12183.0
393.0	12280.0
394.0	11978.0
395.0	11896.0
396.0	11683.0
397.0	11343.0
398.0	11371.0
399.0	11062.0
400.0	10929.0
401.0	10761.0
402.0	10709.0
403.0	10554.0
404.0	10249.0
405.0	10576.0
406.0	10255.0
407.0	10166.0
408.0	9671.0
409.0	9728.0
410.0	9540.0
411.0	9261.0
412.0	9493.0
413.0	9297.0
414.0	9211.0
415.0	9042.0
416.0	8869.0
417.0	8812.0
418.0	8492.0
419.0	8256.0
420.0	8335.0
421.0	8367.0
422.0	8225.0
423.0	8130.0
424.0	7986.0
425.0	7752.0
426.0	7868.0
427.0	7791.0
428.0	7533.0
429.0	7464.0
430.0	7514.0
431.0	7506.0
432.0	7132.0
433.0	7053.0
434.0	6966.0
435.0	6963.0
436.0	6946.0
437.0	6755.0
438.0	6560.0
439.0	6582.0
440.0	6398.0
441.0	6333.0
442.0	6312.0
443.0	6131.0
444.0	5989.0
445.0	5860.0
446.0	5938.0
447.0	5680.0
448.0	5719.0
449.0	5634.0
450.0	5672.0
451.0	5630.0
452.0	5592.0
453.0	5490.0
454.0	5303.0
455.0	5323.0
456.0	5164.0
457.0	5154.0
458.0	5029.0
459.0	5072.0
460.0	5103.0
461.0	5010.0
462.0	4781.0
463.0	4810.0
464.0	4717.0
465.0	4691.0
466.0	4610.0
467.0	4517.0
468.0	4499.0
469.0	4361.0
470.0	4430.0
471.0	4186.0
472.0	4379.0
473.0	4203.0
474.0	4177.0
475.0	4120.0
476.0	4097.0
477.0	3985.0
478.0	4031.0
479.0	3914.0
480.0	3712.0
481.0	3741.0
482.0	3614.0
483.0	3646.0
484.0	3654.0
485.0	3578.0
486.0	3575.0
487.0	3413.0
488.0	3581.0
489.0	3336.0
490.0	3190.0
491.0	3304.0
492.0	3282.0
493.0	3301.0
494.0	3299.0
495.0	3286.0
496.0	3132.0
497.0	3148.0
498.0	3182.0
499.0	3083.0
500.0	2982.0
501.0	2942.0
502.0	2827.0
503.0	2838.0
504.0	2798.0
505.0	2752.0
506.0	2805.0
507.0	2672.0
508.0	2677.0
509.0	2587.0
510.0	2593.0
511.0	2677.0
512.0	2493.0
513.0	2499.0
514.0	2445.0
515.0	2522.0
516.0	2404.0
517.0	2394.0
518.0	2420.0
519.0	2342.0
520.0	2258.0
521.0	2268.0
522.0	2235.0
523.0	2212.0
524.0	2217.0
525.0	2111.0
526.0	2121.0
527.0	2118.0
528.0	2026.0
529.0	2055.0
530.0	2017.0
531.0	2030.0
532.0	1939.0
533.0	1912.0
534.0	2016.0
535.0	1918.0
536.0	1869.0
537.0	1870.0
538.0	1770.0
539.0	1725.0
540.0	1835.0
541.0	1925.0
542.0	1669.0
543.0	1763.0
544.0	1738.0
545.0	1708.0
546.0	1635.0
547.0	1645.0
548.0	1593.0
549.0	1574.0
550.0	1595.0
551.0	1616.0
552.0	1515.0
553.0	1591.0
554.0	1543.0
555.0	1416.0
556.0	1576.0
557.0	1453.0
558.0	1483.0
559.0	1431.0
560.0	1422.0
561.0	1409.0
562.0	1389.0
563.0	1337.0
564.0	1354.0
565.0	1326.0
566.0	1272.0
567.0	1273.0
568.0	1225.0
569.0	1225.0
570.0	1236.0
571.0	1192.0
572.0	1149.0
573.0	1199.0
574.0	1128.0
