#Coverage	Number of genomic locations
0.0	2.470547689E9
1.0	1.70029276E8
2.0	4.6956605E7
3.0	1.8931816E7
4.0	8513089.0
5.0	4228586.0
6.0	2290118.0
7.0	1335676.0
8.0	823880.0
9.0	531573.0
10.0	352470.0
11.0	238862.0
12.0	167117.0
13.0	118475.0
14.0	86536.0
15.0	64526.0
16.0	49008.0
17.0	37560.0
18.0	29250.0
19.0	23059.0
20.0	18967.0
21.0	15131.0
22.0	12759.0
23.0	11103.0
24.0	9825.0
25.0	8616.0
26.0	7834.0
27.0	7062.0
28.0	6414.0
29.0	5747.0
30.0	5385.0
31.0	4809.0
32.0	4336.0
33.0	3766.0
34.0	3376.0
35.0	3088.0
36.0	2566.0
37.0	2355.0
38.0	2311.0
39.0	2181.0
40.0	2065.0
41.0	1941.0
42.0	1844.0
43.0	1657.0
44.0	1638.0
45.0	1587.0
46.0	1478.0
47.0	1321.0
48.0	1306.0
49.0	1415.0
50.0	1283.0
51.0	1270.0
52.0	1190.0
53.0	1161.0
54.0	1124.0
55.0	1029.0
56.0	1083.0
57.0	981.0
58.0	961.0
59.0	915.0
60.0	1001.0
61.0	1028.0
62.0	902.0
63.0	904.0
64.0	936.0
65.0	831.0
66.0	725.0
67.0	733.0
68.0	738.0
69.0	660.0
70.0	562.0
71.0	542.0
72.0	521.0
73.0	508.0
74.0	557.0
75.0	576.0
76.0	585.0
77.0	491.0
78.0	500.0
79.0	829.0
80.0	2261.0
81.0	967.0
82.0	226.0
83.0	34.0
84.0	1.0
