#Position (bp)	Coverage
3406923.0	0.07638888175472146
1.0220768E7	0.07253584429936402
1.7034613E7	0.14939450486472763
2.3848458E7	0.08147763854328943
3.0662303E7	0.06262264551072119
3.7476148E7	0.35736650892410965
4.4289993E7	0.16404849244442749
5.1103838E7	0.04072135482976205
5.7917683E7	0.12249970464546817
6.4731528E7	0.10956442361104486
7.1545373E7	0.04713212584084316
7.8359218E7	0.43468863761943516
8.5173063E7	0.2562812919871233
9.1986908E7	0.11023599744344052
9.8800753E7	0.1401129611841772
1.05614598E8	0.03853565791414392
1.12428443E8	0.13534238010990857
1.19242288E8	0.020457612405330616
1.26056133E8	0.3308516703858101
1.300790245E8	0.1499401755607831
1.33485947E8	0.20284429676094567
1.39683823E8	0.3110387747299799
1.46497668E8	0.01892749248038369
1.53311513E8	0.243885500770857
1.60125358E8	0.18562793841069175
1.66939203E8	0.06855072282976792
1.73753048E8	0.09064529645156295
1.80566893E8	0.18333261176325555
1.87380738E8	0.3466043034439439
1.94194583E8	0.2171475870085099
2.01008428E8	0.34308030194405653
2.07822273E8	0.5448154456111051
2.14636118E8	0.2881593285435756
2.21449963E8	1.0114698822764534
2.28263808E8	0.36732887231805245
2.35077653E8	0.3834510470960229
2.41891498E8	0.04982957493162818
2.48705343E8	0.4395249671807915
2.52444901E8	0.322624915260097
2.558518235E8	0.266727374509927
2.62333033E8	0.09437740365388411
2.69146878E8	0.19453935333134229
2.75960723E8	0.05571421128599198
2.82774568E8	0.10887876081713041
2.89588413E8	0.021774343267274204
2.96402258E8	0.09323883945114689
3.03216103E8	0.03766977382080162
3.10029948E8	0.1265665714438764
3.16843793E8	0.039005143204754435
3.23657638E8	0.35407233360899754
3.30471483E8	0.46856715995153986
3.37285328E8	0.260806196794908
3.44099173E8	0.01639558868744446
3.50913018E8	0.05911390705247918
3.57726863E8	0.11432355740407948
3.64540708E8	0.46070507914400755
3.704270945E8	0.09443492625825582
3.73834017E8	0.0
3.78168398E8	0.03590938743103197
3.84982243E8	0.14554997949028778
3.91796088E8	0.2603877839898031
3.98609933E8	0.15083480765999227
4.05423778E8	0.13835477619464487
4.12237623E8	0.16732417599754618
4.19051468E8	0.12063277048421266
4.25865313E8	0.2688345567003652
4.32679158E8	0.06073501818723496
4.39493003E8	0.1258832568102151
4.46306848E8	0.09444124426076612
4.53120693E8	0.08313925544241174
4.59934538E8	0.023901923216627322
4.66748383E8	0.154505862695732
4.73562228E8	0.03387690797193068
4.80376073E8	0.10117708870689016
4.87189918E8	0.14145302688863629
4.91962519E8	0.06641387412923319
4.953694415E8	0.0037665756764012535
5.00817608E8	0.04178536494446234
5.07631453E8	0.07675049843370373
5.14445298E8	0.15420544494334695
5.21259143E8	0.2757145194820252
5.28072988E8	0.09528467407168786
5.34886833E8	0.004382254072406989
5.41700678E8	0.0991362439268871
5.48514523E8	0.24278127841182182
5.55328368E8	0.15556840521027407
5.62142213E8	0.06141319622034255
5.68956058E8	0.14817081985281438
5.75769903E8	0.0600336520716277
5.82583748E8	0.013795147967116951
5.89397593E8	0.026176703461848635
5.96211438E8	0.027578995413015707
6.03025283E8	0.003389275805363932
6.09839128E8	0.039002941804517126
6.15738246E8	0.23561795212293737
6.191451685E8	0.0
6.23466818E8	0.12312270091262716
6.30280663E8	0.0887949461720952
6.37094508E8	0.0037511860043778515
6.43908353E8	0.04467829837632056
6.50722198E8	0.12635655786123695
6.57536043E8	0.042651982837883747
6.64349888E8	0.014850352480867997
6.71163733E8	0.02522643235940941
6.77977578E8	0.4286280360061023
6.84791423E8	0.05194820252001623
6.91605268E8	0.08449634530870602
6.98419113E8	0.39561715888752974
7.05232958E8	0.18965180452446453
7.12046803E8	0.1036821354169342
7.18860648E8	0.3234480678677017
7.222708485E8	0.0
7.25677771E8	0.07525521540219608
7.32488338E8	1.253165723611265
7.39302183E8	0.4401062836034574
7.46116028E8	0.2092326725952821
7.52929873E8	0.3301758405129556
7.59743718E8	0.13419867930661764
7.66557563E8	0.0754249619708109
7.73371408E8	0.12041585918082962
7.80185253E8	0.076828868282152
7.86999098E8	0.0071975514558960466
7.93812943E8	0.00909853394082196
8.00626788E8	0.025352499212999414
8.07440633E8	0.07871047844498957
8.14254478E8	0.2601435753234774
8.190716475E8	0.05946901500233647
8.2247857E8	0.0910766421484112
8.27882168E8	0.21555230563653854
8.34696013E8	0.16368496788523954
8.41509858E8	0.22737837447138876
8.48323703E8	0.5233940601818797
8.55137548E8	0.4291854305461894
8.61951393E8	46.02728077906087
8.68765238E8	0.25302307287588727
8.75579083E8	0.19865905373544598
8.82392928E8	0.027878679365321634
8.89206773E8	0.1096652477419137
8.96020618E8	0.16394913591371685
9.02834463E8	0.11516331821460571
9.09648308E8	0.09871416212138667
9.14262198E8	0.01823205678694745
9.176691205E8	0.035141855174310385
9.23275998E8	0.18242240614513539
9.30089843E8	0.06371703494869636
9.36903688E8	0.06294390318535277
9.43717533E8	0.04015530144874149
9.50531378E8	0.4260058748034333
9.57345223E8	0.1079058886722548
9.64159068E8	0.12726940515964189
9.70972913E8	0.08703646766253122
9.77786758E8	0.10196739139208479
9.84600603E8	0.10269488079050815
9.91414448E8	0.1444124426076613
9.98228293E8	0.13073851841361228
1.00390351E9	0.14295189623745946
1.0073104325E9	0.0
1.011855983E9	0.41273377953270146
1.018669828E9	0.1578751791389443
1.025483673E9	0.06668481598862316
1.032297518E9	0.18550656787760803
1.039111363E9	0.10275035607648839
1.045925208E9	0.2795489184153734
1.052739053E9	0.2130137976428874
1.059552898E9	0.20799871438226142
1.0652815955E9	0.06882449849791647
