"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031233","intrinsic component of external side of plasma membrane","3/51","24/23407",1.90956913764304e-05,0.0019477605203959,0.00148745385458511,"Thy1/Flt3l/Izumo1r",3
"GO:0031362","anchored component of external side of plasma membrane","2/51","21/23407",0.000951867432670348,0.0351644218535935,0.0268541508479455,"Thy1/Izumo1r",2
"GO:0005902","microvillus","3/51","91/23407",0.00103424770157628,0.0351644218535935,0.0268541508479455,"Cd44/Clic4/Myo1g",3
"GO:0031252","cell leading edge","5/51","380/23407",0.00139784274240545,0.035644989931339,0.0272211481415798,"Cdk6/Thy1/Cd44/Frmd4b/Myo1g",5
"GO:0031256","leading edge membrane","3/51","149/23407",0.00420982189113288,0.0858803665791107,0.0655845936723859,"Thy1/Cd44/Myo1g",3
"GO:0005741","mitochondrial outer membrane","3/51","169/23407",0.0059729758904872,0.0990991871447616,0.0756794618030171,"Agpat4/Bcl2/Rmdn3",3
"GO:0019867","outer membrane","3/51","186/23407",0.00777248526625581,0.0990991871447616,0.0756794618030171,"Agpat4/Bcl2/Rmdn3",3
"GO:0031968","organelle outer membrane","3/51","186/23407",0.00777248526625581,0.0990991871447616,0.0756794618030171,"Agpat4/Bcl2/Rmdn3",3
"GO:0000932","P-body","2/51","71/23407",0.0105086161832985,0.105475112103507,0.0805485892224926,"Eif4enif1/Noct",2
"GO:0098858","actin-based cell projection","3/51","209/23407",0.0106679304651039,0.105475112103507,0.0805485892224926,"Cd44/Clic4/Myo1g",3
"GO:0046658","anchored component of plasma membrane","2/51","74/23407",0.0113747669915547,0.105475112103507,0.0805485892224926,"Thy1/Izumo1r",2
"GO:0045177","apical part of cell","4/51","413/23407",0.0124297545918349,0.105652914030597,0.080684371911911,"Thy1/Cd44/Clic4/Prkca",4
"GO:0061695","transferase complex, transferring phosphorus-containing groups","3/51","244/23407",0.0161324463428773,0.126577655921037,0.0966640509613701,"Cdk6/Cish/Prkag2",3
"GO:0005911","cell-cell junction","4/51","475/23407",0.0197566806580125,0.139329730666568,0.106402477495625,"Clic4/Frmd4b/Itk/Prkca",4
"GO:1902911","protein kinase complex","2/51","101/23407",0.0204896662744953,0.139329730666568,0.106402477495625,"Cdk6/Prkag2",2
"GO:0031588","nucleotide-activated protein kinase complex","1/51","14/23407",0.0300836686751251,0.179474052701121,0.137059648089607,"Prkag2",1
"GO:0001650","fibrillar center","2/51","128/23407",0.0317774522688302,0.179474052701121,0.137059648089607,"Klf6/Malt1",2
"GO:0035098","ESC/E(Z) complex","1/51","16/23407",0.0343082543903789,0.179474052701121,0.137059648089607,"Ezh2",1
"GO:0030014","CCR4-NOT complex","1/51","17/23407",0.0364137769856547,0.179474052701121,0.137059648089607,"Noct",1
"GO:0046930","pore complex","1/51","18/23407",0.0385147986775627,0.179474052701121,0.137059648089607,"Bcl2",1
"GO:0001726","ruffle","2/51","144/23407",0.0393812945624453,0.179474052701121,0.137059648089607,"Cdk6/Frmd4b",2
