#Duplication rate	Coverage
1.0	4645743.0
2.0	833579.0
3.0	176034.0
4.0	51233.0
5.0	20259.0
6.0	10083.0
7.0	5963.0
8.0	3894.0
9.0	2887.0
10.0	2105.0
11.0	1557.0
12.0	1316.0
13.0	1065.0
14.0	849.0
15.0	690.0
16.0	619.0
17.0	552.0
18.0	503.0
19.0	466.0
20.0	408.0
21.0	370.0
22.0	314.0
23.0	295.0
24.0	295.0
25.0	228.0
26.0	204.0
27.0	213.0
28.0	182.0
29.0	161.0
30.0	141.0
31.0	162.0
32.0	159.0
33.0	132.0
34.0	107.0
35.0	110.0
36.0	114.0
37.0	109.0
38.0	92.0
39.0	92.0
40.0	84.0
41.0	87.0
42.0	86.0
43.0	77.0
44.0	60.0
45.0	59.0
46.0	66.0
47.0	55.0
48.0	60.0
49.0	53.0
50.0	2687.0
