#Insert size (bp)	insert size
397.0	4547.0
398.0	4418.0
399.0	4296.0
400.0	4300.0
401.0	4249.0
402.0	4164.0
403.0	4149.0
404.0	4060.0
405.0	4124.0
406.0	3932.0
407.0	3961.0
408.0	3796.0
409.0	3854.0
410.0	3694.0
411.0	3552.0
412.0	3625.0
413.0	3667.0
414.0	3484.0
415.0	3503.0
416.0	3372.0
417.0	3442.0
418.0	3327.0
419.0	3405.0
420.0	3309.0
421.0	3201.0
422.0	3087.0
423.0	3053.0
424.0	3048.0
425.0	3009.0
426.0	3026.0
427.0	2910.0
428.0	2974.0
429.0	2999.0
430.0	2936.0
431.0	2820.0
432.0	2805.0
433.0	2816.0
434.0	2725.0
435.0	2637.0
436.0	2677.0
437.0	2594.0
438.0	2648.0
439.0	2526.0
440.0	2507.0
441.0	2417.0
442.0	2362.0
443.0	2346.0
444.0	2259.0
445.0	2430.0
446.0	2324.0
447.0	2283.0
448.0	2169.0
449.0	2200.0
450.0	2155.0
451.0	2144.0
452.0	2069.0
453.0	2050.0
454.0	2001.0
455.0	2063.0
456.0	1955.0
457.0	1946.0
458.0	2012.0
459.0	1891.0
460.0	1905.0
461.0	1850.0
462.0	1827.0
463.0	1843.0
464.0	1830.0
465.0	1758.0
466.0	1728.0
467.0	1744.0
468.0	1656.0
469.0	1728.0
470.0	1685.0
471.0	1689.0
472.0	1608.0
473.0	1582.0
474.0	1533.0
475.0	1565.0
476.0	1577.0
477.0	1513.0
478.0	1491.0
479.0	1463.0
480.0	1568.0
481.0	1382.0
482.0	1408.0
483.0	1383.0
484.0	1355.0
485.0	1334.0
486.0	1278.0
487.0	1305.0
488.0	1278.0
489.0	1279.0
490.0	1260.0
491.0	1255.0
492.0	1219.0
493.0	1291.0
494.0	1236.0
495.0	1122.0
496.0	1185.0
497.0	1142.0
498.0	1183.0
499.0	1099.0
500.0	1146.0
501.0	1130.0
502.0	1084.0
503.0	1108.0
504.0	1048.0
505.0	1076.0
506.0	1046.0
507.0	1019.0
508.0	1011.0
509.0	981.0
510.0	972.0
511.0	1040.0
512.0	951.0
513.0	977.0
514.0	977.0
515.0	986.0
516.0	926.0
517.0	920.0
518.0	898.0
519.0	870.0
520.0	851.0
521.0	826.0
522.0	843.0
523.0	822.0
524.0	824.0
525.0	826.0
526.0	792.0
527.0	807.0
528.0	759.0
529.0	779.0
530.0	780.0
531.0	727.0
532.0	744.0
533.0	675.0
534.0	750.0
535.0	691.0
536.0	720.0
537.0	719.0
538.0	721.0
539.0	682.0
540.0	645.0
