#Coverage	Number of genomic locations
0.0	2.301408126E9
1.0	1.85725121E8
2.0	7.8195965E7
3.0	4.6530693E7
4.0	3.0737228E7
5.0	2.1093599E7
6.0	1.4753787E7
7.0	1.0561372E7
8.0	7702163.0
9.0	5719368.0
10.0	4326699.0
11.0	3314253.0
12.0	2584148.0
13.0	2041737.0
14.0	1629393.0
15.0	1318232.0
16.0	1073337.0
17.0	882227.0
18.0	733679.0
19.0	617360.0
20.0	522621.0
21.0	445568.0
22.0	382962.0
23.0	329811.0
24.0	287329.0
25.0	251032.0
26.0	219563.0
27.0	194266.0
28.0	171551.0
29.0	152527.0
30.0	135460.0
31.0	120252.0
32.0	108886.0
33.0	97712.0
34.0	87873.0
35.0	79065.0
36.0	71312.0
37.0	64273.0
38.0	58026.0
39.0	53109.0
40.0	48298.0
41.0	43704.0
42.0	40684.0
43.0	36917.0
44.0	33826.0
45.0	31184.0
46.0	28758.0
47.0	26645.0
48.0	24308.0
49.0	22630.0
50.0	20827.0
51.0	19474.0
52.0	17641.0
53.0	16656.0
54.0	15765.0
55.0	14791.0
56.0	13531.0
57.0	12885.0
58.0	11846.0
59.0	11122.0
60.0	10441.0
61.0	9709.0
62.0	9279.0
63.0	8695.0
64.0	8225.0
65.0	8043.0
66.0	7487.0
67.0	7117.0
68.0	6634.0
69.0	6180.0
70.0	5826.0
71.0	5541.0
72.0	5120.0
73.0	4900.0
74.0	4703.0
75.0	4470.0
76.0	4172.0
77.0	3995.0
78.0	3733.0
79.0	3538.0
80.0	3334.0
81.0	3240.0
82.0	2988.0
83.0	2944.0
84.0	2762.0
85.0	2700.0
86.0	2579.0
87.0	2305.0
88.0	2247.0
89.0	2208.0
90.0	2057.0
91.0	2019.0
92.0	1969.0
93.0	1808.0
94.0	1751.0
95.0	1593.0
96.0	1510.0
97.0	1527.0
98.0	1467.0
99.0	1211.0
100.0	1265.0
101.0	1204.0
102.0	1156.0
103.0	1219.0
104.0	1157.0
105.0	1016.0
106.0	1017.0
107.0	931.0
108.0	882.0
109.0	830.0
110.0	893.0
111.0	821.0
112.0	764.0
113.0	748.0
114.0	828.0
115.0	702.0
116.0	661.0
117.0	617.0
118.0	622.0
119.0	613.0
120.0	580.0
121.0	607.0
122.0	565.0
123.0	537.0
124.0	520.0
125.0	517.0
126.0	505.0
127.0	445.0
128.0	450.0
129.0	415.0
130.0	412.0
131.0	425.0
132.0	383.0
133.0	374.0
134.0	379.0
135.0	346.0
136.0	342.0
137.0	362.0
138.0	313.0
139.0	321.0
140.0	375.0
141.0	303.0
142.0	283.0
143.0	312.0
144.0	302.0
145.0	294.0
146.0	314.0
147.0	298.0
148.0	290.0
149.0	289.0
150.0	270.0
151.0	227.0
152.0	265.0
153.0	244.0
154.0	225.0
155.0	257.0
156.0	214.0
157.0	233.0
158.0	196.0
159.0	196.0
160.0	211.0
161.0	221.0
162.0	194.0
163.0	204.0
164.0	217.0
165.0	193.0
166.0	186.0
167.0	174.0
168.0	158.0
169.0	167.0
170.0	163.0
171.0	154.0
172.0	175.0
173.0	177.0
174.0	162.0
175.0	172.0
176.0	162.0
177.0	156.0
178.0	140.0
179.0	131.0
180.0	129.0
181.0	159.0
182.0	157.0
183.0	141.0
184.0	131.0
185.0	141.0
186.0	164.0
187.0	140.0
188.0	140.0
189.0	167.0
190.0	142.0
191.0	162.0
192.0	121.0
193.0	129.0
194.0	133.0
195.0	113.0
196.0	129.0
197.0	125.0
198.0	127.0
199.0	112.0
200.0	138.0
201.0	117.0
202.0	124.0
203.0	119.0
204.0	160.0
205.0	106.0
206.0	132.0
207.0	121.0
208.0	117.0
209.0	102.0
210.0	101.0
211.0	129.0
212.0	98.0
213.0	124.0
214.0	137.0
215.0	104.0
216.0	112.0
217.0	101.0
218.0	110.0
219.0	108.0
220.0	108.0
221.0	96.0
222.0	111.0
223.0	89.0
224.0	91.0
225.0	116.0
226.0	94.0
227.0	94.0
228.0	108.0
229.0	80.0
230.0	79.0
231.0	72.0
232.0	96.0
233.0	72.0
234.0	82.0
235.0	79.0
236.0	78.0
237.0	79.0
238.0	61.0
239.0	93.0
240.0	71.0
241.0	103.0
242.0	74.0
243.0	68.0
244.0	80.0
245.0	69.0
246.0	62.0
247.0	61.0
248.0	72.0
249.0	59.0
250.0	73.0
251.0	94.0
252.0	56.0
253.0	69.0
254.0	49.0
255.0	54.0
256.0	50.0
257.0	67.0
258.0	80.0
259.0	55.0
260.0	67.0
261.0	61.0
262.0	63.0
263.0	72.0
264.0	83.0
265.0	77.0
266.0	114.0
267.0	54.0
268.0	82.0
269.0	52.0
270.0	54.0
271.0	71.0
272.0	62.0
273.0	81.0
274.0	93.0
275.0	90.0
276.0	64.0
277.0	64.0
278.0	70.0
279.0	92.0
280.0	58.0
281.0	63.0
282.0	73.0
283.0	51.0
284.0	52.0
285.0	71.0
286.0	60.0
287.0	60.0
288.0	59.0
289.0	60.0
290.0	57.0
291.0	57.0
292.0	62.0
293.0	54.0
294.0	66.0
295.0	51.0
296.0	69.0
297.0	48.0
298.0	68.0
299.0	61.0
300.0	59.0
301.0	44.0
302.0	59.0
303.0	74.0
304.0	47.0
305.0	42.0
306.0	60.0
307.0	51.0
308.0	57.0
309.0	49.0
310.0	53.0
311.0	57.0
312.0	47.0
313.0	55.0
314.0	52.0
315.0	47.0
316.0	63.0
317.0	57.0
318.0	61.0
319.0	50.0
320.0	60.0
321.0	75.0
322.0	86.0
323.0	46.0
324.0	46.0
325.0	47.0
326.0	47.0
327.0	48.0
328.0	61.0
329.0	48.0
330.0	61.0
331.0	73.0
332.0	57.0
333.0	80.0
334.0	54.0
