#Duplication rate	Coverage
1.0	2.2754017E7
2.0	3801583.0
3.0	760534.0
4.0	201878.0
5.0	68624.0
6.0	28704.0
7.0	14238.0
8.0	7810.0
9.0	4848.0
10.0	3315.0
11.0	2429.0
12.0	1872.0
13.0	1441.0
14.0	1234.0
15.0	1001.0
16.0	915.0
17.0	818.0
18.0	728.0
19.0	633.0
20.0	584.0
21.0	526.0
22.0	503.0
23.0	498.0
24.0	439.0
25.0	412.0
26.0	391.0
27.0	357.0
28.0	306.0
29.0	296.0
30.0	330.0
31.0	300.0
32.0	264.0
33.0	276.0
34.0	221.0
35.0	233.0
36.0	230.0
37.0	199.0
38.0	213.0
39.0	195.0
40.0	182.0
41.0	175.0
42.0	208.0
43.0	151.0
44.0	173.0
45.0	188.0
46.0	135.0
47.0	158.0
48.0	118.0
49.0	146.0
50.0	12486.0
