#Coverage	Number of genomic locations
0.0	2.246095151E9
1.0	3.21735622E8
2.0	7.2749823E7
3.0	3.1892369E7
4.0	1.7722971E7
5.0	1.0674101E7
6.0	6787812.0
7.0	4542249.0
8.0	3144054.0
9.0	2255443.0
10.0	1665279.0
11.0	1254615.0
12.0	955888.0
13.0	743634.0
14.0	585998.0
15.0	466041.0
16.0	371875.0
17.0	300662.0
18.0	244292.0
19.0	199270.0
20.0	162360.0
21.0	134331.0
22.0	110376.0
23.0	92454.0
24.0	78692.0
25.0	66936.0
26.0	56845.0
27.0	49013.0
28.0	41775.0
29.0	35949.0
30.0	31356.0
31.0	27167.0
32.0	23989.0
33.0	20695.0
34.0	18471.0
35.0	15761.0
36.0	13841.0
37.0	12810.0
38.0	11419.0
39.0	10549.0
40.0	9690.0
41.0	8575.0
42.0	7951.0
43.0	7140.0
44.0	6491.0
45.0	6100.0
46.0	5711.0
47.0	5162.0
48.0	4713.0
49.0	4267.0
50.0	4064.0
51.0	3707.0
52.0	3372.0
53.0	3237.0
54.0	3146.0
55.0	3013.0
56.0	2730.0
57.0	2530.0
58.0	2295.0
59.0	2241.0
60.0	1962.0
61.0	1824.0
62.0	1652.0
63.0	1674.0
64.0	1522.0
65.0	1736.0
66.0	1628.0
67.0	1512.0
68.0	1561.0
69.0	1605.0
70.0	1657.0
71.0	1468.0
72.0	1471.0
73.0	1488.0
74.0	1531.0
75.0	1524.0
76.0	1467.0
77.0	1669.0
78.0	1854.0
79.0	2280.0
80.0	4385.0
81.0	1739.0
82.0	344.0
83.0	40.0
84.0	3.0
