#Mapping quality	mapping quality
0.0	666779.0
1.0	2.1001171E7
2.0	163244.0
3.0	167128.0
4.0	83112.0
5.0	52262.0
6.0	507298.0
7.0	254006.0
8.0	202075.0
9.0	84582.0
10.0	94051.0
11.0	221930.0
12.0	484024.0
13.0	51821.0
14.0	131157.0
15.0	328911.0
16.0	247301.0
17.0	377872.0
18.0	370030.0
19.0	85941.0
20.0	133067.0
21.0	675388.0
22.0	215988.0
23.0	729884.0
24.0	1100403.0
25.0	297056.0
26.0	265037.0
27.0	256534.0
28.0	398377.0
29.0	313236.0
30.0	2207495.0
31.0	1950913.0
32.0	2291563.0
33.0	1235531.0
34.0	2115613.0
35.0	1689462.0
36.0	1787834.0
37.0	1790997.0
38.0	2299188.0
39.0	2223528.0
40.0	5164254.0
41.0	1.3503057E7
42.0	2.43836761E8
