#Duplication rate	Coverage
1.0	2.2239043E7
2.0	3580928.0
3.0	744658.0
4.0	219576.0
5.0	85131.0
6.0	40373.0
7.0	21863.0
8.0	13545.0
9.0	8871.0
10.0	6263.0
11.0	4587.0
12.0	3522.0
13.0	2726.0
14.0	2177.0
15.0	1893.0
16.0	1599.0
17.0	1359.0
18.0	1189.0
19.0	1102.0
20.0	954.0
21.0	889.0
22.0	758.0
23.0	688.0
24.0	694.0
25.0	598.0
26.0	547.0
27.0	511.0
28.0	504.0
29.0	456.0
30.0	438.0
31.0	378.0
32.0	387.0
33.0	347.0
34.0	348.0
35.0	321.0
36.0	321.0
37.0	303.0
38.0	269.0
39.0	260.0
40.0	276.0
41.0	279.0
42.0	258.0
43.0	229.0
44.0	204.0
45.0	186.0
46.0	195.0
47.0	200.0
48.0	175.0
49.0	197.0
50.0	14804.0
