#Mapping quality	mapping quality
0.0	884335.0
1.0	3.2729713E7
2.0	215287.0
3.0	219739.0
4.0	113545.0
5.0	66756.0
6.0	820407.0
7.0	388337.0
8.0	261633.0
9.0	120213.0
10.0	125849.0
11.0	328338.0
12.0	709200.0
13.0	71214.0
14.0	186665.0
15.0	507559.0
16.0	395844.0
17.0	602785.0
18.0	585648.0
19.0	129274.0
20.0	195586.0
21.0	972709.0
22.0	300051.0
23.0	1015398.0
24.0	1578970.0
25.0	429884.0
26.0	369232.0
27.0	351531.0
28.0	524002.0
29.0	408641.0
30.0	4123035.0
31.0	3698582.0
32.0	4154270.0
33.0	1648676.0
34.0	4181493.0
35.0	2886265.0
36.0	2489930.0
37.0	2440015.0
38.0	3084803.0
39.0	2968889.0
40.0	6822980.0
41.0	1.7331307E7
42.0	3.56070337E8
