name,KO-24h_vs_KO-0h,KO-48h_vs_KO-0h,KO-6h_vs_KO-0h,WT-0h_vs_KO-0h,WT-24h_vs_KO-24h,WT-24h_vs_WT-0h,WT-48h_vs_KO-48h,WT-48h_vs_WT-0h,WT-6h_vs_KO-6h,WT-6h_vs_WT-0h
ENSMUSE00000098340,0.776211784476296,0.808434479048256,0.0775732752541955,0.962807089392451,0.0889573831001425,0.0437958864181824,0.567787901582606,0.389630471623059,0.316680254102013,0.417005337952653
ENSMUSE00000099726,0.707071673253957,0.363606723004336,0.37212759196226,0.114210339205175,0.801876054465018,0.385270945530557,0.96088801945035,0.0171763846642604,0.478822136732845,0.0760911505602897
ENSMUSE00000101796,0.0521639506107803,0.434516851831974,0.0230154475602327,0.507685017430944,0.343576941357827,0.106608314253069,0.366784594307759,0.0193096157711317,0.502835129425287,0.0106692462849915
ENSMUSE00000102087,0.0774231538127114,0.00133250180830351,0.00706639541851765,0.362208477876665,0.00377236702524158,0.000490842734689278,0.0299991129055046,0.0494262572282773,0.178056622008303,0.000781326113038598
ENSMUSE00000102451,0.222722418694503,0.726984153380372,0.0182824738946618,0.189073305010351,0.447545677620009,0.398417884462555,0.212211564377422,0.758867397252164,0.269225423969604,0.850160481829578
ENSMUSE00000102616,0.599477210614866,0.118310058191671,0.00833472438237939,0.767381914625002,0.722988759705648,0.892597470439449,0.230477684838268,0.504132304861564,0.838685239367106,0.0133267922379738
ENSMUSE00000105272,0.0590085089984032,0.180834643348865,0.14221769950161,0.783212818287625,0.8645637531468,0.152320320611876,0.345417016098471,0.0453165712463294,0.774649313098479,0.273380367097167
ENSMUSE00000105758,0.0495480453188408,0.874031827629526,0.370244118305521,0.503533254256635,0.847640975092411,0.125640213289137,0.134179336067622,0.30675398068534,0.74606377056503,0.449124857149892
ENSMUSE00000107752,0.0821294510230566,0.960666650023889,0.219476591550323,0.902796560460793,0.0135607704276829,0.366428842691349,0.880264450084568,0.822984589142797,0.316618582735863,0.706924666851958
ENSMUSE00000109894,0.0710403226274377,0.0481677633094025,0.00405997404781994,0.697479329577322,0.89847709404295,0.22094239924813,0.520048248705619,0.0329978084512051,0.451455166270477,0.0473904996009111
ENSMUSE00000110147,0.0548307515364436,0.191054449749326,0.99248099608494,0.179582623800031,0.83827468349755,0.00136889273917798,0.464907247883138,0.0557044476231289,0.951363202233242,0.16363262705884
ENSMUSE00000110548,0.00149711976930501,0.368287188592228,0.530937451311782,0.231266203021737,0.179079932405403,0.525813938728743,0.645609459690516,0.870332746192645,0.0925996385285823,0.018137932853839
ENSMUSE00000111715,0.0261407619449432,0.0747074848718114,0.334121659582424,0.340551235625483,0.0959345005023222,0.664786497670766,0.428788921522015,0.910883541916263,0.452859705498987,0.303938541921076
ENSMUSE00000114502,0.550318111622774,0.573666692888439,0.0842917160275812,0.47931051265093,0.965325460087432,0.958893344227528,0.513160572583173,0.608074990087746,0.896520925050037,0.0124099894464276
