ID,count
ENSMUSE00001323316,2
ENSMUSE00001320105,2
ENSMUSE00000821169,4
ENSMUSE00000904993,4
ENSMUSE00001207630,4
ENSMUSE00000774882,1
ENSMUSE00000630718,0
ENSMUSE00000552542,29
ENSMUSE00000720131,28
ENSMUSE00001335733,27
ENSMUSE00000847310,0
ENSMUSE00000870991,6
ENSMUSE00000866580,4
ENSMUSE00001331570,0
ENSMUSE00000722600,0
ENSMUSE00000630649,65
ENSMUSE00001341169,1
ENSMUSE00000729307,3
ENSMUSE00001321074,0
ENSMUSE00000582671,0
ENSMUSE00001295109,0
ENSMUSE00000552318,2
ENSMUSE00001335576,1
ENSMUSE00000308433,2
ENSMUSE00001325121,0
ENSMUSE00001322025,502
ENSMUSE00000355532,502
ENSMUSE00001318617,47
ENSMUSE00001318983,81
ENSMUSE00001331822,57
ENSMUSE00000847368,0
ENSMUSE00001112487,0
ENSMUSE00000664279,0
ENSMUSE00000350093,221
ENSMUSE00001321555,72
ENSMUSE00001330813,2
ENSMUSE00000630638,2
ENSMUSE00000154316,2
ENSMUSE00000977905,2
ENSMUSE00000464249,9946
ENSMUSE00001256878,9948
ENSMUSE00001345689,12
ENSMUSE00001244113,9660
ENSMUSE00000716105,30
ENSMUSE00001297040,5212
ENSMUSE00001345361,47
ENSMUSE00001326316,0
ENSMUSE00000551967,48
ENSMUSE00000630608,4
ENSMUSE00001333544,16
ENSMUSE00000552004,31
ENSMUSE00000304588,24
ENSMUSE00001322006,0
ENSMUSE00001324369,25
ENSMUSE00000494133,0
ENSMUSE00001336944,0
ENSMUSE00001337773,0
ENSMUSE00001333376,0
ENSMUSE00000702281,6
ENSMUSE00001322127,5
ENSMUSE00001329918,6
ENSMUSE00001333872,1
ENSMUSE00000836051,252
ENSMUSE00000351902,317
ENSMUSE00000824133,14
ENSMUSE00001310609,239
ENSMUSE00001309695,101
ENSMUSE00001220650,163
ENSMUSE00001290400,14
ENSMUSE00001233074,4
ENSMUSE00001331053,1
ENSMUSE00001332705,13
ENSMUSE00000156356,17
ENSMUSE00001334449,1
ENSMUSE00001081342,16
ENSMUSE00000482374,12
ENSMUSE00000789808,21
ENSMUSE00000702181,40
ENSMUSE00000303026,40
ENSMUSE00000664428,0
ENSMUSE00001327469,1
ENSMUSE00001319942,105
ENSMUSE00000551564,31
ENSMUSE00001320055,10
ENSMUSE00001334203,143
ENSMUSE00001328644,139
ENSMUSE00001326674,132
ENSMUSE00001333174,78
ENSMUSE00001330368,0
ENSMUSE00001331058,0
ENSMUSE00001321331,0
ENSMUSE00001332926,0
ENSMUSE00000821277,13
ENSMUSE00001297684,87
ENSMUSE00000731131,14
ENSMUSE00001277010,12
ENSMUSE00000735893,6
ENSMUSE00001326307,0
ENSMUSE00001267744,1
ENSMUSE00001343620,1
ENSMUSE00001003419,0
ENSMUSE00001337217,0
ENSMUSE00001336614,0
ENSMUSE00001336458,0
ENSMUSE00001346345,0
ENSMUSE00001344287,0
ENSMUSE00001345847,0
ENSMUSE00001329532,43
ENSMUSE00001339117,1
ENSMUSE00001334105,0
ENSMUSE00001345797,0
ENSMUSE00001339807,0
ENSMUSE00001341624,0
ENSMUSE00001346146,1
ENSMUSE00001342109,0
ENSMUSE00001343221,1
ENSMUSE00001342201,0
ENSMUSE00001343618,0
ENSMUSE00001341986,0
ENSMUSE00001340360,1
ENSMUSE00001344473,0
ENSMUSE00001327923,0
ENSMUSE00000630502,3
ENSMUSE00001022433,0
ENSMUSE00001325602,0
ENSMUSE00001332568,0
ENSMUSE00000772203,3
ENSMUSE00000630494,0
ENSMUSE00000712064,3
ENSMUSE00000521657,0
ENSMUSE00000707643,0
ENSMUSE00001322059,29
ENSMUSE00001316666,0
ENSMUSE00000444744,1
ENSMUSE00001320074,1
ENSMUSE00001319806,691
ENSMUSE00000630484,587
ENSMUSE00001070863,93
ENSMUSE00001326512,18
ENSMUSE00001330817,21
ENSMUSE00001329773,556
ENSMUSE00001328041,542
ENSMUSE00001323480,517
ENSMUSE00001332277,25
ENSMUSE00001318427,374
ENSMUSE00001335554,37
ENSMUSE00001346257,21
ENSMUSE00001323453,106
ENSMUSE00001341042,40
ENSMUSE00001331304,7
ENSMUSE00000359965,60
ENSMUSE00000780903,60
ENSMUSE00001358694,60
ENSMUSE00001448561,56
ENSMUSE00000737646,37
ENSMUSE00000726613,9
ENSMUSE00000999227,0
ENSMUSE00000839243,0
ENSMUSE00001448584,29
ENSMUSE00000827364,29
ENSMUSE00001448999,0
ENSMUSE00001325020,14
ENSMUSE00001314055,0
ENSMUSE00000664629,0
ENSMUSE00000847130,0
ENSMUSE00000521912,0
ENSMUSE00001345701,1
ENSMUSE00000887959,1
ENSMUSE00000847999,0
ENSMUSE00001337135,0
ENSMUSE00001327387,0
ENSMUSE00001323255,3
ENSMUSE00001344547,0
ENSMUSE00001334453,1
ENSMUSE00000416694,2475
ENSMUSE00001330186,1764
ENSMUSE00001342439,62
ENSMUSE00001329475,71
ENSMUSE00001343766,2
ENSMUSE00000404172,103
ENSMUSE00000818026,17
ENSMUSE00001327678,98
ENSMUSE00001330596,6
ENSMUSE00000786650,557
ENSMUSE00001256141,557
ENSMUSE00001223586,368
ENSMUSE00001253843,24
ENSMUSE00001332686,420
ENSMUSE00000728771,215
ENSMUSE00000842825,7
ENSMUSE00000717309,20
ENSMUSE00000701880,15
ENSMUSE00001341069,15
ENSMUSE00001342889,15
ENSMUSE00001345617,6
ENSMUSE00001278260,6
ENSMUSE00001346339,1
ENSMUSE00001320702,0
ENSMUSE00000722438,0
ENSMUSE00001122439,2
ENSMUSE00001331198,0
ENSMUSE00001345505,0
ENSMUSE00001340537,0
ENSMUSE00001335024,2
ENSMUSE00001323086,2
ENSMUSE00001337273,39
ENSMUSE00000945759,1
ENSMUSE00000311840,27
ENSMUSE00001325065,25
ENSMUSE00001322826,2
ENSMUSE00001334567,11
ENSMUSE00001333798,18
ENSMUSE00001320881,9
ENSMUSE00001335071,2
ENSMUSE00001324410,2
ENSMUSE00001325171,0
ENSMUSE00001319234,0
ENSMUSE00000796339,3
ENSMUSE00001327449,0
ENSMUSE00001334889,0
ENSMUSE00001322957,0
ENSMUSE00000406433,0
ENSMUSE00001321048,1
ENSMUSE00001344241,0
ENSMUSE00001337347,0
ENSMUSE00001339107,0
ENSMUSE00001341767,24
ENSMUSE00001207540,618
ENSMUSE00000461733,618
ENSMUSE00001332841,426
ENSMUSE00001338209,0
ENSMUSE00000664196,0
ENSMUSE00001346045,9
ENSMUSE00001340332,0
ENSMUSE00001337769,1
