Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
337-6_S15_L001_R2_001	24.3915588641	40.0	5610926.0	8.33333333333	48.0
337-6_S15_L002_R1_001	23.5843409106	40.0	5416483.0	16.6666666667	49.0
337-6_S15_L002_R2_001	24.1044704258	40.0	5416483.0	0.0	48.0
337-6_S15_L003_R1_001	24.1243963089	40.0	5614235.0	16.6666666667	49.0
337-6_S15_L003_R2_001	24.5708766937	40.0	5614235.0	0.0	48.0
337-6_S15_L004_R1_001	23.9528769409	40.0	5484363.0	16.6666666667	49.0
337-6_S15_L004_R2_001	24.3638948372	40.0	5484363.0	8.33333333333	48.0
337-7_S8_L001_R1_001	51.1434674153	40.0	3480895.0	33.3333333333	57.0
337-7_S8_L001_R2_001	51.2432576757	40.0	3480895.0	33.3333333333	57.0
337-7_S8_L002_R1_001	51.0449604334	40.0	3363722.0	25.0	57.0
337-7_S8_L002_R2_001	51.100904649	40.0	3363722.0	25.0	57.0
337-7_S8_L003_R1_001	51.5085016046	40.0	3495074.0	25.0	57.0
337-7_S8_L003_R2_001	51.6619874876	40.0	3495074.0	25.0	57.0
337-7_S8_L004_R1_001	51.3706411558	40.0	3407283.0	33.3333333333	57.0
337-7_S8_L004_R2_001	51.3421965288	40.0	3407283.0	25.0	57.0
337-8_S14_L001_R1_001	23.7613638655	40.0	5699821.0	8.33333333333	48.0
337-8_S14_L001_R2_001	24.1415003532	40.0	5699821.0	0.0	48.0
337-8_S14_L002_R1_001	23.5991705734	40.0	5505509.0	16.6666666667	48.0
337-8_S14_L002_R2_001	24.0656307409	40.0	5505509.0	8.33333333333	48.0
337-8_S14_L003_R1_001	24.0521832587	40.0	5714153.0	8.33333333333	48.0
337-8_S14_L003_R2_001	24.735482414	40.0	5714153.0	8.33333333333	48.0
337-8_S14_L004_R1_001	23.7946440608	40.0	5572871.0	16.6666666667	48.0
337-8_S14_L004_R2_001	24.3814719764	40.0	5572871.0	0.0	48.0
337-9_S23_L001_R1_001	46.9858512372	40.0	3889423.0	16.6666666667	57.0
337-9_S23_L001_R2_001	47.0350395819	40.0	3889423.0	25.0	57.0
337-9_S23_L002_R1_001	46.8426499413	40.0	3765404.0	16.6666666667	57.0
337-9_S23_L002_R2_001	46.9026674974	40.0	3765404.0	25.0	57.0
337-9_S23_L003_R1_001	47.3728711104	40.0	3909902.0	16.6666666667	57.0
337-9_S23_L003_R2_001	47.5574413741	40.0	3909902.0	16.6666666667	57.0
337-9_S23_L004_R1_001	47.1760062114	40.0	3809695.0	16.6666666667	57.0
337-9_S23_L004_R2_001	47.291566744	40.0	3809695.0	16.6666666667	57.0
