Sample	Unique Reads	Duplicate Reads
337-20_S12_L003_R2_001	3061146.0	1750417.0
337-20_S12_L004_R1_001	2997520.0	1695762.0
337-20_S12_L004_R2_001	2998344.0	1694938.0
337-21_S1_L001_R1_001	2978509.0	1955553.0
337-21_S1_L001_R2_001	2995839.0	1938223.0
337-21_S1_L002_R1_001	2892826.0	1879293.0
337-21_S1_L002_R2_001	2913738.0	1858381.0
337-21_S1_L003_R1_001	2983555.0	1966777.0
337-21_S1_L003_R2_001	2998638.0	1951694.0
337-21_S1_L004_R1_001	2920314.0	1910420.0
337-21_S1_L004_R2_001	2933969.0	1896765.0
337-23_S6_L001_R1_001	2428714.0	1824995.0
337-23_S6_L001_R2_001	2419551.0	1834158.0
337-23_S6_L002_R1_001	2360540.0	1751268.0
337-23_S6_L002_R2_001	2352660.0	1759148.0
337-23_S6_L003_R1_001	2429340.0	1843034.0
337-23_S6_L003_R2_001	2418792.0	1853582.0
337-23_S6_L004_R1_001	2373154.0	1787859.0
337-23_S6_L004_R2_001	2364916.0	1796097.0
337-24_S2_L001_R1_001	2226960.0	1579573.0
337-24_S2_L001_R2_001	2226344.0	1580189.0
337-24_S2_L002_R1_001	2150434.0	1523564.0
337-24_S2_L002_R2_001	2151304.0	1522694.0
337-24_S2_L003_R1_001	2221855.0	1600146.0
337-24_S2_L003_R2_001	2218184.0	1603817.0
337-24_S2_L004_R1_001	2177172.0	1548288.0
337-24_S2_L004_R2_001	2173949.0	1551511.0
337-2_S19_L001_R1_001	3553398.0	2032829.0
337-2_S19_L001_R2_001	3569541.0	2016686.0
337-2_S19_L002_R1_001	3450479.0	1952360.0
337-2_S19_L002_R2_001	3460960.0	1941879.0
337-2_S19_L003_R1_001	3552758.0	2052003.0
337-2_S19_L003_R2_001	3557711.0	2047050.0
337-2_S19_L004_R1_001	3478988.0	1991907.0
337-2_S19_L004_R2_001	3494826.0	1976069.0
337-3_S18_L001_R1_001	1549867.0	1902840.0
337-3_S18_L001_R2_001	1554846.0	1897861.0
337-3_S18_L002_R1_001	1512528.0	1813010.0
337-3_S18_L002_R2_001	1520402.0	1805136.0
337-3_S18_L003_R1_001	1549516.0	1912382.0
337-3_S18_L003_R2_001	1554001.0	1907897.0
337-3_S18_L004_R1_001	1508022.0	1865785.0
337-3_S18_L004_R2_001	1518735.0	1855072.0
337-4_S10_L001_R1_001	3450736.0	1327811.0
337-4_S10_L001_R2_001	3442887.0	1335660.0
337-4_S10_L002_R1_001	3346488.0	1276770.0
337-4_S10_L002_R2_001	3328673.0	1294585.0
337-4_S10_L003_R1_001	3450852.0	1341411.0
337-4_S10_L003_R2_001	3430916.0	1361347.0
337-4_S10_L004_R1_001	3376460.0	1304121.0
337-4_S10_L004_R2_001	3356321.0	1324260.0
337-5_S9_L001_R1_001	5184768.0	1179013.0
