#Duplication rate	Coverage
1.0	4178453.0
2.0	497181.0
3.0	69471.0
4.0	15906.0
5.0	5677.0
6.0	2777.0
7.0	1631.0
8.0	1062.0
9.0	752.0
10.0	566.0
11.0	426.0
12.0	330.0
13.0	257.0
14.0	221.0
15.0	210.0
16.0	158.0
17.0	143.0
18.0	115.0
19.0	119.0
20.0	104.0
21.0	87.0
22.0	75.0
23.0	82.0
24.0	66.0
25.0	62.0
26.0	51.0
27.0	49.0
28.0	64.0
29.0	62.0
30.0	44.0
31.0	43.0
32.0	49.0
33.0	32.0
34.0	29.0
35.0	43.0
36.0	34.0
37.0	44.0
38.0	38.0
39.0	24.0
40.0	31.0
41.0	28.0
42.0	34.0
43.0	33.0
44.0	24.0
45.0	27.0
46.0	28.0
47.0	17.0
48.0	18.0
49.0	26.0
50.0	5670.0
