name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000106764,125,70,68,7,2,0,17,11,3,14,2,266,36,112,2,0,1,18,29,8,15,0,7
ENSMUSE00000107206,4,0,0,0,0,1,0,0,0,4,1,1,1,0,1,0,0,0,0,0,8,4,1
ENSMUSE00000107233,10,22,8,1,0,2,1,1,0,1,0,7,5,18,0,0,0,0,0,2,6,3,5
ENSMUSE00000107599,5,2,1,3,1,3,8,2,2,4,0,8,1,2,1,1,0,1,7,3,5,2,1
ENSMUSE00000107807,1,0,0,0,1,0,1,0,0,8,0,0,0,0,0,1,1,0,0,1,5,1,0
ENSMUSE00000108336,2,1,1,1,1,0,1,0,1,8,1,5,0,4,0,0,1,2,0,0,11,0,1
ENSMUSE00000108603,114,44,32,7,29,17,41,26,40,38,7,71,30,19,6,6,13,25,25,11,15,14,24
ENSMUSE00000108643,1,0,0,0,0,0,2,0,0,1,1,2,0,3,0,0,0,0,0,0,6,0,1
ENSMUSE00000108655,213,84,151,65,142,135,115,144,52,171,22,237,60,147,68,44,90,120,147,94,126,66,122
ENSMUSE00000109077,12,1,2,6,0,2,3,0,0,12,3,12,0,3,0,4,1,0,3,1,30,1,5
ENSMUSE00000109525,1007,573,713,416,1229,877,719,1029,656,1169,253,1358,430,751,604,796,808,824,1163,907,847,650,1260
ENSMUSE00000109904,7,0,0,11,7,6,5,6,1,6,2,1,0,0,2,1,0,2,3,7,10,1,1
ENSMUSE00000109961,50,17,41,3,19,18,17,3,6,28,15,61,18,28,4,9,5,16,18,16,22,30,17
ENSMUSE00000110329,33,36,50,8,3,1,19,3,6,12,0,41,31,32,2,1,1,7,6,6,6,4,2
ENSMUSE00000110864,186,268,192,90,152,146,166,134,100,272,45,262,208,232,110,86,87,119,142,146,204,120,234
ENSMUSE00000111109,7,0,1,3,1,2,1,1,0,7,1,3,3,0,1,0,0,2,0,2,7,0,0
ENSMUSE00000111253,12,0,0,2,1,0,2,0,0,9,2,8,2,0,0,0,0,2,0,0,8,1,1
ENSMUSE00000112200,1,0,0,2,0,0,4,0,0,2,2,3,0,0,0,0,0,0,1,0,7,1,3
ENSMUSE00000112654,9,31,10,2,1,3,12,9,3,11,1,15,19,16,7,1,11,7,1,3,5,3,8
ENSMUSE00000113136,2,3,0,2,1,0,6,0,1,12,3,2,0,2,0,0,0,5,0,0,12,1,0
ENSMUSE00000114045,15,7,6,3,5,0,18,18,2,7,1,13,6,4,0,2,6,7,7,14,4,0,0
