name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000366568,3,0,0,2,0,0,3,0,0,4,0,2,0,5,1,0,0,1,0,0,18,0,0
ENSMUSE00000366684,7,2,1,0,1,0,3,2,2,4,0,3,3,0,1,0,0,1,0,1,23,1,3
ENSMUSE00000366707,4,9,3,10,30,6,4,7,6,19,5,16,8,20,10,5,5,5,4,1,16,29,38
ENSMUSE00000367069,47,15,28,27,51,36,16,11,24,119,29,69,12,25,33,34,37,26,37,32,131,49,126
ENSMUSE00000367227,0,0,8,0,0,1,0,1,1,7,1,1,2,4,2,1,1,1,0,1,0,2,2
ENSMUSE00000367421,29,2,3,5,3,3,11,2,1,20,11,17,1,6,3,1,0,8,0,0,53,7,1
ENSMUSE00000367467,7,2,2,1,2,1,5,1,0,4,1,12,1,0,1,0,0,1,2,0,5,3,0
ENSMUSE00000367555,3,0,0,0,1,1,2,1,0,6,0,6,1,2,2,1,0,1,0,0,5,0,3
ENSMUSE00000367569,3,0,0,4,1,2,1,3,0,4,0,6,1,1,1,5,1,5,2,1,0,2,0
ENSMUSE00000367721,36,10,13,20,6,3,19,8,2,34,9,44,15,22,1,0,1,11,10,4,26,4,6
ENSMUSE00000367733,51,5,1,15,4,7,19,1,1,73,17,42,7,13,3,1,1,7,1,1,160,9,6
ENSMUSE00000367734,376,136,326,19,16,6,40,53,30,86,11,497,125,276,18,4,10,54,14,15,48,41,65
ENSMUSE00000367859,8,5,2,0,0,0,3,0,1,6,0,13,5,16,0,0,0,0,0,0,5,0,1
ENSMUSE00000368094,44,33,28,1,1,4,10,9,0,26,10,21,15,33,3,1,2,7,7,3,16,5,3
ENSMUSE00000368111,7,29,19,1,0,0,1,0,2,2,3,20,15,20,0,0,0,1,1,0,3,0,0
ENSMUSE00000368151,62,17,29,20,10,8,30,21,10,29,7,50,19,40,9,2,9,10,12,15,33,12,15
ENSMUSE00000368294,4,2,0,3,1,1,2,0,0,6,1,8,0,2,0,0,0,5,1,2,5,2,2
ENSMUSE00000368521,16,0,2,5,1,1,7,1,0,17,4,6,1,4,1,1,0,1,1,0,28,4,1
ENSMUSE00000368610,3,0,0,4,0,1,3,0,0,4,0,2,0,1,0,1,0,0,0,0,7,1,0
ENSMUSE00000368872,45,17,9,20,3,6,48,10,4,62,13,53,11,26,6,8,4,22,14,8,73,6,8
ENSMUSE00000368979,18,6,6,1,0,0,6,0,0,9,0,10,6,4,1,1,0,4,1,0,1,0,0
ENSMUSE00000369398,3,0,4,2,0,0,0,0,1,0,2,7,2,5,0,1,1,0,0,0,0,0,0
ENSMUSE00000370039,16,5,1,5,3,1,11,1,1,20,3,15,0,1,0,0,1,7,0,1,36,3,3
ENSMUSE00000370234,10,2,2,5,3,4,9,7,3,13,4,9,0,1,3,2,2,7,8,10,23,1,4
ENSMUSE00000370261,2,7,4,0,1,0,0,2,1,6,0,4,1,0,0,0,1,0,0,1,0,2,0
ENSMUSE00000370373,722,148,289,319,483,355,598,590,258,817,86,1034,97,305,234,165,301,652,950,558,514,301,498
ENSMUSE00000370479,3,1,0,4,0,0,1,0,0,8,2,3,0,0,0,0,0,1,0,0,13,0,2
ENSMUSE00000370481,6,4,2,1,0,4,1,1,0,4,1,27,2,4,1,1,2,2,4,0,4,1,1
ENSMUSE00000370687,14,7,13,6,1,3,20,1,1,32,9,13,7,4,2,1,3,3,1,1,37,2,0
ENSMUSE00000370818,6,0,0,2,1,0,4,0,1,4,3,2,1,2,0,2,0,1,0,0,23,0,1
ENSMUSE00000370845,107,30,45,5,12,7,27,8,7,44,10,139,50,76,6,1,1,4,8,5,22,4,11
ENSMUSE00000371119,25,2,1,7,2,0,4,2,0,17,2,5,1,2,0,0,1,1,3,0,42,1,1
ENSMUSE00000371175,35,38,23,2,1,1,1,1,0,6,1,45,30,27,0,1,0,1,3,0,8,0,1
ENSMUSE00000371426,9,1,2,5,1,2,7,1,1,20,7,12,1,1,1,2,0,2,2,1,26,1,4
ENSMUSE00000371440,38,6,2,10,5,2,17,5,0,30,16,26,4,10,4,1,1,6,3,3,63,6,1
ENSMUSE00000371628,61,26,52,24,31,22,50,56,27,115,19,119,17,77,24,15,9,42,48,33,94,58,106
ENSMUSE00000371672,2,1,0,0,0,0,1,0,0,7,0,6,0,1,1,0,0,0,0,0,4,0,1
ENSMUSE00000372261,24,5,3,11,1,2,9,1,1,35,4,13,3,6,3,4,0,2,4,1,38,7,7
ENSMUSE00000372298,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
ENSMUSE00000372801,45,5,6,29,10,5,41,2,1,56,17,31,3,16,7,2,1,13,6,4,100,11,5
ENSMUSE00000372860,1,0,0,1,0,0,5,8,2,2,0,0,0,0,0,0,0,1,1,2,1,0,0
ENSMUSE00000372968,162,86,76,18,2,1,9,2,2,24,16,310,36,207,2,2,7,9,3,0,26,8,10
ENSMUSE00000373151,4,0,0,2,2,1,6,0,1,1,6,6,1,3,0,0,1,2,1,1,8,0,2
ENSMUSE00000373315,17,14,4,22,37,13,86,80,34,26,5,40,6,14,19,9,22,29,55,53,28,9,16
ENSMUSE00000373600,16,10,11,7,17,14,27,36,12,21,1,24,3,18,5,4,9,36,20,26,21,12,23
ENSMUSE00000374067,9,1,0,1,1,0,3,0,0,11,2,8,1,2,0,0,0,3,0,0,17,2,0
ENSMUSE00000374138,2,0,0,0,0,0,4,0,1,5,2,2,0,0,0,0,0,0,0,0,10,1,1
ENSMUSE00000374356,1,2,1,24,46,21,7,13,25,18,7,0,4,6,31,37,28,16,18,37,14,9,26
ENSMUSE00000374385,23,9,8,16,5,5,45,21,30,64,12,18,5,8,5,6,14,27,17,18,66,22,31
ENSMUSE00000374401,4,0,0,3,1,0,0,0,0,7,1,3,0,1,0,0,0,0,0,0,6,2,0
ENSMUSE00000374482,6,0,0,5,0,0,4,0,0,2,2,2,0,3,0,0,0,1,0,0,10,2,0
ENSMUSE00000374556,70,13,2,35,21,10,47,33,8,98,23,57,10,20,14,6,13,29,26,13,158,21,42
ENSMUSE00000374812,24,10,15,97,212,191,150,199,128,193,30,32,9,22,104,93,129,108,215,154,155,99,136
ENSMUSE00000375113,10,4,1,9,3,3,6,0,0,19,4,6,1,5,2,0,1,4,2,0,26,4,3
ENSMUSE00000375385,5,1,1,1,0,0,4,6,2,3,0,2,3,1,0,0,0,3,2,1,2,1,1
ENSMUSE00000375442,51,7,0,20,4,1,21,2,3,66,21,27,3,6,1,2,1,10,0,0,85,6,4
ENSMUSE00000376021,3,3,8,7,11,14,6,3,6,17,5,3,4,5,8,4,3,6,1,1,25,10,15
ENSMUSE00000376431,21,22,3,2,1,0,8,11,3,6,1,34,5,13,1,1,1,7,1,1,3,0,3
ENSMUSE00000376458,40,52,52,19,37,39,35,30,16,61,22,82,50,51,27,6,26,12,25,10,54,38,50
ENSMUSE00000376637,78,30,43,22,34,21,41,41,27,57,6,122,29,39,4,10,16,25,47,33,61,25,59
ENSMUSE00000376709,49,81,15,36,48,61,65,49,45,120,17,48,70,29,30,15,45,56,44,30,63,78,68
ENSMUSE00000376863,17,4,3,5,5,3,20,4,2,22,3,19,1,7,2,0,2,5,1,4,30,1,6
ENSMUSE00000377060,2,0,0,1,0,0,1,0,0,4,2,2,0,0,0,0,1,1,1,2,11,0,1
ENSMUSE00000377093,12,10,14,1,6,1,7,7,3,4,1,11,7,15,0,3,0,5,6,5,0,1,7
ENSMUSE00000377217,23,2,2,10,0,0,10,1,0,17,4,10,3,8,0,3,1,1,2,1,18,4,4
ENSMUSE00000377294,11,6,5,3,10,4,1,5,3,2,2,11,2,9,0,3,14,1,7,3,7,4,11
ENSMUSE00000377378,151,128,230,32,127,91,85,115,78,161,46,194,88,242,61,75,102,115,124,89,105,116,159
ENSMUSE00000377411,24,3,0,9,0,0,13,0,1,35,5,7,2,0,0,2,0,3,0,0,28,2,2
ENSMUSE00000377886,5,1,0,1,0,0,3,0,0,8,0,5,2,0,0,0,1,0,0,0,36,0,1
ENSMUSE00000377977,1,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,0,6,1,0
ENSMUSE00000377984,1141,943,698,264,430,369,507,503,235,593,145,1935,555,1244,270,214,294,460,673,375,691,394,577
ENSMUSE00000378060,7,7,2,0,0,0,1,0,0,1,0,10,4,14,0,0,0,4,0,0,0,0,0
ENSMUSE00000378727,16,6,16,8,17,16,4,11,3,22,13,7,5,11,8,5,5,1,5,10,29,8,20
ENSMUSE00000378784,23,14,16,20,44,18,17,18,25,81,21,22,27,23,11,29,20,8,36,22,63,43,96
ENSMUSE00000378877,16,1,0,6,0,0,6,1,0,17,7,4,1,1,0,1,0,3,1,1,22,0,2
ENSMUSE00000379073,12,8,14,18,24,14,44,28,17,8,1,29,7,12,10,10,10,30,29,25,4,0,6
ENSMUSE00000379117,10,8,1,20,38,31,33,13,12,158,13,5,5,6,22,17,28,18,17,13,93,104,102
ENSMUSE00000379125,8,1,1,4,0,0,0,0,0,14,2,9,1,0,1,1,0,0,0,0,14,0,0
ENSMUSE00000379171,43,8,3,23,25,6,75,23,8,67,15,34,3,13,6,6,0,13,11,4,90,8,11
ENSMUSE00000379250,12,1,1,3,4,0,5,2,0,20,5,13,2,1,1,2,2,1,2,1,24,9,0
ENSMUSE00000379813,7,2,1,1,1,0,6,0,0,13,9,3,0,0,1,1,0,1,1,0,7,3,1
ENSMUSE00000380255,86,33,22,37,17,18,55,15,19,162,33,76,19,31,5,8,7,26,4,6,148,8,21
ENSMUSE00000380263,268,149,299,154,371,225,288,235,141,446,38,474,71,348,163,145,204,257,319,304,359,220,363
ENSMUSE00000380268,535,578,110,158,207,154,258,274,110,301,23,831,333,247,120,106,124,223,264,181,300,114,228
ENSMUSE00000380279,35,3,1,3,0,0,9,1,0,34,8,13,2,2,2,1,0,6,2,0,48,8,1
ENSMUSE00000380654,5,2,0,0,0,1,1,6,1,2,0,1,1,0,0,1,0,1,1,0,2,0,0
ENSMUSE00000380956,253,198,192,95,162,105,103,124,90,223,50,263,158,161,72,75,67,77,140,91,153,150,160
ENSMUSE00000381039,4,1,8,0,0,0,5,7,0,4,1,7,2,2,0,0,2,2,0,2,25,2,2
ENSMUSE00000381076,30,12,14,0,0,1,3,1,3,2,1,39,18,19,0,1,0,0,1,0,1,1,1
ENSMUSE00000381081,65,34,26,54,131,74,90,95,60,106,18,68,26,30,52,41,68,92,117,97,80,44,91
ENSMUSE00000381247,4,10,0,2,1,7,13,12,8,12,2,18,15,9,5,5,1,12,8,1,8,3,18
ENSMUSE00000381371,246,180,193,100,242,160,173,182,105,252,60,332,193,227,103,148,155,170,239,157,228,179,238
ENSMUSE00000381444,9,3,3,4,2,0,7,1,0,9,1,6,11,5,2,1,3,8,5,4,11,8,0
ENSMUSE00000381671,9,1,1,4,2,0,10,0,1,21,5,12,1,3,2,0,0,2,0,0,16,2,6
ENSMUSE00000381794,12,10,8,5,6,7,7,13,7,20,2,24,2,9,6,1,5,3,4,4,9,11,14
ENSMUSE00000381829,38,27,36,20,59,38,19,26,18,70,10,51,24,32,32,13,25,13,48,33,62,42,81
ENSMUSE00000382073,1,5,0,1,0,0,1,0,0,3,1,0,2,2,1,0,2,3,1,1,9,0,1
ENSMUSE00000382126,6,2,0,9,0,2,12,8,5,6,0,1,1,0,0,0,0,1,2,0,7,1,0
ENSMUSE00000382144,13,6,22,32,76,44,15,14,16,47,6,22,2,16,30,10,31,10,16,22,16,6,14
ENSMUSE00000382249,5,3,1,2,0,0,0,1,0,5,1,3,1,1,0,0,0,1,1,0,11,0,0
ENSMUSE00000382422,0,1,2,2,3,6,11,8,3,1,0,0,2,3,5,1,1,6,10,11,2,0,0
ENSMUSE00000382449,5,1,1,3,1,0,2,1,0,15,3,2,1,4,3,0,0,1,2,1,18,1,0
ENSMUSE00000382471,0,1,1,2,1,6,3,1,1,15,2,3,0,1,6,0,4,0,2,1,7,6,5
ENSMUSE00000382543,4,3,2,1,2,1,4,0,1,3,0,11,1,3,1,0,0,1,0,1,2,0,0
ENSMUSE00000382619,43,40,20,28,70,46,62,90,37,44,1,69,13,25,20,57,55,53,137,51,22,15,29
ENSMUSE00000382917,49,7,2,12,3,1,22,1,2,47,12,19,0,3,2,0,0,4,1,2,54,3,7
ENSMUSE00000383185,3,0,0,0,1,0,2,1,0,5,1,2,0,1,0,0,0,6,4,0,14,0,0
ENSMUSE00000383251,18,1,7,5,1,1,3,0,0,12,5,7,0,2,4,2,0,0,0,0,20,4,4
ENSMUSE00000383309,8,0,2,3,10,7,7,0,3,18,3,5,7,3,3,2,2,4,2,1,17,1,1
ENSMUSE00000383412,1033,1831,1074,132,180,153,353,141,98,476,100,2066,2387,1671,121,82,109,258,156,175,405,315,458
ENSMUSE00000383544,147,16,2,42,10,6,47,5,1,164,47,65,14,19,9,5,3,15,7,2,284,18,17
ENSMUSE00000383586,7,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,1,0,0,1,2
ENSMUSE00000384183,89,78,87,3,1,3,0,2,2,5,1,126,67,67,0,4,1,3,2,2,2,2,7
ENSMUSE00000384241,67,9,4,23,3,7,58,8,6,86,30,41,3,13,7,3,3,19,18,12,127,10,10
ENSMUSE00000384503,29,3,1,13,3,2,19,0,0,47,10,20,3,8,1,1,1,6,3,0,66,5,5
ENSMUSE00000384642,123,83,66,60,221,177,257,195,130,211,38,170,54,86,96,129,119,208,302,199,151,120,161
ENSMUSE00000384709,12,0,1,3,2,0,5,0,0,17,4,10,1,3,3,1,1,1,2,0,10,4,1
ENSMUSE00000384819,11,2,3,3,3,2,8,4,2,10,8,7,6,7,3,2,2,7,2,2,21,8,3
ENSMUSE00000385067,29,15,10,9,3,0,13,3,3,24,11,20,8,30,1,3,2,4,1,2,29,4,4
ENSMUSE00000385096,2,1,1,2,0,0,4,0,0,7,1,3,0,0,0,0,0,1,0,0,5,1,0
ENSMUSE00000385266,1,4,0,1,0,0,0,0,1,6,2,0,0,1,0,1,0,0,0,0,2,1,0
ENSMUSE00000385360,85,17,42,13,8,7,25,1,0,54,15,88,43,44,1,2,2,10,0,1,66,7,6
ENSMUSE00000385393,5,1,0,1,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,4,1,0
ENSMUSE00000385418,0,0,0,0,0,2,1,0,0,3,0,1,0,0,0,1,0,0,0,0,6,1,1
ENSMUSE00000385688,10,0,0,4,2,2,6,2,4,12,3,4,3,0,2,1,3,4,8,2,14,1,2
ENSMUSE00000385728,6,0,0,1,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,2,0,0
ENSMUSE00000385969,0,0,0,1,6,2,2,2,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0
ENSMUSE00000386087,12,2,0,11,2,2,8,2,1,21,7,14,5,2,1,1,0,4,1,1,40,3,1
ENSMUSE00000386284,2,7,1,12,17,20,57,86,57,7,0,2,2,1,4,3,2,20,45,34,2,0,2
ENSMUSE00000386381,2,1,1,0,0,0,1,0,0,4,0,9,0,1,3,0,0,1,0,1,15,1,2
ENSMUSE00000386478,5,9,27,1,1,1,3,1,1,10,6,76,7,30,0,0,0,2,1,0,39,2,7
ENSMUSE00000386661,64,61,18,26,60,29,32,33,36,50,2,62,32,25,20,12,43,24,33,32,27,9,11
ENSMUSE00000387159,14,11,0,1,0,0,1,1,0,3,0,14,2,2,0,0,0,0,1,0,5,0,0
ENSMUSE00000387281,48,86,46,14,22,12,15,24,12,16,1,78,46,49,8,11,13,16,14,3,9,14,20
ENSMUSE00000387313,18,3,1,17,50,41,110,151,78,21,11,10,3,3,6,16,17,50,82,72,27,5,0
ENSMUSE00000387331,6,0,0,3,0,0,1,0,0,4,3,0,1,0,0,0,0,0,0,0,17,0,0
ENSMUSE00000387555,19,1,0,4,0,2,5,0,1,11,9,4,0,0,0,0,0,0,0,0,15,0,2
ENSMUSE00000387638,12,4,0,8,7,4,17,11,9,8,0,7,0,1,8,5,4,12,37,28,20,3,10
ENSMUSE00000387764,1,0,0,0,1,0,2,0,0,8,4,4,1,0,0,0,0,0,1,1,8,1,0
ENSMUSE00000387818,2,0,0,0,0,0,1,0,1,6,0,6,0,0,2,0,0,3,0,1,8,0,0
ENSMUSE00000387832,114,81,120,17,13,18,21,21,11,51,13,254,111,163,13,7,8,22,26,14,69,23,42
ENSMUSE00000387841,2,0,0,3,0,0,1,0,0,12,1,1,0,3,2,0,0,1,0,0,3,0,1
ENSMUSE00000388072,16,4,0,8,1,2,15,2,5,20,3,7,1,1,0,2,1,7,4,1,33,1,3
ENSMUSE00000388134,3,1,1,0,1,0,3,0,5,4,2,8,8,5,1,1,1,0,2,0,1,6,3
ENSMUSE00000388226,207,231,53,59,106,131,381,386,218,138,14,134,128,136,53,42,60,351,342,303,53,26,14
ENSMUSE00000388523,27,12,17,15,16,20,10,3,4,27,10,70,17,17,5,3,3,9,5,9,30,8,18
ENSMUSE00000388595,25,23,10,6,8,1,17,12,2,5,0,15,7,17,8,7,1,6,2,3,12,1,13
ENSMUSE00000388744,6,9,1,2,3,2,0,3,2,1,0,4,2,0,5,0,0,1,0,4,6,0,0
ENSMUSE00000388774,2,2,0,1,2,1,1,0,0,3,1,4,0,3,0,0,0,1,1,0,6,0,1
ENSMUSE00000389603,7,0,2,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,2,0,0
ENSMUSE00000389721,13,1,5,4,2,3,11,2,3,8,3,7,0,3,2,0,1,2,3,3,14,1,0
ENSMUSE00000389731,6,1,0,4,1,1,2,2,0,10,2,6,1,2,1,0,1,2,0,0,25,5,2
ENSMUSE00000389949,21,7,0,6,5,2,12,1,1,38,6,17,7,5,2,0,0,5,1,1,25,2,4
ENSMUSE00000389961,10,3,0,3,2,0,6,0,0,7,2,5,3,5,0,1,0,0,2,1,14,1,3
ENSMUSE00000389995,23,5,0,2,4,3,16,1,0,34,14,15,3,4,1,2,1,4,3,1,49,4,3
ENSMUSE00000390040,27,11,16,2,0,0,2,9,10,15,2,26,29,26,0,1,1,12,29,12,9,6,7
ENSMUSE00000390089,4,0,1,1,1,0,6,0,0,10,2,7,0,5,0,0,0,0,0,0,11,3,1
ENSMUSE00000390214,13,1,0,5,1,2,3,1,1,17,5,6,3,2,2,1,0,3,1,2,35,2,1
ENSMUSE00000390218,47,96,30,16,4,14,202,182,90,67,6,42,56,22,1,2,2,23,13,7,35,9,2
ENSMUSE00000390421,3,3,17,7,21,13,14,7,12,27,6,15,5,11,6,14,3,2,8,1,29,18,17
ENSMUSE00000390673,5,0,0,2,1,0,4,0,0,8,0,0,0,1,1,0,0,1,2,0,1,0,0
ENSMUSE00000390696,8,1,0,3,0,0,3,1,0,9,1,1,1,1,0,0,0,1,1,0,6,1,2
ENSMUSE00000390755,21,12,0,8,12,1,16,16,1,14,4,41,6,16,3,1,3,4,7,2,73,6,3
ENSMUSE00000390890,14,11,6,10,15,17,22,8,3,13,1,31,8,25,8,9,8,8,4,8,3,7,2
ENSMUSE00000391561,7,15,3,3,1,1,6,13,2,16,8,4,1,4,1,3,0,4,22,3,21,1,5
ENSMUSE00000391715,5,1,0,3,0,0,2,0,0,4,2,6,0,1,1,0,1,0,0,0,8,1,2
ENSMUSE00000391720,40,9,1,9,1,1,22,1,1,38,11,14,1,2,4,1,4,11,0,0,84,8,1
ENSMUSE00000391725,17,14,16,5,8,8,9,19,10,6,1,11,13,20,7,3,7,14,22,3,7,9,8
ENSMUSE00000391819,2,0,1,3,0,0,1,0,0,9,0,1,0,1,0,1,0,0,0,0,6,0,1
ENSMUSE00000391822,73,26,31,37,100,64,95,104,74,137,18,107,43,32,57,44,51,70,126,89,81,64,111
ENSMUSE00000391881,8,3,6,1,0,0,1,0,2,7,0,17,2,8,0,0,0,1,0,1,1,0,0
ENSMUSE00000392186,15,4,0,3,1,2,8,0,1,20,4,10,6,4,2,0,0,3,1,0,66,3,3
ENSMUSE00000392237,5,0,1,4,2,1,1,1,3,9,6,0,0,0,8,3,2,5,2,2,20,20,22
ENSMUSE00000392297,10,1,0,13,1,0,6,0,0,18,2,3,1,2,0,0,0,2,1,0,23,4,1
ENSMUSE00000392385,7,0,0,3,1,0,0,0,0,6,4,4,1,1,1,0,0,1,0,0,14,0,3
ENSMUSE00000392446,5,1,1,3,1,0,1,1,2,4,0,2,0,0,1,1,2,2,4,1,11,1,3
ENSMUSE00000392471,109,23,14,40,16,14,85,38,12,95,23,103,15,26,9,3,10,60,16,28,167,14,16
ENSMUSE00000392542,5,0,0,2,0,2,9,1,0,5,0,2,1,0,2,0,0,8,5,2,4,1,5
ENSMUSE00000392591,20,32,18,10,19,10,17,14,9,15,1,41,35,40,12,12,7,11,5,14,7,6,5
ENSMUSE00000392638,3,1,0,4,0,2,1,2,0,21,1,4,0,0,0,0,0,0,0,1,11,1,1
ENSMUSE00000393053,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0,1,0,1,1,0,4,0,0
ENSMUSE00000393184,26,9,8,3,4,8,16,9,5,27,2,30,12,8,9,1,5,3,15,2,16,16,13
ENSMUSE00000393259,100,186,107,32,58,43,49,61,39,195,48,133,230,96,34,31,76,18,47,48,163,161,170
ENSMUSE00000393267,14,0,0,1,0,2,5,0,1,9,6,5,3,1,0,1,0,6,1,0,22,4,3
ENSMUSE00000393610,3,5,4,2,3,6,6,3,6,10,2,12,2,3,1,1,0,1,2,4,7,1,1
ENSMUSE00000393777,48,21,16,5,14,13,36,35,36,17,1,65,40,51,18,6,12,35,49,29,4,2,3
ENSMUSE00000393801,15,1,1,0,0,1,4,1,0,8,4,0,2,0,1,0,1,2,0,0,6,0,0
ENSMUSE00000394123,7,1,1,1,1,7,4,4,4,1,1,3,0,1,0,0,1,2,1,2,3,0,1
ENSMUSE00000394156,14,0,1,4,0,2,4,0,0,20,4,13,1,6,0,1,1,2,1,0,25,0,0
ENSMUSE00000394201,9,1,1,1,2,1,2,2,1,11,0,4,1,2,1,0,1,1,3,2,11,2,3
ENSMUSE00000394546,4,0,1,4,0,0,3,0,2,7,1,1,0,0,0,1,0,1,1,0,8,0,1
ENSMUSE00000394724,16,0,1,5,2,0,10,0,1,23,10,8,4,6,3,1,3,4,3,1,32,4,2
ENSMUSE00000394866,14,4,2,4,0,3,6,0,3,37,10,15,1,16,1,1,0,6,2,1,15,2,3
ENSMUSE00000394936,26,3,7,6,4,7,19,4,1,28,7,19,1,6,2,0,2,11,8,1,32,0,5
ENSMUSE00000394994,12,2,1,1,2,0,6,0,0,9,1,3,2,2,0,0,3,2,0,1,15,1,1
ENSMUSE00000395084,33,92,27,5,2,10,14,11,9,9,1,99,62,51,2,3,1,9,17,6,16,3,4
ENSMUSE00000395161,2,0,0,1,3,0,3,1,1,7,2,2,1,3,0,1,1,1,2,4,15,1,1
ENSMUSE00000395577,3,0,0,2,2,0,5,0,1,6,1,5,1,0,0,0,0,0,0,1,11,0,0
ENSMUSE00000395729,1,0,0,0,0,0,1,0,0,6,1,1,0,0,0,1,0,0,0,0,1,0,0
ENSMUSE00000395995,22,1,3,12,4,11,16,2,0,32,11,9,3,6,4,1,0,5,6,2,53,4,0
ENSMUSE00000396004,19,3,0,3,0,1,6,0,0,11,2,7,0,0,0,0,0,0,1,0,13,1,2
ENSMUSE00000396012,14,9,6,0,0,0,2,0,0,3,0,29,12,13,0,0,0,0,3,1,2,0,1
ENSMUSE00000396297,31,7,1,23,5,4,33,2,2,72,24,16,3,9,3,2,1,4,6,2,53,5,4
ENSMUSE00000396332,2,2,2,5,0,1,5,1,2,9,5,2,0,0,0,0,1,7,2,1,4,3,3
ENSMUSE00000396433,39,41,25,23,40,24,22,15,22,29,10,34,32,41,27,21,36,27,33,12,37,36,54
ENSMUSE00000396556,7,10,0,0,0,1,1,0,1,0,0,14,2,4,0,1,0,0,0,1,3,1,1
ENSMUSE00000396675,13,1,1,5,7,11,40,30,21,25,5,12,0,1,2,0,4,3,12,9,23,2,1
ENSMUSE00000396816,10,3,10,2,0,0,2,1,1,3,1,11,20,10,5,1,1,1,3,0,2,7,3
ENSMUSE00000396852,16,18,12,3,0,1,24,11,8,6,2,40,6,13,1,1,1,3,1,1,4,0,1
ENSMUSE00000397066,0,0,0,0,5,7,1,0,1,6,0,1,0,0,0,1,4,0,1,0,1,0,0
ENSMUSE00000397200,27,48,28,14,31,24,20,39,20,18,5,32,29,32,5,11,7,11,30,35,13,18,34
ENSMUSE00000397224,10,1,1,7,1,1,2,1,0,10,2,4,4,3,4,0,1,3,3,3,3,5,10
ENSMUSE00000397497,24,51,26,55,83,62,148,142,113,78,19,28,19,18,38,29,17,55,58,44,56,18,27
ENSMUSE00000397587,1,2,0,1,0,0,6,0,3,0,0,3,2,1,0,0,0,0,1,0,0,0,1
ENSMUSE00000397918,128,171,60,92,123,100,190,143,89,80,12,142,190,100,61,62,55,89,81,111,34,19,49
ENSMUSE00000397999,9,6,8,4,0,1,2,0,1,4,2,29,2,13,1,2,0,1,3,1,9,0,5
ENSMUSE00000398090,3,0,1,1,1,2,4,0,1,3,1,1,1,2,1,0,0,4,1,2,9,0,1
ENSMUSE00000398124,10,5,8,4,11,6,15,10,7,26,8,19,16,6,2,2,3,2,11,9,14,10,13
ENSMUSE00000398215,2,1,0,4,0,0,6,0,1,2,2,1,0,0,0,0,1,1,0,0,6,1,0
ENSMUSE00000398486,6,3,6,1,1,5,2,0,1,2,0,7,1,0,1,1,0,3,5,0,2,1,1
ENSMUSE00000398641,76,7,2,22,1,4,29,2,3,78,23,32,9,11,3,4,1,19,1,1,100,17,18
ENSMUSE00000398907,10,4,1,8,0,2,5,4,0,14,5,10,5,5,0,0,1,7,4,0,9,0,1
ENSMUSE00000398988,7,1,0,1,0,1,2,0,0,8,0,3,0,0,0,0,0,2,1,1,12,0,0
ENSMUSE00000399094,26,4,8,11,2,2,13,10,2,20,1,8,9,3,0,3,5,4,9,5,16,8,10
ENSMUSE00000399512,11,0,1,2,1,0,2,0,0,5,2,2,0,0,0,0,0,0,0,0,4,1,1
ENSMUSE00000399579,18,1,13,3,1,1,8,5,2,10,3,28,4,17,1,0,0,13,14,5,12,0,1
ENSMUSE00000399813,17,1,1,3,2,0,7,0,0,13,1,9,2,2,1,0,0,7,0,1,24,4,2
ENSMUSE00000399897,1,0,1,6,1,2,3,2,3,18,6,22,2,4,0,0,1,4,2,3,9,1,4
ENSMUSE00000400020,4,1,1,6,2,0,5,0,0,5,4,4,0,0,1,0,0,1,0,0,10,2,1
ENSMUSE00000400252,41,2,2,9,3,2,23,3,1,36,5,23,6,2,2,0,3,7,5,1,41,4,7
ENSMUSE00000400389,21,14,6,9,26,6,23,13,14,15,2,7,4,7,3,5,10,7,14,15,12,2,5
ENSMUSE00000400470,1,6,3,0,2,2,4,2,2,4,3,14,1,2,0,0,0,2,1,0,2,2,0
ENSMUSE00000400665,1,0,0,4,0,1,8,0,0,2,1,1,0,1,0,0,0,0,0,0,9,0,1
ENSMUSE00000400693,34,3,5,6,4,3,18,1,4,16,10,24,6,5,2,0,4,9,1,2,65,7,4
