#Mapping quality	mapping quality
0.0	206592.0
1.0	8421241.0
2.0	54646.0
3.0	60939.0
4.0	30789.0
5.0	21018.0
6.0	216496.0
7.0	117806.0
8.0	93161.0
9.0	38331.0
10.0	39726.0
11.0	98171.0
12.0	231504.0
13.0	22284.0
14.0	62996.0
15.0	136238.0
16.0	104059.0
17.0	179274.0
18.0	188587.0
19.0	46329.0
20.0	65331.0
21.0	301932.0
22.0	98529.0
23.0	337522.0
24.0	557932.0
25.0	156884.0
26.0	138028.0
27.0	136490.0
28.0	200522.0
29.0	162851.0
30.0	1029331.0
31.0	878126.0
32.0	1051671.0
33.0	675589.0
34.0	933317.0
35.0	753008.0
36.0	885963.0
37.0	858841.0
38.0	1115144.0
39.0	1024679.0
40.0	2461418.0
41.0	6564577.0
42.0	1.29270038E8
