#Coverage (X)	Coverage
1.0	5.871425363888449
2.0	3.3305268913529744
3.0	2.096756968358747
4.0	1.3740358985293568
5.0	0.929046561638259
6.0	0.6469792070960381
7.0	0.46278153273983946
8.0	0.33954995761975226
9.0	0.25484439562151806
10.0	0.19524650348905936
11.0	0.15210727215965392
12.0	0.12035860070146498
13.0	0.09670396523878821
14.0	0.07869705946080785
15.0	0.06483359302269776
16.0	0.05409215278028512
17.0	0.04560623080493542
18.0	0.03883347539232318
19.0	0.033449363418043276
20.0	0.029067512403528895
21.0	0.025499299015535826
22.0	0.022521317792850937
23.0	0.02004620982545191
24.0	0.017956493706392962
25.0	0.01617820237872536
26.0	0.014692513868141077
27.0	0.013409794484090298
28.0	0.012287263676753923
29.0	0.011314244653689798
30.0	0.010463513428661031
31.0	0.009717458797638301
32.0	0.009058616316607981
33.0	0.00845073625725945
34.0	0.00790864138298275
35.0	0.007416665060205219
36.0	0.006974000108726841
37.0	0.006564759754908778
38.0	0.0062069587928874626
39.0	0.005871795566051219
40.0	0.005561324714875582
41.0	0.0052870669019995375
42.0	0.005030567053196933
43.0	0.004796631559571551
44.0	0.004575831088956761
45.0	0.004369082891557241
46.0	0.004170736706086586
47.0	0.003985782373689517
48.0	0.0038138529942699506
49.0	0.003651573087068982
50.0	0.0034966678715591115
51.0	0.003353466768729163
