#Mapping quality	mapping quality
0.0	897894.0
1.0	3.3976398E7
2.0	208198.0
3.0	220032.0
4.0	100474.0
5.0	52340.0
6.0	856083.0
7.0	418203.0
8.0	254839.0
9.0	109822.0
10.0	112094.0
11.0	356330.0
12.0	821627.0
13.0	55692.0
14.0	178046.0
15.0	593062.0
16.0	476809.0
17.0	751338.0
18.0	695124.0
19.0	115766.0
20.0	171780.0
21.0	1067562.0
22.0	310214.0
23.0	1217184.0
24.0	1807246.0
25.0	418596.0
26.0	343075.0
27.0	296095.0
28.0	422212.0
29.0	321080.0
30.0	4923948.0
31.0	4669654.0
32.0	5275421.0
33.0	1566048.0
34.0	5585466.0
35.0	3443699.0
36.0	2449029.0
37.0	2254090.0
38.0	2749656.0
39.0	2198836.0
40.0	6246703.0
41.0	1.1189331E7
42.0	3.792753E8
