#Coverage	Number of genomic locations
0.0	2.544529387E9
1.0	7.2636702E7
2.0	3.5681445E7
3.0	2.2136552E7
4.0	1.4539403E7
5.0	9791511.0
6.0	6730786.0
7.0	4724434.0
8.0	3376765.0
9.0	2465139.0
10.0	1822941.0
11.0	1373228.0
12.0	1049619.0
13.0	810260.0
14.0	638592.0
15.0	504972.0
16.0	404701.0
17.0	328441.0
18.0	268835.0
19.0	220793.0
20.0	183515.0
21.0	154304.0
22.0	129326.0
23.0	110955.0
24.0	94895.0
25.0	82209.0
26.0	71676.0
27.0	61840.0
28.0	54889.0
29.0	49120.0
30.0	42824.0
31.0	38537.0
32.0	33272.0
33.0	29815.0
34.0	27067.0
35.0	24319.0
36.0	22207.0
37.0	19895.0
38.0	17994.0
39.0	16514.0
40.0	15094.0
41.0	13650.0
42.0	12625.0
43.0	11648.0
44.0	10170.0
45.0	9481.0
46.0	8638.0
47.0	7743.0
48.0	7183.0
49.0	6452.0
50.0	6277.0
51.0	5875.0
52.0	5335.0
53.0	4852.0
54.0	4535.0
55.0	4080.0
56.0	4009.0
57.0	3535.0
58.0	3263.0
59.0	3134.0
60.0	2892.0
61.0	2733.0
62.0	2575.0
63.0	2335.0
64.0	2191.0
65.0	1904.0
66.0	1867.0
67.0	1771.0
68.0	1592.0
69.0	1530.0
70.0	1397.0
71.0	1264.0
72.0	1263.0
73.0	1216.0
74.0	1190.0
75.0	1097.0
76.0	998.0
77.0	1008.0
78.0	999.0
79.0	877.0
80.0	850.0
81.0	897.0
82.0	785.0
83.0	754.0
84.0	704.0
85.0	655.0
86.0	654.0
87.0	592.0
88.0	580.0
89.0	536.0
90.0	538.0
91.0	460.0
92.0	522.0
93.0	471.0
94.0	570.0
95.0	456.0
96.0	517.0
97.0	511.0
98.0	444.0
99.0	470.0
100.0	416.0
101.0	419.0
102.0	415.0
103.0	407.0
104.0	389.0
105.0	373.0
106.0	385.0
107.0	375.0
108.0	340.0
109.0	322.0
110.0	301.0
111.0	280.0
112.0	359.0
113.0	316.0
114.0	318.0
115.0	318.0
116.0	300.0
117.0	279.0
118.0	267.0
119.0	273.0
120.0	298.0
121.0	291.0
122.0	328.0
123.0	294.0
124.0	254.0
125.0	287.0
126.0	247.0
127.0	286.0
128.0	295.0
129.0	244.0
130.0	268.0
131.0	263.0
132.0	259.0
133.0	305.0
134.0	285.0
135.0	261.0
136.0	254.0
137.0	228.0
138.0	258.0
139.0	246.0
140.0	267.0
141.0	245.0
142.0	245.0
143.0	257.0
144.0	255.0
