#Duplication rate	Coverage
1.0	1.4075282E7
2.0	2744270.0
3.0	648884.0
4.0	202761.0
5.0	82064.0
6.0	40065.0
7.0	22226.0
8.0	13577.0
9.0	8964.0
10.0	6192.0
11.0	4397.0
12.0	3292.0
13.0	2488.0
14.0	2052.0
15.0	1614.0
16.0	1319.0
17.0	1016.0
18.0	934.0
19.0	775.0
20.0	661.0
21.0	582.0
22.0	534.0
23.0	420.0
24.0	421.0
25.0	375.0
26.0	366.0
27.0	325.0
28.0	279.0
29.0	250.0
30.0	241.0
31.0	248.0
32.0	228.0
33.0	169.0
34.0	174.0
35.0	169.0
36.0	157.0
37.0	140.0
38.0	131.0
39.0	119.0
40.0	126.0
41.0	101.0
42.0	103.0
43.0	123.0
44.0	111.0
45.0	89.0
46.0	94.0
47.0	80.0
48.0	93.0
49.0	90.0
50.0	8454.0
