#Mapping quality	mapping quality
0.0	188869.0
1.0	6444942.0
2.0	42473.0
3.0	49136.0
4.0	24003.0
5.0	15545.0
6.0	168088.0
7.0	89901.0
8.0	74806.0
9.0	25441.0
10.0	26058.0
11.0	72476.0
12.0	173747.0
13.0	18879.0
14.0	42787.0
15.0	92090.0
16.0	66273.0
17.0	139385.0
18.0	137412.0
19.0	32143.0
20.0	43684.0
21.0	194596.0
22.0	67594.0
23.0	288759.0
24.0	457097.0
25.0	101810.0
26.0	87140.0
27.0	85050.0
28.0	113961.0
29.0	100967.0
30.0	832561.0
31.0	714664.0
32.0	837007.0
33.0	401306.0
34.0	790419.0
35.0	554338.0
36.0	524629.0
37.0	496212.0
38.0	606803.0
39.0	530234.0
40.0	1835619.0
41.0	3502833.0
42.0	9.237047E7
