#Coverage	Number of genomic locations
0.0	2.612075462E9
1.0	6.3280969E7
2.0	2.2136354E7
3.0	1.0434409E7
4.0	5651567.0
5.0	3351843.0
6.0	2129537.0
7.0	1436923.0
8.0	1012018.0
9.0	738419.0
10.0	555559.0
11.0	429565.0
12.0	340940.0
13.0	272367.0
14.0	219912.0
15.0	179475.0
16.0	151168.0
17.0	126504.0
18.0	106752.0
19.0	89923.0
20.0	76152.0
21.0	66164.0
22.0	57763.0
23.0	49570.0
24.0	43175.0
25.0	38809.0
26.0	34112.0
27.0	30566.0
28.0	27271.0
29.0	24834.0
30.0	22026.0
31.0	20016.0
32.0	17605.0
33.0	16249.0
34.0	15076.0
35.0	13893.0
36.0	12501.0
37.0	11466.0
38.0	11071.0
39.0	10371.0
40.0	9676.0
41.0	8823.0
42.0	8232.0
43.0	7656.0
44.0	7086.0
45.0	6745.0
46.0	6326.0
47.0	5880.0
48.0	5470.0
49.0	5197.0
50.0	4808.0
51.0	4502.0
52.0	4136.0
53.0	3866.0
54.0	3671.0
55.0	3539.0
56.0	3261.0
57.0	3154.0
58.0	2936.0
59.0	2808.0
60.0	2746.0
61.0	2600.0
62.0	2437.0
63.0	2382.0
64.0	2333.0
65.0	2190.0
66.0	2068.0
67.0	2027.0
68.0	1868.0
69.0	1863.0
70.0	1847.0
71.0	1731.0
72.0	1659.0
73.0	1571.0
74.0	1538.0
75.0	1373.0
76.0	1434.0
77.0	1293.0
78.0	1291.0
79.0	1275.0
80.0	1212.0
81.0	1134.0
82.0	1078.0
83.0	1095.0
84.0	1101.0
85.0	1025.0
86.0	988.0
87.0	962.0
88.0	941.0
89.0	918.0
90.0	863.0
91.0	921.0
92.0	853.0
93.0	843.0
94.0	831.0
95.0	830.0
96.0	818.0
97.0	761.0
98.0	754.0
99.0	780.0
100.0	763.0
101.0	754.0
102.0	652.0
103.0	669.0
104.0	621.0
105.0	624.0
106.0	611.0
107.0	620.0
108.0	595.0
109.0	594.0
110.0	523.0
111.0	548.0
