#Mapping quality	mapping quality
0.0	202156.0
1.0	8425757.0
2.0	53240.0
3.0	58997.0
4.0	29510.0
5.0	19534.0
6.0	217471.0
7.0	117539.0
8.0	92515.0
9.0	35042.0
10.0	38661.0
11.0	96374.0
12.0	233334.0
13.0	19301.0
14.0	57536.0
15.0	141753.0
16.0	106725.0
17.0	180989.0
18.0	183136.0
19.0	39888.0
20.0	61499.0
21.0	317310.0
22.0	92880.0
23.0	332697.0
24.0	564593.0
25.0	149177.0
26.0	129550.0
27.0	126884.0
28.0	190312.0
29.0	147708.0
30.0	1022835.0
31.0	880501.0
32.0	1062659.0
33.0	663996.0
34.0	917636.0
35.0	735461.0
36.0	884694.0
37.0	828300.0
38.0	1073342.0
39.0	887230.0
40.0	2218103.0
41.0	5801421.0
42.0	1.30384464E8
