#Coverage	Number of genomic locations
0.0	2.565714959E9
1.0	7.5821828E7
2.0	3.4428877E7
3.0	1.9320082E7
4.0	1.1212324E7
5.0	6698334.0
6.0	4098954.0
7.0	2588428.0
8.0	1686947.0
9.0	1127869.0
10.0	771347.0
11.0	535556.0
12.0	376022.0
13.0	268677.0
14.0	193912.0
15.0	142734.0
16.0	106936.0
17.0	80999.0
18.0	62009.0
19.0	48756.0
20.0	38484.0
21.0	31601.0
22.0	25784.0
23.0	21246.0
24.0	17867.0
25.0	15271.0
26.0	12822.0
27.0	10771.0
28.0	9127.0
29.0	7918.0
30.0	6904.0
31.0	5647.0
32.0	4860.0
33.0	4140.0
34.0	3461.0
35.0	2820.0
36.0	2296.0
37.0	1856.0
38.0	1602.0
39.0	1509.0
40.0	1345.0
41.0	1170.0
42.0	1049.0
43.0	1042.0
44.0	1003.0
45.0	921.0
46.0	977.0
47.0	1016.0
48.0	1018.0
49.0	1157.0
50.0	1138.0
51.0	1117.0
52.0	1093.0
53.0	1036.0
54.0	1001.0
55.0	898.0
56.0	939.0
57.0	892.0
58.0	843.0
59.0	819.0
60.0	719.0
61.0	669.0
62.0	525.0
63.0	541.0
64.0	547.0
65.0	441.0
66.0	378.0
67.0	374.0
68.0	326.0
69.0	257.0
70.0	237.0
71.0	165.0
72.0	130.0
73.0	100.0
74.0	66.0
75.0	88.0
76.0	27.0
77.0	37.0
78.0	23.0
79.0	9.0
