#Position (bp)	mapping quality
3406923.0	38.18339147591122
1.0220768E7	39.65018475149393
1.7034613E7	36.1229206541867
2.3848458E7	29.028235039087374
3.0662303E7	38.33124605751035
3.7476148E7	38.981290956222125
4.4289993E7	39.56995165930188
5.1103838E7	39.38264035886243
5.7917683E7	39.326279435607816
6.4731528E7	40.241650149006546
7.1545373E7	39.822571620411814
7.8359218E7	40.664838698390064
8.5173063E7	37.05515882115286
9.1986908E7	40.83979816956514
9.8800753E7	32.004656097865436
1.05614598E8	32.97309204958431
1.12428443E8	38.71729157001401
1.19242288E8	40.07421270386887
1.26056133E8	39.87441296563587
1.300790245E8	20.284646464646464
1.33485947E8	40.185213540194525
1.39683823E8	38.087178972880366
1.46497668E8	34.34021991862042
1.53311513E8	40.319193729963324
1.60125358E8	39.30415084875685
1.66939203E8	40.47183364458962
1.73753048E8	40.81831789770562
1.80566893E8	33.58512363005072
1.87380738E8	40.837926188848876
1.94194583E8	40.70635797991572
2.01008428E8	40.260815738556
2.07822273E8	41.0482635607156
2.14636118E8	38.39450685396173
2.21449963E8	40.46723224934019
2.28263808E8	40.98810557402254
2.35077653E8	40.77963486668187
2.41891498E8	40.912384002823345
2.48705343E8	40.657263831243405
2.52444901E8	39.819441756965944
2.558518235E8	38.62616074323342
2.62333033E8	28.31839244990053
2.69146878E8	36.17151576527261
2.75960723E8	26.988081404010607
2.82774568E8	40.006490588646464
2.89588413E8	37.25118956223289
2.96402258E8	20.794008161640292
3.03216103E8	39.662135101732936
3.10029948E8	38.13128457377527
3.16843793E8	35.50780707179452
3.23657638E8	37.775243528562456
3.30471483E8	40.67457289152462
3.37285328E8	40.000663380163324
3.44099173E8	38.94890037996024
3.50913018E8	40.60440226642106
3.57726863E8	40.986126227761716
3.64540708E8	38.7442405538924
3.704270945E8	37.22743405043131
3.73834017E8	0.0
3.78168398E8	35.188646011272155
3.84982243E8	38.22724475221311
3.91796088E8	34.46068927840958
3.98609933E8	34.23948899418221
4.05423778E8	40.69180897834873
4.12237623E8	40.547728984128284
4.19051468E8	41.00635477155692
4.25865313E8	40.01307403268508
4.32679158E8	35.21662335922209
4.39493003E8	36.90914092053432
4.46306848E8	37.347886877369746
4.53120693E8	35.43664987147932
4.59934538E8	38.585443739743646
4.66748383E8	40.22049556184988
4.73562228E8	40.05914858420006
4.80376073E8	39.90620460326902
4.87189918E8	38.6200946413562
4.91962519E8	36.44055311216086
4.953694415E8	1.705128205128205
5.00817608E8	35.44878829386159
5.07631453E8	33.17715465710249
5.14445298E8	39.289926772505595
5.21259143E8	40.25347659193391
5.28072988E8	40.347813244917404
5.34886833E8	36.200031338009296
5.41700678E8	39.86970338094383
5.48514523E8	39.84613772543261
5.55328368E8	40.38839100529611
5.62142213E8	34.38099581750429
5.68956058E8	40.31325797244013
5.75769903E8	36.3955784225806
5.82583748E8	38.85193879356733
5.89397593E8	34.4512906315547
5.96211438E8	39.0500094545682
6.03025283E8	5.961974357852361
6.09839128E8	34.930105048094305
6.15738246E8	40.48918231167312
6.191451685E8	0.0
6.23466818E8	39.63111756076537
6.30280663E8	39.202986228361034
6.37094508E8	5.264241032304857
6.43908353E8	39.025998320631786
6.50722198E8	38.25421838787146
6.57536043E8	39.688166135123915
6.64349888E8	34.80425715642675
6.71163733E8	40.989138471275496
6.77977578E8	38.55847862599855
6.84791423E8	41.17972655291143
6.91605268E8	40.48671440576086
6.98419113E8	40.710468553807324
7.05232958E8	40.070344989502324
7.12046803E8	40.33351301130799
7.18860648E8	40.42886834161997
7.222708485E8	0.0
7.25677771E8	40.2861998262617
7.32488338E8	39.949047505055404
7.39302183E8	40.175020071413726
7.46116028E8	38.34485645166458
7.52929873E8	40.248754480182356
7.59743718E8	40.163684135914075
7.66557563E8	40.32585003940262
7.73371408E8	39.572451528527594
7.80185253E8	38.429378377644404
7.86999098E8	37.57591821476412
7.93812943E8	13.002595857444161
8.00626788E8	39.86822691771458
8.07440633E8	36.19212381901434
8.14254478E8	40.61959811607684
8.190716475E8	36.99843238944254
8.2247857E8	25.787152179653216
8.27882168E8	28.57422980017656
8.34696013E8	37.28043299939935
8.41509858E8	36.83950762016413
8.48323703E8	40.724995153880045
8.55137548E8	38.40692729493516
8.61951393E8	38.49284667654258
8.68765238E8	40.661892423246464
8.75579083E8	40.431871424537476
8.82392928E8	39.56235132144195
8.89206773E8	39.52480120920943
8.96020618E8	39.199626014269334
9.02834463E8	39.845479900213306
9.09648308E8	39.449775930403625
9.14262198E8	32.37889757571776
9.176691205E8	36.371699475947324
9.23275998E8	39.32161758091909
9.30089843E8	37.87825890382537
9.36903688E8	33.94310398979931
9.43717533E8	29.90153140045897
9.50531378E8	40.69049562152854
9.57345223E8	39.7549899367846
9.64159068E8	37.54512022477395
9.70972913E8	36.453485905665644
9.77786758E8	39.24075514849849
9.84600603E8	39.867353033017736
9.91414448E8	39.511585903601706
9.98228293E8	40.859073923865665
1.00390351E9	31.792359619945827
1.0073104325E9	0.0
1.011855983E9	40.158932134752476
1.018669828E9	40.25031811463144
1.025483673E9	39.90545417622271
1.032297518E9	39.94783315528834
1.039111363E9	38.926320811798476
1.045925208E9	39.98544176120484
1.052739053E9	40.64652260817358
1.059552898E9	37.843511472982975
1.0652815955E9	40.72788864198235
1.068688518E9	0.0
1.073180588E9	28.299648018978612
1.079994433E9	40.176610197147106
1.086808278E9	39.95732312146015
1.093622123E9	21.05791698081885
1.100435968E9	39.59128399318759
1.107249813E9	41.04567048782818
1.114063658E9	35.25065366535091
1.120877503E9	40.246154340759844
1.127691348E9	40.093295750946574
1.134505193E9	40.705075711137745
1.141319038E9	40.30861411145145
1.148132883E9	40.16369171371799
1.154946728E9	34.46288209606987
1.161760573E9	40.504639107844135
1.168574418E9	34.10073299105557
1.175388263E9	40.78557063577441
1.182202108E9	11.084682968138033
1.189015953E9	38.43615056993033
1.195829798E9	39.98704000788923
1.202643643E9	40.825666229769176
1.209457488E9	38.75338170146362
1.216271333E9	37.14502602094719
1.223085178E9	40.668020179498
1.229899023E9	40.67678453563158
1.236712868E9	40.05821235245006
1.243526713E9	37.98020046127459
1.250340558E9	40.56598473080609
1.257154403E9	39.707678729325934
1.2618183335E9	40.34592368573451
1.265225256E9	38.978446604729974
1.270782093E9	40.212456092126764
1.277595938E9	39.12211276370425
1.284409783E9	38.53528604160196
1.291223628E9	40.91244854550864
1.298037473E9	40.99909492757475
1.304851318E9	39.69823155616416
1.311665163E9	35.55484373170211
1.318479008E9	38.48206645109174
1.325292853E9	40.69394482244093
1.332106698E9	40.797023065582714
1.338920543E9	40.40747160357983
1.345734388E9	34.532066859530694
1.352548233E9	40.04452583131384
1.359362078E9	38.4916942673766
1.366175923E9	40.66204647038967
1.372989768E9	35.16665037869533
1.379803613E9	40.584411515231764
1.386617458E9	39.821462715613315
1.393431303E9	40.46680194508428
1.400245148E9	38.907354466567156
1.407058993E9	40.32677069879483
1.413872838E9	39.232162596894746
1.420686683E9	40.14294478685753
1.427500528E9	40.82512690427588
1.434314373E9	40.88066230631667
1.441128218E9	30.492222885983157
1.444861853E9	40.492192441061654
1.4482687755E9	26.666017526777022
1.454755908E9	37.510594751446746
1.461569753E9	38.82817324518183
1.468383598E9	35.439525860575756
1.475197443E9	40.17219626220288
1.482011288E9	37.675272674938576
1.488825133E9	34.17628374413145
1.495638978E9	39.474583699420286
1.502452823E9	25.799270411954097
1.509266668E9	38.171853901129666
1.516080513E9	39.269139810758844
1.522894358E9	38.57872792101435
1.529708203E9	39.999810285501724
1.536522048E9	39.53443256145001
1.543335893E9	39.40922159864175
1.550149738E9	40.59582620746707
1.556963583E9	39.011697664867405
1.563777428E9	40.22869043044954
1.570591273E9	38.491097340562874
1.577405118E9	40.24708890824163
1.584218963E9	40.479471330372334
1.591032808E9	39.60430994444544
1.597846653E9	39.46523379738513
1.6032409105E9	37.32007303148275
1.606647833E9	0.0
1.611474343E9	39.967165606327114
1.618288188E9	36.44093732942517
1.625102033E9	32.19639469568678
1.631915878E9	27.817642943926955
1.638729723E9	38.625686351192805
1.645543568E9	39.94469296977336
1.652357413E9	39.38154136079183
1.659171258E9	34.66417847350557
1.665985103E9	40.20158688979243
1.672798948E9	36.74317801140964
1.679612793E9	22.4403300188749
1.686426638E9	38.707526030997016
1.693240483E9	39.800621571189055
1.700054328E9	37.68515749479103
1.706868173E9	39.98703649229462
1.713682018E9	39.076812630411624
1.720495863E9	39.476570377008
1.727309708E9	40.41639377738933
1.734123553E9	40.32571995382593
1.740937398E9	40.796214012619956
1.747751243E9	39.2938038014099
1.754565088E9	39.236996798215635
1.759854186E9	40.58365135975448
1.7632611085E9	0.0
1.768192778E9	37.29984827200627
1.775006623E9	7.110051669951526
1.781820468E9	37.25257625359466
1.788634313E9	39.351447196147284
1.795448158E9	39.16794700501905
1.802262003E9	39.60035291756336
1.809075848E9	39.12232969390757
1.815889693E9	38.5366723880807
1.822703538E9	37.95104846641629
1.829517383E9	39.887851559627244
1.836331228E9	40.52680989264111
1.843145073E9	2.899936498976928
1.849958918E9	39.93234352379991
1.856772763E9	39.10730414277895
1.863586608E9	37.06507515978732
1.870400453E9	38.29853420724935
1.877214298E9	40.72691230312902
1.884028143E9	40.368890293364615
1.890841988E9	37.657977510673064
1.897655833E9	40.5892928562166
1.904469678E9	40.34529954655205
1.910723823E9	40.52618940673817
1.9141307455E9	0.0
1.918097368E9	36.5387525886677
1.924911213E9	35.3297084015013
1.931725058E9	13.19631455588782
1.938538903E9	38.959811474424875
1.945352748E9	41.001167490020514
1.952166593E9	37.39012187544351
1.958980438E9	39.21768731552182
1.965794283E9	40.52394667359434
1.972608128E9	35.69205637274219
1.979421973E9	37.7524723848804
1.986235818E9	39.16358621257827
1.993049663E9	34.74301226437781
1.999863508E9	40.78891094544762
2.006677353E9	40.67397740392545
2.013491198E9	41.215805849354304
2.020305043E9	32.633810275256565
2.027118888E9	40.73612340533294
2.033932733E9	40.57791048418691
2.040746578E9	40.046033802869424
2.047560423E9	37.2193403184355
2.054374268E9	39.84383849447173
2.060544391E9	39.72368026629562
2.0639513135E9	0.0
2.068001958E9	37.26365933321008
2.074815803E9	30.32620835173463
