#Position (bp)	Coverage
3406923.0	0.021497260357404666
1.0220768E7	0.3331961616385462
1.7034613E7	0.07544991117350043
2.3848458E7	0.09748989006941015
3.0662303E7	0.06677272523809978
3.7476148E7	0.05469070693565821
4.4289993E7	0.07422901460188777
5.1103838E7	0.08028682777492004
5.7917683E7	0.04869878900972945
6.4731528E7	0.09499585036055266
7.1545373E7	0.06032658506320587
7.8359218E7	0.2432661735040935
8.5173063E7	0.05376171603551299
9.1986908E7	0.13623790972644667
9.8800753E7	0.011756944867398656
1.05614598E8	0.01179187375116399
1.12428443E8	0.03131756005603297
1.19242288E8	0.1786368782970555
1.26056133E8	0.1378763385430693
1.300790245E8	0.008036118700778774
1.33485947E8	0.20662580010738266
1.39683823E8	0.08780284846514706
1.46497668E8	0.018178282599618865
1.53311513E8	0.11641488762952489
1.60125358E8	0.07256240786222756
1.66939203E8	0.2771684709587612
1.73753048E8	0.15402757180417223
1.80566893E8	0.20449408520446238
1.87380738E8	0.15331519868737842
1.94194583E8	0.1389977318239555
2.01008428E8	0.1347854258498689
2.07822273E8	0.26024718789464685
2.14636118E8	0.2206551513866253
2.21449963E8	0.18200252573987227
2.28263808E8	0.368836391200563
2.35077653E8	0.4646695074513729
2.41891498E8	0.2528350732956209
2.48705343E8	0.3229411587730569
2.52444901E8	0.06214610286635071
2.558518235E8	0.07273800396644815
2.62333033E8	0.012098308664197675
2.69146878E8	0.021448095752104723
2.75960723E8	0.04432871601863559
2.82774568E8	0.041152388996227536
2.89588413E8	0.035747364373565876
2.96402258E8	0.02211746818426307
3.03216103E8	0.05973088615898953
3.10029948E8	0.09577411872445
3.16843793E8	0.019221306032056792
3.23657638E8	0.0626142801898194
3.30471483E8	0.15073442380917088
3.37285328E8	0.16415313233570766
3.44099173E8	0.06998867746477944
3.50913018E8	0.24546977514164176
3.57726863E8	0.2547133079780946
3.64540708E8	0.0953012579534756
3.704270945E8	0.024943495852329373
3.73834017E8	0.0
3.78168398E8	0.07173849713340999
3.84982243E8	0.07583001961447612
3.91796088E8	0.06608559484402712
3.98609933E8	0.0464916651318015
4.05423778E8	0.16133167103155413
4.12237623E8	0.10056642028106011
4.19051468E8	0.4795333618536964
4.25865313E8	0.19567953189425355
4.32679158E8	0.09200576179822112
4.39493003E8	0.10137462768818487
4.46306848E8	0.06665282230517425
4.53120693E8	0.021525144760410606
4.59934538E8	0.0430169749972299
4.66748383E8	0.12005277490168914
4.73562228E8	0.1417688544426825
4.80376073E8	0.11325015464836667
