#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	9.369568578214815E-6
17.0	2.3423921445537042E-5
18.0	3.279349002375185E-5
19.0	9.369568578214815E-6
20.0	3.747827431285926E-5
21.0	2.8108705734644446E-5
22.0	2.342392144553704E-5
23.0	5.153262718018148E-5
24.0	3.747827431285926E-5
25.0	5.153262718018149E-5
26.0	1.4054352867322222E-4
27.0	2.529783516118E-4
28.0	4.497392917543112E-4
29.0	7.683046234136149E-4
30.0	0.001218043915167926
31.0	0.0020940985772310112
32.0	0.0031669141794366078
33.0	0.004909653934984564
34.0	0.007711154939870794
35.0	0.012077373897318895
36.0	0.01749766931981617
37.0	0.024342139166202096
38.0	0.0323156420262629
39.0	0.04200846072042613
40.0	0.05019277887349677
41.0	0.056109661430639425
42.0	0.05991839105768375
43.0	0.06376928374333005
44.0	0.06479525150264456
45.0	0.06416749040790418
46.0	0.06050867387811129
47.0	0.0578617707547656
48.0	0.053280051720018554
49.0	0.04945726774010691
50.0	0.042893884951067426
51.0	0.0430719067540535
52.0	0.02965468455004989
53.0	0.02958909757000239
54.0	0.02483404151655837
55.0	0.02119864890821102
56.0	0.01696828869514703
57.0	0.014049668083033116
58.0	0.01145898237115672
59.0	0.00876991618920907
60.0	0.006080850007261415
61.0	0.00495181699358653
62.0	0.0036494469612146714
63.0	0.0028670879849337335
64.0	0.0021315768515438706
65.0	0.0016537288540549148
66.0	0.001307054816660967
67.0	0.0010681308179164891
68.0	8.292068191720113E-4
69.0	6.699241533423593E-4
70.0	5.809132518493186E-4
71.0	4.4505450746520377E-4
72.0	3.747827431285926E-4
73.0	3.373044688157334E-4
74.0	3.1388054737019637E-4
75.0	1.592826658296519E-4
76.0	2.0613050872072598E-4
77.0	1.4054352867322225E-4
78.0	1.3585874438411485E-4
79.0	8.432611720393336E-5
80.0	4.684784289107408E-5
81.0	5.621741146928889E-5
82.0	2.342392144553704E-5
83.0	1.873913715642963E-5
84.0	1.4054352867322223E-5
85.0	1.873913715642963E-5
86.0	9.369568578214815E-6
87.0	9.369568578214815E-6
88.0	0.0
89.0	4.684784289107408E-6
90.0	4.684784289107408E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
