#Mapping quality	mapping quality
0.0	179466.0
1.0	6575894.0
2.0	39306.0
3.0	46042.0
4.0	19328.0
5.0	10769.0
6.0	183962.0
7.0	102017.0
8.0	77802.0
9.0	20053.0
10.0	20112.0
11.0	77959.0
12.0	203501.0
13.0	10757.0
14.0	34722.0
15.0	97706.0
16.0	64438.0
17.0	156853.0
18.0	161194.0
19.0	18852.0
20.0	29814.0
21.0	220363.0
22.0	59971.0
23.0	328931.0
24.0	550459.0
25.0	88677.0
26.0	66071.0
27.0	59165.0
28.0	79642.0
29.0	66986.0
30.0	1025102.0
31.0	887546.0
32.0	1073222.0
33.0	368794.0
34.0	1014760.0
35.0	625854.0
36.0	513132.0
37.0	434817.0
38.0	513786.0
39.0	302087.0
40.0	1755402.0
41.0	2275233.0
42.0	1.10298404E8
