#Coverage	Number of genomic locations
0.0	2.477677294E9
1.0	1.15953517E8
2.0	3.750051E7
3.0	2.3416257E7
4.0	1.6230123E7
5.0	1.171035E7
6.0	8668679.0
7.0	6559919.0
8.0	5032990.0
9.0	3927812.0
10.0	3100391.0
11.0	2481953.0
12.0	2007670.0
13.0	1636114.0
14.0	1351691.0
15.0	1129740.0
16.0	949361.0
17.0	803492.0
18.0	685730.0
19.0	585776.0
20.0	503565.0
21.0	435394.0
22.0	377835.0
23.0	330508.0
24.0	287740.0
25.0	253186.0
26.0	223755.0
27.0	195731.0
28.0	174561.0
29.0	153974.0
30.0	135873.0
31.0	121128.0
32.0	106953.0
33.0	95113.0
34.0	85046.0
35.0	75056.0
36.0	67006.0
37.0	59246.0
38.0	52918.0
39.0	47393.0
40.0	42713.0
41.0	38611.0
42.0	34881.0
43.0	30593.0
44.0	26700.0
45.0	24140.0
46.0	21285.0
47.0	18790.0
48.0	16650.0
49.0	14851.0
50.0	12808.0
51.0	10976.0
52.0	9319.0
53.0	7794.0
54.0	6579.0
55.0	5442.0
56.0	4492.0
57.0	3806.0
58.0	2905.0
59.0	2263.0
60.0	1753.0
61.0	1399.0
62.0	1020.0
63.0	745.0
64.0	502.0
65.0	389.0
66.0	302.0
67.0	234.0
68.0	194.0
69.0	202.0
70.0	114.0
71.0	132.0
72.0	109.0
73.0	101.0
74.0	106.0
75.0	132.0
76.0	190.0
77.0	292.0
78.0	436.0
79.0	897.0
80.0	1159.0
81.0	261.0
82.0	44.0
83.0	8.0
