#Position (bp)	Coverage
3406923.0	0.11678633722956715
1.0220768E7	0.155893478645317
1.7034613E7	0.6551915988696544
2.3848458E7	0.2823241503145434
3.0662303E7	0.6043329427070913
3.7476148E7	0.5248139633349452
4.4289993E7	0.653557866373538
5.1103838E7	0.22324737354606686
5.7917683E7	0.3171391483076002
6.4731528E7	0.3035347883610502
7.1545373E7	0.10412182842433311
7.8359218E7	0.490328441577406
8.5173063E7	0.6757278746434648
9.1986908E7	0.23147914283345158
9.8800753E7	0.37495466950011336
1.05614598E8	0.18366957275957993
1.12428443E8	0.25979179156555515
1.19242288E8	0.07198094467954584
1.26056133E8	0.8782911850797898
1.300790245E8	0.28785214840357226
1.33485947E8	0.33448532911780865
1.39683823E8	0.6134750643726119
1.46497668E8	0.052656759876398715
1.53311513E8	0.6593418253570488
1.60125358E8	0.50209081656539
1.66939203E8	0.09584764549237619
1.73753048E8	0.31085297654995087
1.80566893E8	0.34174449228005627
1.87380738E8	0.8632275902959342
1.94194583E8	0.2977423172966218
2.01008428E8	0.6706162232924289
2.07822273E8	1.0462492175856657
2.14636118E8	0.4852941327547075
2.21449963E8	0.26413515423376965
2.28263808E8	1.0933900022674423
2.35077653E8	0.5060605282333249
2.41891498E8	0.18525692909069696
2.48705343E8	0.7075963717988889
2.52444901E8	0.48646792059175886
2.558518235E8	0.47915841949694354
2.62333033E8	0.22560815516055913
2.69146878E8	0.3217522558848932
2.75960723E8	0.1611247394092469
2.82774568E8	0.3342437346314746
2.89588413E8	0.11488770290489438
2.96402258E8	0.2571317662788044
3.03216103E8	0.10584112200967295
3.10029948E8	0.22303706644339577
3.16843793E8	0.10323936044920305
3.23657638E8	0.9152212884208549
3.30471483E8	0.48827703007626383
3.37285328E8	0.7666870907688684
3.44099173E8	0.04823796256005236
3.50913018E8	0.10102108281007273
3.57726863E8	0.1533513016512703
3.64540708E8	0.6470358512704648
3.704270945E8	0.3490127301707143
3.73834017E8	0.0
3.78168398E8	0.11439473601175254
3.84982243E8	0.4844765327065702
3.91796088E8	0.8886022502713226
3.98609933E8	0.6366729797933472
4.05423778E8	0.21002165444033435
4.12237623E8	0.45487136851513355
4.19051468E8	0.34160903278545374
4.25865313E8	0.41439774459207684
4.32679158E8	0.11393244196191725
4.39493003E8	0.2350671317002368
4.46306848E8	0.2742956436490704
4.53120693E8	0.4238464479306471
4.59934538E8	0.07657570725486124
4.66748383E8	0.5437239913734463
4.73562228E8	0.0615317783131257
4.80376073E8	0.3367412965807118
4.87189918E8	0.6699789913037353
4.91962519E8	0.1466106407913722
4.953694415E8	0.007942460577961283
5.00817608E8	0.08420649427746009
5.07631453E8	0.32518482589492426
5.14445298E8	0.3286665605102552
5.21259143E8	0.5911505178060258
5.28072988E8	0.26892730903036394
5.34886833E8	0.030958144777288008
5.41700678E8	0.2403209935066031
5.48514523E8	0.4538180718815881
5.55328368E8	0.3148969487858911
5.62142213E8	0.1094712310009987
5.68956058E8	0.4162615967930001
5.75769903E8	0.21399136610826927
5.82583748E8	0.05476247258339455
5.89397593E8	0.061103239066929174
5.96211438E8	0.09599264438800706
6.03025283E8	0.02806212938509755
6.09839128E8	0.0670602281090926
6.15738246E8	0.7296564414790092
6.191451685E8	0.0
6.23466818E8	0.5769341685935033
6.30280663E8	0.22050985897096279
6.37094508E8	0.024354090825370992
6.43908353E8	0.16150690249044408
6.50722198E8	0.3117827012501752
6.57536043E8	0.13175145604280697
6.64349888E8	0.05067315150256573
6.71163733E8	0.0509533163727675
6.77977578E8	0.5101266612316541
6.84791423E8	0.17645675826203855
6.91605268E8	0.1470049582871345
6.98419113E8	0.9772808157508719
7.05232958E8	0.32440420937077374
7.12046803E8	0.20064398294942137
7.18860648E8	0.719643607977581
7.222708485E8	0.0
7.25677771E8	0.1562940841794729
7.32488338E8	0.3244499984957098
7.39302183E8	0.4967961554746256
7.46116028E8	0.6738976304861646
7.52929873E8	0.5176737950452351
7.59743718E8	0.3821947813605974
7.66557563E8	0.6917420340497913
7.73371408E8	0.5435503742747303
7.80185253E8	0.17417654789623185
7.86999098E8	0.03207909777812674
7.93812943E8	0.07254318230015505
8.00626788E8	0.10843217008898794
8.07440633E8	0.09760891244224076
8.14254478E8	0.506062876393578
8.190716475E8	0.09932054455708822
8.2247857E8	0.2504756030712051
8.27882168E8	0.5795199333122488
8.34696013E8	0.35961252420623013
8.41509858E8	0.331274192471358
8.48323703E8	1.1060903205165367
8.55137548E8	0.5214059022475562
8.61951393E8	0.12443400165398538
8.68765238E8	0.7323566943480516
8.75579083E8	0.3630358483352645
8.82392928E8	0.12221293557455445
8.89206773E8	0.13674335122093326
8.96020618E8	0.4438492510469493
9.02834463E8	0.37663316380105505
9.09648308E8	0.2257340752541333
9.14262198E8	0.03506018181931162
9.176691205E8	0.12591166637499404
9.23275998E8	0.8703786188268151
9.30089843E8	0.27320624405163313
9.36903688E8	0.19929364404385483
9.43717533E8	0.17899864173605357
9.50531378E8	1.261168840794001
9.57345223E8	0.3292951336580154
9.64159068E8	0.30553175189632287
9.70972913E8	0.5256158600613897
9.77786758E8	0.4685946040744983
9.84600603E8	0.4235655492603662
9.91414448E8	0.36440746744312497
9.98228293E8	0.21773257243157132
1.00390351E9	0.22067615117878212
1.0073104325E9	0.0
1.011855983E9	0.6913554681681194
1.018669828E9	0.34807938836295804
1.025483673E9	0.10664228493603832
1.032297518E9	0.4593738190404977
1.039111363E9	0.25601272115817136
1.045925208E9	0.4520378728896827
1.052739053E9	0.3497135611391219
1.059552898E9	0.5590539555860164
1.0652815955E9	0.16205553940411968
1.068688518E9	0.0
1.073180588E9	0.24534253420792518
1.079994433E9	0.08247237793052234
1.086808278E9	0.06981755528633246
1.093622123E9	0.08937670287480858
1.100435968E9	0.06199495292305592
1.107249813E9	0.5175458203114395
1.114063658E9	0.2657179610043962
1.120877503E9	0.42144897631219963
1.127691348E9	0.5684669962407422
1.134505193E9	0.19101535183145493
1.141319038E9	0.17020037878760083
1.148132883E9	0.19653191406614035
1.154946728E9	0.7090663201173493
1.161760573E9	0.2374898460414054
1.168574418E9	0.03544107622054802
1.175388263E9	0.24237944948850465
1.182202108E9	0.028600885403175447
1.189015953E9	0.1287456641587826
1.195829798E9	0.5578719504185963
1.202643643E9	0.3407767567357344
1.209457488E9	0.18807178619413856
1.216271333E9	0.15986979451396385
1.223085178E9	0.19408791952267773
1.229899023E9	0.4889955671137221
1.236712868E9	0.5148777232238185
1.243526713E9	0.18489810085201527
1.250340558E9	0.8180555912263927
1.257154403E9	0.11976629935080707
1.2618183335E9	0.17232905438947088
1.265225256E9	0.6604597531669283
1.270782093E9	0.16025122379508192
1.277595938E9	0.42453812788521017
1.284409783E9	0.38632871748623576
1.291223628E9	0.622891920787749
1.298037473E9	0.4652321853520296
1.304851318E9	1.5935733789072102
1.311665163E9	0.37357174987103464
1.318479008E9	0.13038966985600642
1.325292853E9	0.48438671557688795
1.332106698E9	0.48091569444271187
1.338920543E9	0.20270713525182918
1.345734388E9	0.24586514662426281
1.352548233E9	0.5106225633251124
1.359362078E9	0.04524229711711963
1.366175923E9	0.33181705776987885
1.372989768E9	0.22334570275666676
1.379803613E9	0.22415919352436106
1.386617458E9	0.3283947609609552
1.393431303E9	0.4648196429475575
1.400245148E9	0.09751704067233699
1.407058993E9	0.27481869634545547
1.413872838E9	0.28982622880326747
1.420686683E9	0.7451006003218447
1.427500528E9	0.5236665935312588
1.434314373E9	0.21903257265171133
1.441128218E9	0.2303442476311099
1.444861853E9	1.0815579446761296
1.4482687755E9	0.019424649618045523
1.454755908E9	0.05503559297283692
1.461569753E9	0.14359293467931836
1.468383598E9	0.1952757950907307
1.475197443E9	0.6758336886148716
1.482011288E9	0.7771406599357631
1.488825133E9	0.09080864034917142
1.495638978E9	0.39686476578202173
1.502452823E9	0.8232434110256397
1.509266668E9	0.2636311803394412
1.516080513E9	0.18117846825103887
1.522894358E9	0.04732614258175817
1.529708203E9	0.3994018061755147
1.536522048E9	0.5625296730406988
1.543335893E9	0.399142040947512
1.550149738E9	0.5298362378363465
1.556963583E9	0.11327745201130933
1.563777428E9	0.12370915393584679
1.570591273E9	0.21937760544890586
1.577405118E9	0.6310520711874132
1.584218963E9	0.34962389076945544
1.591032808E9	0.11160526839104794
1.597846653E9	0.1989910248912325
1.6032409105E9	0.16483053939069156
1.606647833E9	0.0
1.611474343E9	0.5025724829373137
1.618288188E9	0.14624708956543625
1.625102033E9	0.4222448558779955
1.631915878E9	0.0450027847713002
1.638729723E9	0.9907436990421707
1.645543568E9	0.16343664993847087
1.652357413E9	0.507445649262641
1.659171258E9	0.10128128831812289
1.665985103E9	0.33030792452719426
1.672798948E9	0.028504464072781226
1.679612793E9	0.12015418607262125
1.686426638E9	0.09283348828745004
1.693240483E9	0.17363676455804322
1.700054328E9	0.08557429762490928
1.706868173E9	0.4377497580294239
1.713682018E9	0.7034389540707192
1.720495863E9	0.2087881365073611
1.727309708E9	0.25655661377680294
1.734123553E9	0.5586725263048984
1.740937398E9	0.8072202992583483
1.747751243E9	0.32345511234846114
1.754565088E9	0.28518523682296854
1.759854186E9	0.515917086371595
1.7632611085E9	0.00117298148479715
1.768192778E9	0.374361465516166
1.775006623E9	0.02537510025543581
1.781820468E9	0.16389806342821123
1.788634313E9	0.47543670277207656
1.795448158E9	0.8648011511855641
1.802262003E9	0.14820222649620002
1.809075848E9	0.045486065503397864
1.815889693E9	0.14166524187151308
1.822703538E9	0.20938500949170402
1.829517383E9	0.3119262325456479
1.836331228E9	0.2976458959662276
1.843145073E9	0.026519241338774216
1.849958918E9	0.1819078655296679
1.856772763E9	0.15483445837115462
1.863586608E9	0.26217546774251543
1.870400453E9	0.49539474408355344
1.877214298E9	0.4984651103745389
1.884028143E9	0.573787633854307
1.890841988E9	0.16021820279152227
1.897655833E9	0.2250542828608517
1.904469678E9	0.4269963581502074
1.910723823E9	0.5206089443308347
1.9141307455E9	0.0
1.918097368E9	0.09851060597944332
1.924911213E9	0.20714589193032715
1.931725058E9	0.20143472591466346
1.938538903E9	0.05742528631044586
1.945352748E9	0.9993260780073512
1.952166593E9	0.41112044667878417
1.958980438E9	0.22992877002632142
1.965794283E9	0.3627473181441609
1.972608128E9	0.25981116388764347
1.979421973E9	0.13679515750651797
1.986235818E9	0.3025732167373928
1.993049663E9	0.031154949958503604
1.999863508E9	0.4316457154514081
2.006677353E9	0.27181407854155765
2.013491198E9	0.09986314628524717
2.020305043E9	0.27404409698195364
2.027118888E9	0.3345128925004898
2.033932733E9	0.2589116717506782
2.040746578E9	0.2825705603811064
2.047560423E9	0.3121277340473697
2.054374268E9	0.3192306252930614
2.060544391E9	0.23404363888903465
2.0639513135E9	0.0
2.068001958E9	0.16607935754335473
2.074815803E9	0.07153244607119769
2.081629648E9	0.160941289389471
2.088443493E9	0.31378171942566935
2.095257338E9	0.18020882482651132
2.102071183E9	0.0771785973998528
2.108885028E9	0.166340296851484
2.115698873E9	0.09781100098402591
2.122512718E9	0.2457878040959253
2.129326563E9	0.34570260990674134
2.136140408E9	0.6025757850376696
2.142954253E9	0.283667885019398
2.149768098E9	0.07268348487527967
2.156581943E9	0.2262565409104551
2.163395788E9	0.8347284095837225
2.170209633E9	0.10761867932129363
2.177023478E9	0.7167091414612454
2.183837323E9	0.6488076849414685
2.190651168E9	0.6801311153981342
2.197465013E9	0.16801233371172958
2.204278858E9	0.33890894201438393
2.2082174155E9	0.08453074007542768
2.211624338E9	0.34949096394708357
2.217906548E9	0.0762136502958315
2.224720393E9	0.1854845538752349
2.231534238E9	0.5044819775031572
2.238348083E9	0.04197233720461795
2.245161928E9	0.2394578978535614
2.251975773E9	0.14185720397220658
2.258789618E9	0.10388980083932053
2.265603463E9	0.091752894290962
2.272417308E9	0.11715088910886584
2.279231153E9	0.43376126107946394
2.286044998E9	0.23261139635550854
2.292858843E9	0.8804004200271652
2.299672688E9	0.44620430902082453
2.306486533E9	0.2102833275485427
2.313300378E9	0.37884747891975823
2.320114223E9	0.36872940314902963
2.326928068E9	0.45795963952804913
2.333741913E9	0.4335088338522523
2.3376495495E9	0.1505769760781604
2.341056472E9	0.12335866473448137
2.347369603E9	0.09679351379434079
2.354183448E9	1.102812142043149
2.360997293E9	0.5620089685045668
2.367811138E9	0.42339222568168194
2.374624983E9	0.09061286248806658
2.381438828E9	0.3913339678258017
2.388252673E9	0.1254153858797786
2.395066518E9	0.46069950226340634
2.401880363E9	0.5198167847962494
2.408694208E9	0.4369496224231693
2.415508053E9	0.22053950449415857
2.422321898E9	0.12305753946560276
2.429135743E9	0.04236814896728646
2.435949588E9	0.9486921114290097
2.442763433E9	0.19110311432091573
2.449577278E9	0.6370450164334528
2.456391123E9	0.25068606638395796
2.4612717095E9	0.4635222140189351
2.462753523E9	0.0
2.4646867815E9	0.006641182395386443
2.470018813E9	0.11062094896493829
2.476832658E9	0.22611154201482422
2.483646503E9	0.3190906162379684
2.490460348E9	0.02611785269550452
2.497274193E9	0.27687421712704063
2.504088038E9	0.2893083127074361
2.510901883E9	0.11126229023407488
2.517715728E9	0.11775612741411054
2.524529573E9	0.07120370363575926
2.531343418E9	0.112101317244522
2.538157263E9	0.3025196493316182
2.544971108E9	0.053427396719473365
2.551784953E9	0.04467169417560863
2.558598798E9	0.49540575108473994
2.565412643E9	0.21310713701294937
2.572226488E9	0.1771544553772503
2.579040333E9	0.03325127002448691
2.585854178E9	0.030793186519505508
2.592668023E9	0.23629081671215005
2.599481868E9	0.11673629206417228
2.606295713E9	0.15300333365375937
2.613109558E9	0.41642934349108324
2.619923403E9	0.7460721516265779
2.626737248E9	0.12575440151632447
2.631968571E9	0.2067207830736727
2.6353754935E9	0.01313883788029487
2.640364938E9	0.006334896082901798
2.647178783E9	0.007174510133412192
2.653992628E9	0.007089095804204528
2.660806473E9	0.0031425722187692854
2.667620318E9	0.007038463598746376
2.674434163E9	0.005436137746015649
2.681248008E9	0.006197088428046132
2.688061853E9	0.002393509098020281
2.694875698E9	0.006366889766350717
2.701689543E9	0.005261786847220622
2.708503388E9	0.004662272182592941
2.715317233E9	0.0034567854126414674
2.7221309125E9	0.21353885821618623
