#Coverage (X)	Coverage
1.0	9.12398741827846
2.0	5.21835682616647
3.0	3.803340536402615
4.0	2.9671704016357126
5.0	2.3831827656901083
6.0	1.9535212301628206
7.0	1.6268997308068407
8.0	1.37363715151794
9.0	1.1735093359298645
10.0	1.0130182500882654
11.0	0.8825454982181782
12.0	0.7755525539207042
13.0	0.6865384475447627
14.0	0.6120055939685614
15.0	0.5490835503840685
16.0	0.4952365235499627
17.0	0.44893600771585795
18.0	0.40883654358330546
19.0	0.373992372805489
20.0	0.3434073249640477
21.0	0.3163860510195917
22.0	0.2923074258197147
23.0	0.2708580433125718
24.0	0.2516541627002056
25.0	0.2343984848444478
26.0	0.2187984436182404
27.0	0.20474609701682311
28.0	0.19190774941371558
29.0	0.18022807227622195
30.0	0.16964260125956798
31.0	0.1598981019257053
32.0	0.15095520589559897
33.0	0.1427352131012185
34.0	0.13518070367939572
35.0	0.1281627489405679
36.0	0.12162220459119055
37.0	0.11558181843646764
38.0	0.1099641011786332
39.0	0.10469526921077943
40.0	0.09977869801367945
41.0	0.09519255703233398
42.0	0.0909008533684812
43.0	0.08688461828778316
44.0	0.08313541308829997
45.0	0.07958308647394574
46.0	0.07624840498948515
47.0	0.07311771995179583
48.0	0.07016611884516522
49.0	0.0673751099053419
50.0	0.06473188831940035
51.0	0.062208349540895824
