comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
WT_0h_vs_KO_0h,best_cluster_2,-2.117882622801357,0.0028038693396887707,77,2.552242228356702
WT_0h_vs_KO_0h,best_cluster_8,1.9295788867541306,0.013502565487442613,91,1.8695837077134239
WT_0h_vs_KO_0h,best_cluster_7,1.8244639445813418,0.018570102135561747,87,1.7311857076340003
WT_0h_vs_KO_0h,best_cluster_5,-1.6549282682160669,0.023608768971332208,78,1.6269266576860246
WT_0h_vs_KO_0h,best_cluster_3,-1.6972081152974403,0.023608768971332208,74,1.6269266576860246
WT_0h_vs_KO_0h,best_cluster_6,-1.5957274003889377,0.024828811876012755,83,1.605044062082051
WT_0h_vs_KO_0h,best_cluster_1,-1.3383351103191756,0.19387328569438086,54,0.7124820293679573
WT_0h_vs_KO_0h,best_cluster_10,-1.1209841225792074,0.4019129019129019,46,0.39586805218158305
WT_0h_vs_KO_0h,best_cluster_9,1.0117660222396279,0.46636085626911317,31,0.33127790897748144
WT_0h_vs_KO_0h,JJM_TrmSignature,0.9770278389033655,0.5350140056022409,73,0.27163484886446565
WT_24h_vs_KO_24h,best_cluster_1,2.7190879597630038,0.0017482517482517483,75,2.7573960287930244
WT_24h_vs_KO_24h,JJM_CirculatingSignature,-2.6216186767187715,0.0017482517482517483,56,2.7573960287930244
WT_24h_vs_KO_24h,best_cluster_8,-2.0167113306093216,0.00780161604903873,48,2.1078154269910208
WT_24h_vs_KO_24h,JJM_TrmSignature,1.9105646380777324,0.01259524179754315,43,1.899793490704118
WT_24h_vs_KO_24h,best_cluster_10,-1.8644398260821136,0.02131228416378885,31,1.6713700018780966
WT_24h_vs_KO_24h,best_cluster_5,-1.7149880903657284,0.03564608529598982,41,1.4479881580337728
WT_24h_vs_KO_24h,best_cluster_7,-1.4884774556103106,0.1172124742487746,43,0.9310261663970925
WT_24h_vs_KO_24h,best_cluster_9,-1.4772738339126377,0.11792774369461487,41,0.9283840107144873
WT_24h_vs_KO_24h,best_cluster_6,-1.4154485247971287,0.13465225059427957,53,0.8707863833404157
WT_24h_vs_KO_24h,best_cluster_4,-1.3464902175537505,0.15615141955835962,22,0.8064540632841828
WT_24h_vs_KO_24h,best_cluster_2,1.2035123966909578,0.2608368155813411,72,0.5836311105037346
WT_24h_vs_KO_24h,best_cluster_3,-0.9411521229027876,0.5327972915785019,37,0.27343799152450643
WT_48h_vs_KO_48h,best_cluster_7,-2.4026922866158458,4.0903977911851925e-4,46,3.3882344548004766
WT_48h_vs_KO_48h,JJM_CirculatingSignature,-3.2692482115957557,4.0903977911851925e-4,50,3.3882344548004766
WT_48h_vs_KO_48h,best_cluster_2,3.3175156566943027,4.0903977911851925e-4,52,3.3882344548004766
WT_48h_vs_KO_48h,best_cluster_8,-3.1127901534355837,4.0903977911851925e-4,54,3.3882344548004766
WT_48h_vs_KO_48h,best_cluster_4,-3.3878798047580228,4.0903977911851925e-4,55,3.3882344548004766
WT_48h_vs_KO_48h,JJM_TrmSignature,3.09388052464291,4.0903977911851925e-4,54,3.3882344548004766
WT_48h_vs_KO_48h,best_cluster_1,3.004687755206376,4.0903977911851925e-4,76,3.3882344548004766
WT_48h_vs_KO_48h,best_cluster_10,-2.1467231659799975,0.001016432322547857,34,2.992921532837551
WT_48h_vs_KO_48h,best_cluster_9,1.5987056560948798,0.039556198745779064,42,1.4027854497101442
WT_48h_vs_KO_48h,best_cluster_5,-1.417614183870951,0.07395132055929571,29,1.131054066339239
WT_48h_vs_KO_48h,best_cluster_3,1.4797807735890338,0.09196334441651123,40,1.0363852431963103
WT_48h_vs_KO_48h,best_cluster_6,1.2300259671562996,0.2021201413427562,38,0.6943904067312661
WT_6h_vs_KO_6h,JJM_TrmSignature,2.620121063917328,0.001003832816207337,59,2.998338610940466
WT_6h_vs_KO_6h,best_cluster_1,2.826239406675112,0.001003832816207337,94,2.998338610940466
WT_6h_vs_KO_6h,JJM_CirculatingSignature,-2.3300397756750395,0.0019117135905457074,58,2.718577172396082
WT_6h_vs_KO_6h,best_cluster_8,-2.261005456062518,0.0034951703101169292,54,2.4565316574170364
WT_6h_vs_KO_6h,best_cluster_5,-1.8819701029866793,0.0036058184798197094,92,2.4429961398423714
WT_6h_vs_KO_6h,best_cluster_6,-1.3686146626809568,0.1915228426395939,67,0.7177794209605974
WT_6h_vs_KO_6h,best_cluster_10,-1.3848997173652247,0.1915228426395939,46,0.7177794209605974
WT_6h_vs_KO_6h,best_cluster_3,-1.3373375175916575,0.1915228426395939,59,0.7177794209605974
WT_6h_vs_KO_6h,best_cluster_4,-1.1646901969478978,0.31083133493205434,42,0.5074752064022767
WT_6h_vs_KO_6h,best_cluster_7,1.0334662597111026,0.4544707091469682,30,0.3424941020256568
WT_6h_vs_KO_6h,best_cluster_2,-0.6651450358168493,1,50,-0
