limits,nondupr_KO_24h_vs_KO_0h_addGN,nondupr_KO_48h_vs_KO_0h_addGN,nondupr_KO_6h_vs_KO_0h_addGN,nondupr_WT_0h_vs_KO_0h_addGN,nondupr_WT_24h_vs_KO_24h_addGN,nondupr_WT_24h_vs_WT_0h_addGN,nondupr_WT_48h_vs_KO_48h_addGN,nondupr_WT_48h_vs_WT_0h_addGN,nondupr_WT_6h_vs_KO_6h_addGN,nondupr_WT_6h_vs_WT_0h_addGN
max_mlog10p,11,11,11,10.999999999999982,11,11,11,11,10.999999966617466,11
min_mlog10p,-4.342945178347669e-12,-4.342945178347669e-12,-4.342945178347669e-12,5.870966375493573e-7,-4.342945178347669e-12,-4.342945178347669e-12,5.343528982453219e-7,-4.342945178347669e-12,-4.342945178347669e-12,-4.342945178347669e-12
max_log2FC,9.42510420920584,8.572736808922889,9.01362697,4.41040634903038,8.381401814319691,15.802979238393199,7.35691217834018,14.6944969840043,4.49301008427954,10.3376725743519
min_log2FC,-8.52424652345235,-8.086579151959551,-6.913509814,-24.065843738559497,-22.107338756883898,-15.8850755763146,-24.392859592968502,-16.3662520981386,-24.021874118073303,-16.6415770423735
max_sqrt_mlog10p,3.3166247903554,3.3166247903554,3.3166247903554,3.316624790355397,3.3166247903554,3.3166247903554,3.3166247903554,3.3166247903554,3.3166247853227935,3.3166247903554
min_sqrt_mlog10p,0.004063732131762599,0.005778522184552848,0.0029928935363438694,7.662223160084528e-4,7.532461979258952e-4,0.0018006792053289662,7.309944584231278e-4,0.006826977936441081,0.00494512485795671,0.005080081491963665
