comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
WT_0h_vs_KO_0h,NAV_up,2.307022649213883,0.013215859030837006,73,1.8789046024734601
WT_0h_vs_KO_0h,DP_up,-1.867311455910286,0.016073059360730592,89,1.7939014513619873
WT_0h_vs_KO_0h,NAV_dn,-1.7318494237400452,0.016073059360730592,43,1.7939014513619873
WT_0h_vs_KO_0h,EXH_dn,-1.656345769831957,0.03876089663760897,45,1.4116061851748882
WT_0h_vs_KO_0h,DP_dn,1.5047349719601086,0.16621748668129113,55,0.7793232887967937
WT_0h_vs_KO_0h,Act48h_up,-1.3890198444793227,0.20847889717684825,43,0.6809378989802822
WT_0h_vs_KO_0h,MEM_up,1.37033312295085,0.20847889717684825,50,0.6809378989802822
WT_0h_vs_KO_0h,TE_dn,-1.2561088016738606,0.315218794372015,43,0.5013878963578602
WT_0h_vs_KO_0h,MEM_dn,1.0842785867754083,0.44671491414786435,49,0.3499695478102413
WT_0h_vs_KO_0h,Act48h_dn,-1.0671196421313642,0.4678566842172852,24,0.32988716142508057
WT_0h_vs_KO_0h,TE_up,0.9353484124831105,0.5859502159335055,54,0.23213928136045722
WT_0h_vs_KO_0h,EXH_up,-0.8392452684457561,0.6816695015046448,37,0.1664261362854495
WT_24h_vs_KO_24h,Act48h_up,3.5107141922425904,8.039508441483864e-4,50,3.0947705044452527
WT_24h_vs_KO_24h,EXH_dn,2.7609155299987056,8.039508441483864e-4,35,3.0947705044452527
WT_24h_vs_KO_24h,Act48h_dn,-3.2846014512236366,0.0035273368606701942,58,2.452553063228925
WT_24h_vs_KO_24h,NAV_up,-1.9962689865776588,0.007002334111370457,48,2.154757171025608
WT_24h_vs_KO_24h,EXH_up,-1.9051334067240013,0.013093525179856114,44,1.8829434122690203
WT_24h_vs_KO_24h,NAV_dn,1.7283443256043813,0.018922374429223746,37,1.7230243681029418
WT_24h_vs_KO_24h,EE_up,-1.5066002295474357,0.07846309403437816,77,1.105334570338991
WT_24h_vs_KO_24h,EE_dn,-1.4143900339084112,0.14436264622831788,86,0.8405451657381664
WT_24h_vs_KO_24h,MEM_dn,-1.3632683934386474,0.20104392997177892,44,0.6967090348195009
WT_24h_vs_KO_24h,DP_up,-1.2931622072728821,0.2478866484142369,33,0.6057468644228914
WT_24h_vs_KO_24h,TE_dn,-1.2667253398431793,0.2478866484142369,49,0.6057468644228914
WT_24h_vs_KO_24h,DP_dn,-1.0790039800195967,0.41723671084509056,40,0.3796174868801265
WT_24h_vs_KO_24h,TE_up,-0.8867488561626822,0.7026934025714018,53,0.15323412393579303
WT_24h_vs_KO_24h,MEM_up,-0.8035071020019335,0.7391686182669789,15,0.13125647956228728
WT_48h_vs_KO_48h,EXH_dn,2.0754923163555796,4.2799058420714745e-4,29,3.368565785360332
WT_48h_vs_KO_48h,Act48h_up,4.797398519547475,4.2799058420714745e-4,60,3.368565785360332
WT_48h_vs_KO_48h,TE_up,-2.486276381388227,4.2799058420714745e-4,49,3.368565785360332
WT_48h_vs_KO_48h,DP_dn,-2.5476215179787016,4.2799058420714745e-4,71,3.368565785360332
WT_48h_vs_KO_48h,MP_up,-2.107780312660971,4.2799058420714745e-4,87,3.368565785360332
WT_48h_vs_KO_48h,EXH_up,-1.887254510530911,4.2799058420714745e-4,39,3.368565785360332
WT_48h_vs_KO_48h,NAV_dn,2.9241986815234795,4.2799058420714745e-4,39,3.368565785360332
WT_48h_vs_KO_48h,NAV_up,-3.316366261968787,4.2799058420714745e-4,50,3.368565785360332
WT_48h_vs_KO_48h,Act48h_dn,-4.743441009128557,6.898633208295606e-4,59,3.1612369453343048
WT_48h_vs_KO_48h,MEM_up,-1.629641168872502,0.005449982072427393,34,2.2636049263212774
WT_48h_vs_KO_48h,MP_dn,1.2900002866455487,0.266156244450145,55,0.5748633401302377
WT_48h_vs_KO_48h,DP_up,-1.194924325474998,0.32280211787979285,31,0.49106362456802777
WT_48h_vs_KO_48h,TE_dn,-1.0628191719916231,0.4376822350633515,24,0.35884108046143653
WT_48h_vs_KO_48h,EE_up,-1.020232646614692,0.49814344342388117,36,0.30264558150284976
WT_48h_vs_KO_48h,EE_dn,-0.6229494241092469,0.9455952651946278,23,0.024294711066240125
WT_48h_vs_KO_48h,MEM_dn,0.6972446598476422,0.9455952651946278,23,0.024294711066240125
WT_6h_vs_KO_6h,Act48h_up,3.4012285316118813,0.0013698630136986301,61,2.863322860120456
WT_6h_vs_KO_6h,TE_up,-2.366401963312076,0.0013698630136986301,95,2.863322860120456
WT_6h_vs_KO_6h,NAV_up,-3.413533836697223,0.0015061985864905573,63,2.822117764303152
WT_6h_vs_KO_6h,Act48h_dn,-2.739809074194933,0.002228316763798423,69,2.652023072478877
WT_6h_vs_KO_6h,DP_dn,1.9590267233438001,0.016023947878147562,59,1.7952304763623657
WT_6h_vs_KO_6h,MEM_dn,1.82679180607227,0.029714285714285717,40,1.5270347050514952
WT_6h_vs_KO_6h,EXH_dn,1.7760331090386512,0.029714285714285717,37,1.5270347050514952
WT_6h_vs_KO_6h,NAV_dn,1.4761909095838968,0.1417465707817286,43,0.8484874390212095
WT_6h_vs_KO_6h,EXH_up,-1.3745363722287531,0.1824853926179279,24,0.7387718937243669
WT_6h_vs_KO_6h,TE_dn,1.308935136094304,0.20926712202326012,42,0.6792989983477987
WT_6h_vs_KO_6h,EE_up,-1.132134072040269,0.37727272727272726,66,0.4233445884461324
WT_6h_vs_KO_6h,MEM_up,0.921145789644101,0.5855945730247406,31,0.23240295673847913
WT_6h_vs_KO_6h,EE_dn,-0.946076854303963,0.5855945730247406,71,0.23240295673847913
