comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
WT_0h_vs_KO_0h,Yao_MP,2.4097660422505847,0.0012448132780082987,66,2.904895787855206
WT_0h_vs_KO_0h,Yao_EXH,-1.861149602405315,0.007960014809329877,57,2.0990861242718455
WT_0h_vs_KO_0h,Yao_PRO,-1.0145227597870374,0.4451046590141796,41,0.3515378598321491
WT_24h_vs_KO_24h,Yao_PRO,-2.798219819365107,0.0018181818181818182,52,2.7403626894942437
WT_24h_vs_KO_24h,Yao_EXH,1.546674930971179,0.07333051563820794,34,1.134715261165019
WT_24h_vs_KO_24h,Yao_MP,-0.9122179455927034,0.5957446808510638,31,0.22493982659349826
WT_48h_vs_KO_48h,Yao_MP,-2.8447305671642535,2.4515812699190976e-4,47,3.6105537053170944
WT_48h_vs_KO_48h,Yao_PRO,-4.026644393126969,2.4515812699190976e-4,59,3.6105537053170944
WT_48h_vs_KO_48h,Yao_EXH,2.486432553495793,2.4515812699190976e-4,47,3.6105537053170944
WT_6h_vs_KO_6h,Yao_EXH,2.6473183514607865,4.7475866434562434e-4,65,3.3235271006443257
WT_6h_vs_KO_6h,Yao_MP,1.7084166028122492,0.04280618311533888,53,1.368493495030625
WT_6h_vs_KO_6h,Yao_PRO,1.0221471569123786,0.4230769230769231,17,0.37358066281259295
