#Mapping quality	mapping quality
0.0	258222.0
1.0	9087005.0
2.0	61953.0
3.0	70012.0
4.0	34346.0
5.0	22257.0
6.0	221123.0
7.0	122268.0
8.0	93408.0
9.0	36950.0
10.0	38336.0
11.0	97378.0
12.0	241657.0
13.0	23190.0
14.0	57765.0
15.0	137227.0
16.0	93646.0
17.0	183673.0
18.0	180065.0
19.0	42442.0
20.0	60368.0
21.0	266224.0
22.0	93087.0
23.0	351382.0
24.0	558576.0
25.0	141761.0
26.0	120516.0
27.0	116560.0
28.0	159656.0
29.0	140687.0
30.0	1060913.0
31.0	881628.0
32.0	1056243.0
33.0	562036.0
34.0	942157.0
35.0	710141.0
36.0	729709.0
37.0	704158.0
38.0	891477.0
39.0	830289.0
40.0	2484914.0
41.0	5684450.0
42.0	1.16911136E8
