#Mapping quality	mapping quality
0.0	158359.0
1.0	6426534.0
2.0	37544.0
3.0	47669.0
4.0	20198.0
5.0	12928.0
6.0	164507.0
7.0	87343.0
8.0	69127.0
9.0	22106.0
10.0	23438.0
11.0	67484.0
12.0	170760.0
13.0	14797.0
14.0	36481.0
15.0	93179.0
16.0	61783.0
17.0	134966.0
18.0	136264.0
19.0	23216.0
20.0	33337.0
21.0	186405.0
22.0	58349.0
23.0	272999.0
24.0	429981.0
25.0	87929.0
26.0	72819.0
27.0	70301.0
28.0	92765.0
29.0	81949.0
30.0	809473.0
31.0	690622.0
32.0	839078.0
33.0	357232.0
34.0	776271.0
35.0	535585.0
36.0	484073.0
37.0	463336.0
38.0	558357.0
39.0	450070.0
40.0	1634206.0
41.0	2913193.0
42.0	8.8766446E7
