#Coverage (X)	Coverage
1.0	3.9798921230759845
2.0	1.528243123320408
3.0	0.8121015993193339
4.0	0.4858505956682819
5.0	0.31520133064798017
6.0	0.216948276564068
7.0	0.15617058052114885
8.0	0.11619230348637188
9.0	0.08864584876151582
10.0	0.06899625792696895
11.0	0.05448114024946449
12.0	0.043572320188687286
13.0	0.03523752435798144
14.0	0.028796666761451206
15.0	0.023731941310387583
16.0	0.019731556313317355
17.0	0.01655757706569716
18.0	0.014003035230089722
19.0	0.011917318321948756
20.0	0.01020782076005844
21.0	0.008781459993073781
22.0	0.007580779467829757
23.0	0.006568612205796853
24.0	0.005718321260872017
25.0	0.0050180924503422375
26.0	0.00442184312365157
27.0	0.0039062384354480173
28.0	0.0034589872329178206
29.0	0.0030727515143809114
30.0	0.0027312409160913376
31.0	0.0024372438786883777
32.0	0.0021768915789976973
33.0	0.001947542336424135
34.0	0.001739620058756941
35.0	0.0015586649372778538
36.0	0.0013986965006012042
37.0	0.0012572198281617375
38.0	0.0011322903495170067
39.0	0.0010236879246150465
40.0	9.240011717679408E-4
41.0	8.319459406607166E-4
42.0	7.56217763296263E-4
43.0	6.87570757563094E-4
44.0	6.248308431793248E-4
45.0	5.674476700221476E-4
46.0	5.184665087938356E-4
47.0	4.758327190188538E-4
48.0	4.384089104405575E-4
49.0	4.032598823897615E-4
50.0	3.7277048539863245E-4
51.0	3.463903693443626E-4
