#Position (bp)	insert size
3406923.0	227.81719077568135
1.0220768E7	235.73032528856243
1.7034613E7	221.26215028315443
2.3848458E7	231.5415230335318
3.0662303E7	211.8851391749153
3.7476148E7	217.87660572464154
4.4289993E7	222.35525507068223
5.1103838E7	230.0664120517717
5.7917683E7	232.41772856612644
6.4731528E7	231.06062281186658
7.1545373E7	223.73726362625138
7.8359218E7	265.20333405265427
8.5173063E7	229.19594644033072
9.1986908E7	230.62753566287134
9.8800753E7	218.13831598864712
1.05614598E8	226.20350690754518
1.12428443E8	241.76792772444946
1.19242288E8	238.23677198325086
1.26056133E8	230.4800437712377
1.300790245E8	229.19423868312757
1.33485947E8	245.76617242616285
1.39683823E8	222.9389658848614
1.46497668E8	235.5678722404885
1.53311513E8	224.2942128038177
1.60125358E8	228.3210267379679
1.66939203E8	233.22545662100455
1.73753048E8	222.11777843954735
1.80566893E8	245.85013893176907
1.87380738E8	224.54792640780647
1.94194583E8	226.7846767934361
2.01008428E8	259.1909135263898
2.07822273E8	230.76056152499953
2.14636118E8	226.6323424363976
2.21449963E8	223.2377349279961
2.28263808E8	223.44851344974043
2.35077653E8	244.91186035211004
2.41891498E8	225.71379458530296
2.48705343E8	244.54580079984765
2.52444901E8	230.8339317773788
2.558518235E8	234.5887845393844
2.62333033E8	230.35542938254082
2.69146878E8	226.18169853681195
2.75960723E8	245.8458734324876
2.82774568E8	219.34399532320026
2.89588413E8	233.23463855421687
2.96402258E8	215.65767254038178
3.03216103E8	225.17412368196068
3.10029948E8	233.75967628430683
3.16843793E8	245.0996835443038
3.23657638E8	227.35054075944544
3.30471483E8	219.9164387724096
3.37285328E8	225.89190464209335
3.44099173E8	237.26227738801944
3.50913018E8	238.1143764892772
3.57726863E8	229.88984852511294
3.64540708E8	240.32243168359864
3.704270945E8	223.4104717214127
3.73834017E8	0.0
3.78168398E8	238.95861327600107
3.84982243E8	243.1237819827749
3.91796088E8	212.95905165336748
3.98609933E8	219.63805943683948
4.05423778E8	238.3599848904558
4.12237623E8	223.57815937423612
4.19051468E8	219.36023391812864
4.25865313E8	240.45353704478862
4.32679158E8	227.4189844348048
4.39493003E8	223.0308485792137
4.46306848E8	248.67318398727465
4.53120693E8	213.9823834196891
4.59934538E8	239.73890339425589
4.66748383E8	217.51008318628686
4.73562228E8	244.11379741558983
4.80376073E8	222.7783980377231
4.87189918E8	217.62115739625972
4.91962519E8	304.542318491777
4.953694415E8	253.0
5.00817608E8	251.8663955852454
5.07631453E8	245.93198842356145
5.14445298E8	280.52363853979654
5.21259143E8	228.26932065436378
5.28072988E8	227.49666885615088
5.34886833E8	279.09870388833497
5.41700678E8	225.65908261345663
5.48514523E8	245.26705452298822
5.55328368E8	224.39791639365745
5.62142213E8	240.0059149017363
5.68956058E8	224.7204778902892
5.75769903E8	216.17903359848034
5.82583748E8	245.703506097561
5.89397593E8	232.2515753756665
5.96211438E8	234.24410774410774
6.03025283E8	259.98793859649123
6.09839128E8	247.50271172298707
6.15738246E8	217.13383383383385
6.191451685E8	0.0
6.23466818E8	228.63038609692734
6.30280663E8	228.27021622297212
6.37094508E8	270.11786600496276
6.43908353E8	221.1701861130995
6.50722198E8	229.6037505548158
6.57536043E8	226.01786093982565
6.64349888E8	264.2821482602118
6.71163733E8	246.5285462036492
6.77977578E8	223.171123255587
6.84791423E8	235.80672770700636
6.91605268E8	244.54618270303152
6.98419113E8	229.01177811550153
7.05232958E8	228.0011688773695
7.12046803E8	224.69908231749076
7.18860648E8	229.23501905972046
7.222708485E8	0.0
7.25677771E8	231.9813481289104
7.32488338E8	219.42081599785263
7.39302183E8	234.2247217730429
7.46116028E8	230.78909076761468
7.52929873E8	227.8935086737549
7.59743718E8	220.74185277088503
7.66557563E8	213.10177631578946
7.73371408E8	216.40018895187285
7.80185253E8	230.54865826058844
7.86999098E8	255.27566539923956
7.93812943E8	232.42440163455925
8.00626788E8	235.74773519163762
8.07440633E8	231.70687418936447
8.14254478E8	232.9305192542255
8.190716475E8	250.6854646544877
8.2247857E8	224.01257861635222
8.27882168E8	224.02676789278587
8.34696013E8	233.60761765487902
8.41509858E8	242.52238617732374
8.48323703E8	241.48695569530025
8.55137548E8	271.8782851975358
8.61951393E8	219.68644950171054
8.68765238E8	221.20492962075113
8.75579083E8	243.73248704663212
8.82392928E8	228.896862379621
8.89206773E8	244.2368289845438
8.96020618E8	247.30665422885573
9.02834463E8	220.75980744359822
9.09648308E8	223.71445959104187
9.14262198E8	249.16273584905662
9.176691205E8	223.99635833940278
9.23275998E8	216.06769249299887
9.30089843E8	221.90158371040724
9.36903688E8	220.68813349814585
9.43717533E8	226.22793841532106
9.50531378E8	225.92845467899778
9.57345223E8	227.24540671094627
9.64159068E8	220.81216685979143
9.70972913E8	215.41158123691878
9.77786758E8	224.2486619760659
9.84600603E8	219.59765385087826
9.91414448E8	231.13341660718535
9.98228293E8	218.5659596482152
1.00390351E9	236.35955766192734
1.0073104325E9	0.0
1.011855983E9	258.00758034539643
1.018669828E9	238.4770413323444
1.025483673E9	227.05124099279425
1.032297518E9	238.3776876892287
1.039111363E9	230.66071213035607
1.045925208E9	226.52041646331543
1.052739053E9	248.13010873640795
1.059552898E9	229.3351928524733
1.0652815955E9	231.87965390665968
1.068688518E9	0.0
1.073180588E9	247.76227115945875
1.079994433E9	244.6314786585366
1.086808278E9	242.09102787456445
1.093622123E9	227.93691181596375
1.100435968E9	245.1098901098901
1.107249813E9	230.17833485383363
1.114063658E9	236.9122333905369
1.120877503E9	227.4202575354291
1.127691348E9	221.25781099324976
1.134505193E9	229.71503060530492
1.141319038E9	244.39545014520814
1.148132883E9	221.60130313372633
1.154946728E9	232.45238486032235
1.161760573E9	228.19225282563372
1.168574418E9	269.6552346570397
1.175388263E9	221.4463524396021
1.182202108E9	266.90751445086704
1.189015953E9	238.1342268041237
1.195829798E9	216.07540860260002
1.202643643E9	267.9628897424311
1.209457488E9	222.90222984562607
1.216271333E9	319.860747051114
1.223085178E9	223.90943544171458
1.229899023E9	221.30264136904762
1.236712868E9	225.32597047145447
1.243526713E9	224.7630472854641
1.250340558E9	219.9241840346048
1.257154403E9	235.7918133802817
1.2618183335E9	217.94137115839243
1.265225256E9	214.59218602455147
1.270782093E9	223.78059895833334
1.277595938E9	222.17148746135348
1.284409783E9	227.4137483787289
1.291223628E9	247.2164858581945
1.298037473E9	247.57300039295538
1.304851318E9	206.88267381656806
1.311665163E9	219.18540162713418
1.318479008E9	248.63148049171565
1.325292853E9	222.30605381165918
1.332106698E9	225.83264823119083
1.338920543E9	221.62679622280007
1.345734388E9	246.04275449101797
1.352548233E9	234.0238414400613
1.359362078E9	255.47693726937268
1.366175923E9	224.17661755836994
1.372989768E9	237.0639310139756
1.379803613E9	233.14661166764878
1.386617458E9	234.66505368214123
1.393431303E9	241.6536657011138
1.400245148E9	228.03564797623469
1.407058993E9	237.07509373326192
1.413872838E9	230.05660241657077
1.420686683E9	228.6427981627703
1.427500528E9	233.96456207953003
1.434314373E9	228.4510475423046
1.441128218E9	244.55298635509436
1.444861853E9	231.0639431616341
1.4482687755E9	228.8397534668721
1.454755908E9	238.7596098680436
1.461569753E9	224.1202404809619
1.468383598E9	229.6758832565284
1.475197443E9	219.8758715506236
1.482011288E9	249.99468610392665
1.488825133E9	226.65501229172358
1.495638978E9	222.02822135764472
1.502452823E9	211.81757232285068
1.509266668E9	224.85984670733615
1.516080513E9	280.80150618612157
1.522894358E9	255.74596182085168
1.529708203E9	231.37744348121706
1.536522048E9	239.23932379101137
1.543335893E9	231.62526421181445
1.550149738E9	233.18772018117767
1.556963583E9	232.65299260255549
1.563777428E9	227.39141414141415
1.570591273E9	225.44563898040576
1.577405118E9	213.84084502863246
1.584218963E9	215.9913547406422
1.591032808E9	248.8961038961039
1.597846653E9	230.08946996466432
1.6032409105E9	224.7796191819464
1.606647833E9	0.0
1.611474343E9	229.19670854026683
1.618288188E9	228.17105263157896
1.625102033E9	216.64372995265006
1.631915878E9	248.3238897396631
1.638729723E9	225.29269520076278
1.645543568E9	240.6742857142857
1.652357413E9	226.4558964796293
1.659171258E9	232.382932840419
1.665985103E9	221.32187441189384
1.672798948E9	261.5767590618337
1.679612793E9	231.96443719412724
1.686426638E9	231.69242540168324
1.693240483E9	228.60757281553398
1.700054328E9	234.22423146473778
1.706868173E9	219.15909518140234
1.713682018E9	237.1841171251109
1.720495863E9	234.450301369863
1.727309708E9	235.13471412409712
1.734123553E9	226.96328279713015
1.740937398E9	225.58341017293614
1.747751243E9	263.29225210758733
1.754565088E9	244.852492789452
1.759854186E9	254.9596326356258
1.7632611085E9	247.0
1.768192778E9	242.1606733580969
1.775006623E9	271.0552291421857
1.781820468E9	233.25468938220615
1.788634313E9	233.12514323911384
1.795448158E9	230.198114097124
1.802262003E9	226.8689418929206
1.809075848E9	252.24016563146998
1.815889693E9	228.79437905356713
1.822703538E9	220.63572542901716
1.829517383E9	219.85225618631733
1.836331228E9	234.75918629157886
1.843145073E9	264.1909307875895
1.849958918E9	229.43050556983718
1.856772763E9	236.39962476547842
1.863586608E9	219.92643645826007
1.870400453E9	225.26931606493392
1.877214298E9	239.1943932006852
1.884028143E9	244.6304412641622
1.890841988E9	234.07737014166364
1.897655833E9	248.4296707105719
1.904469678E9	245.79033619355747
1.910723823E9	218.2316240377452
1.9141307455E9	0.0
1.918097368E9	222.06094968107726
1.924911213E9	229.85136955545576
1.931725058E9	221.71498398786449
1.938538903E9	245.17198879551822
1.945352748E9	214.62871182871183
1.952166593E9	228.86102679160618
1.958980438E9	227.1190672719769
1.965794283E9	218.14111995195915
1.972608128E9	228.32043240357666
1.979421973E9	231.90321161460625
1.986235818E9	226.75825509873746
1.993049663E9	261.0615671641791
1.999863508E9	237.38580630579727
2.006677353E9	227.47806544408485
2.013491198E9	221.39416432045047
2.020305043E9	243.33465327409698
2.027118888E9	240.58586244541485
2.033932733E9	233.70009108850766
2.040746578E9	244.13415101571482
2.047560423E9	222.529671980636
2.054374268E9	227.1872992340005
2.060544391E9	228.2727930535456
2.0639513135E9	0.0
2.068001958E9	258.03541090006684
2.074815803E9	254.2000685166153
2.081629648E9	264.97252801745515
2.088443493E9	252.48710043074132
2.095257338E9	253.04237978810107
2.102071183E9	244.99963463646327
2.108885028E9	248.29367148613414
2.115698873E9	236.16367265469063
2.122512718E9	277.2892081932131
2.129326563E9	215.29435462496687
2.136140408E9	223.5685621659511
2.142954253E9	223.29865206402695
2.149768098E9	230.48492569002124
2.156581943E9	224.1972863953062
2.163395788E9	227.66787933506825
2.170209633E9	253.2750437172121
2.177023478E9	219.2388881717654
2.183837323E9	220.85438066465258
2.190651168E9	240.10555449513265
2.197465013E9	228.8041825095057
2.204278858E9	242.55193463561233
2.2082174155E9	227.99884659746252
2.211624338E9	241.72150614631818
2.217906548E9	228.29589102277802
2.224720393E9	228.04014272970562
2.231534238E9	223.33790770717565
2.238348083E9	250.1448484848485
2.245161928E9	219.12139863803037
2.251975773E9	245.20365273955466
2.258789618E9	225.67824551074477
2.265603463E9	232.75040257648953
2.272417308E9	250.74783683559951
2.279231153E9	252.6398784766176
2.286044998E9	230.48272066916135
2.292858843E9	226.69835583136077
2.299672688E9	243.50317092812563
2.306486533E9	257.72813144943643
2.313300378E9	239.77129100210652
2.320114223E9	224.49972679254446
2.326928068E9	216.68304114925738
2.333741913E9	232.485729740049
2.3376495495E9	237.28112449799198
2.341056472E9	698.8241486068111
2.347369603E9	229.055330136481
2.354183448E9	213.76654206995568
2.360997293E9	247.45265165407469
2.367811138E9	223.74587833996588
2.374624983E9	230.49454875832828
2.381438828E9	244.5665840356966
2.388252673E9	247.54743565658464
2.395066518E9	239.0108380399939
2.401880363E9	240.22613748184247
2.408694208E9	238.31819832909554
2.415508053E9	228.74276056338027
2.422321898E9	248.34758215335293
2.429135743E9	249.8398856325947
2.435949588E9	216.2181567389016
2.442763433E9	248.85933912349006
2.449577278E9	239.40858052119611
2.456391123E9	231.0066815144766
2.4612717095E9	237.196993385448
2.462753523E9	0.0
2.4646867815E9	267.45669291338584
2.470018813E9	245.6390131071704
2.476832658E9	238.00102218133497
2.483646503E9	246.49686147186148
2.490460348E9	279.5771495877503
2.497274193E9	236.91827956989246
2.504088038E9	232.37493304767005
2.510901883E9	244.75767571682314
2.517715728E9	229.50995234090271
2.524529573E9	240.48399348887682
2.531343418E9	234.8169688676018
2.538157263E9	246.00174969123097
