"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000153","cytoplasmic ubiquitin ligase complex","1/29","11/23416",0.0135419909178036,0.0135419909178036,0.210257227408004,"Neurl2",1
"GO:0030688","preribosome, small subunit precursor","1/29","11/23416",0.0135419909178036,0.0135419909178036,0.210257227408004,"Nop14",1
"GO:0031010","ISWI-type complex","1/29","11/23416",0.0135419909178036,0.0135419909178036,0.210257227408004,"Rsf1",1
"GO:0032591","dendritic spine membrane","1/29","11/23416",0.0135419909178036,0.0135419909178036,0.210257227408004,"Gper1",1
"GO:0044327","dendritic spine head","1/29","15/23416",0.0184223129189885,0.0184223129189885,0.228824518362174,"Gper1",1
"GO:0030686","90S preribosome","1/29","29/23416",0.0353205309267549,0.0353205309267549,0.292847389099349,"Nop14",1
"GO:0032040","small-subunit processome","1/29","37/23416",0.0448501812768827,0.0448501812768827,0.292847389099349,"Nop14",1
"GO:0000151","ubiquitin ligase complex","2/29","275/23416",0.0453154797754734,0.0453154797754734,0.292847389099349,"Neurl2/Otulin",2
"GO:0000307","cyclin-dependent protein kinase holoenzyme complex","1/29","42/23416",0.0507599870690861,0.0507599870690861,0.292847389099349,"Ccni",1
"GO:0045095","keratin filament","1/29","43/23416",0.0519377042067174,0.0519377042067174,0.292847389099349,"Gper1",1
"GO:0032590","dendrite membrane","1/29","47/23416",0.0566344804258642,0.0566344804258642,0.292847389099349,"Gper1",1
"GO:0098686","hippocampal mossy fiber to CA3 synapse","1/29","48/23416",0.0578051595335557,0.0578051595335557,0.292847389099349,"Gper1",1
"GO:0043198","dendritic shaft","1/29","67/23416",0.0797833827421468,0.0797833827421468,0.292847389099349,"Gper1",1
"GO:0032589","neuron projection membrane","1/29","68/23416",0.0809263131417559,0.0809263131417559,0.292847389099349,"Gper1",1
"GO:0030684","preribosome","1/29","76/23416",0.09002054568881,0.09002054568881,0.292847389099349,"Nop14",1
"GO:0070603","SWI/SNF superfamily-type complex","1/29","76/23416",0.09002054568881,0.09002054568881,0.292847389099349,"Rsf1",1
"GO:0000123","histone acetyltransferase complex","1/29","81/23416",0.0956602539571103,0.0956602539571103,0.292847389099349,"Rsf1",1
"GO:1902554","serine/threonine protein kinase complex","1/29","82/23416",0.0967841387925606,0.0967841387925606,0.292847389099349,"Ccni",1
"GO:0048786","presynaptic active zone","1/29","89/23416",0.104613658459553,0.104613658459553,0.292847389099349,"Gper1",1
"GO:0031248","protein acetyltransferase complex","1/29","91/23416",0.106838601168371,0.106838601168371,0.292847389099349,"Rsf1",1
"GO:1902493","acetyltransferase complex","1/29","91/23416",0.106838601168371,0.106838601168371,0.292847389099349,"Rsf1",1
"GO:1904949","ATPase complex","1/29","94/23416",0.110166009285483,0.110166009285483,0.292847389099349,"Rsf1",1
"GO:0005765","lysosomal membrane","1/29","96/23416",0.112377628737591,0.112377628737591,0.292847389099349,"Tpcn1",1
"GO:0098852","lytic vacuole membrane","1/29","97/23416",0.113481447295335,0.113481447295335,0.292847389099349,"Tpcn1",1
"GO:1902911","protein kinase complex","1/29","101/23416",0.117883482900162,0.117883482900162,0.292847389099349,"Ccni",1
"GO:0044433","cytoplasmic vesicle part","2/29","496/23416",0.125141752471353,0.125141752471353,0.298921594972057,"Tpcn1/Gper1",2
"GO:0005882","intermediate filament","1/29","127/23416",0.145986539541129,0.145986539541129,0.326163482378935,"Gper1",1
"GO:0001650","fibrillar center","1/29","128/23416",0.14704997680135,0.14704997680135,0.326163482378935,"Ubtf",1
"GO:0055037","recycling endosome","1/29","133/23416",0.15234801359418,0.15234801359418,0.326262533649967,"Gper1",1
"GO:0031256","leading edge membrane","1/29","148/23416",0.168052175967391,0.168052175967391,0.32806071267322,"Gper1",1
"GO:0005774","vacuolar membrane","1/29","152/23416",0.172192277238588,0.172192277238588,0.32806071267322,"Tpcn1",1
"GO:0005924","cell-substrate adherens junction","1/29","153/23416",0.173224190235497,0.173224190235497,0.32806071267322,"Neurl2",1
"GO:0030055","cell-substrate junction","1/29","160/23416",0.180412884727294,0.180412884727294,0.32806071267322,"Neurl2",1
"GO:0044437","vacuolar part","1/29","162/23416",0.182455688089028,0.182455688089028,0.32806071267322,"Tpcn1",1
"GO:0045111","intermediate filament cytoskeleton","1/29","165/23416",0.185510678275321,0.185510678275321,0.32806071267322,"Gper1",1
"GO:0044452","nucleolar part","1/29","180/23416",0.20062104017481,0.20062104017481,0.32806071267322,"Ubtf",1
"GO:0043679","axon terminus","1/29","181/23416",0.201618715757308,0.201618715757308,0.32806071267322,"Gper1",1
"GO:0043197","dendritic spine","1/29","190/23416",0.210543860845644,0.210543860845644,0.32806071267322,"Gper1",1
"GO:0044309","neuron spine","1/29","193/23416",0.213497443577445,0.213497443577445,0.32806071267322,"Gper1",1
"GO:0010008","endosome membrane","1/29","196/23416",0.216440355770294,0.216440355770294,0.32806071267322,"Tpcn1",1
"GO:0042734","presynaptic membrane","1/29","198/23416",0.218396387519613,0.218396387519613,0.32806071267322,"Gper1",1
"GO:0044306","neuron projection terminus","1/29","202/23416",0.22229431712615,0.22229431712615,0.32806071267322,"Gper1",1
"GO:0005802","trans-Golgi network","1/29","207/23416",0.227140340893238,0.227140340893238,0.32806071267322,"Gper1",1
"GO:0044440","endosomal part","1/29","219/23416",0.238652141265029,0.238652141265029,0.336853500828629,"Tpcn1",1
"GO:0061695","transferase complex, transferring phosphorus-containing groups","1/29","247/23416",0.264872817121636,0.264872817121636,0.360091691977176,"Ccni",1
"GO:0005769","early endosome","1/29","249/23416",0.266711982023773,0.266711982023773,0.360091691977176,"Gper1",1
