#Mapping quality	mapping quality
0.0	216143.0
1.0	7764853.0
2.0	55220.0
3.0	62116.0
4.0	32428.0
5.0	19794.0
6.0	205079.0
7.0	111736.0
8.0	91795.0
9.0	34385.0
10.0	40521.0
11.0	96386.0
12.0	215043.0
13.0	21086.0
14.0	54175.0
15.0	144300.0
16.0	101709.0
17.0	171789.0
18.0	165189.0
19.0	34954.0
20.0	57389.0
21.0	300566.0
22.0	84009.0
23.0	324218.0
24.0	541613.0
25.0	134709.0
26.0	113201.0
27.0	112571.0
28.0	173918.0
29.0	131479.0
30.0	1008069.0
31.0	881642.0
32.0	1049339.0
33.0	614598.0
34.0	917227.0
35.0	726204.0
36.0	852233.0
37.0	806359.0
38.0	1052630.0
39.0	900497.0
40.0	2115937.0
41.0	5254631.0
42.0	1.33985734E8
