ID,count
ENSMUSE00001343744,0
ENSMUSE00000522066,0
ENSMUSE00001339323,0
ENSMUSE00000869502,0
ENSMUSE00001343235,2
ENSMUSE00001341983,0
ENSMUSE00001342074,0
ENSMUSE00001345089,0
ENSMUSE00001336948,0
ENSMUSE00001341225,5
ENSMUSE00001004195,0
ENSMUSE00001345236,0
ENSMUSE00001345397,6
ENSMUSE00000837314,292
ENSMUSE00001255376,287
ENSMUSE00000730558,951
ENSMUSE00001230529,227
ENSMUSE00000777602,51
ENSMUSE00000703287,895
ENSMUSE00001206040,891
ENSMUSE00000747600,1
ENSMUSE00000912814,0
ENSMUSE00001338479,587
ENSMUSE00000385288,587
ENSMUSE00001342184,478
ENSMUSE00000230808,111
ENSMUSE00001341886,24
ENSMUSE00001345433,141
ENSMUSE00001341804,1
ENSMUSE00001342914,0
ENSMUSE00001343112,0
ENSMUSE00000154063,0
ENSMUSE00000554252,0
ENSMUSE00000863532,0
ENSMUSE00000863721,82
ENSMUSE00000230531,393
ENSMUSE00000997941,164
ENSMUSE00000154068,312
ENSMUSE00000848395,61
ENSMUSE00001276978,178
ENSMUSE00000858689,19
ENSMUSE00000850861,108
ENSMUSE00000854166,12
ENSMUSE00001254227,13
ENSMUSE00001243306,55
ENSMUSE00001310124,31
ENSMUSE00001246930,21
ENSMUSE00001054859,3
ENSMUSE00001344827,1
ENSMUSE00000824119,116
ENSMUSE00000794948,116
ENSMUSE00000630855,4
ENSMUSE00000630853,4
ENSMUSE00000796004,1
ENSMUSE00000746001,0
ENSMUSE00000775067,0
ENSMUSE00000730905,0
ENSMUSE00001339893,0
ENSMUSE00001339810,6
ENSMUSE00001337469,0
ENSMUSE00001337169,0
ENSMUSE00001341158,0
ENSMUSE00001343950,1
ENSMUSE00000630850,322
ENSMUSE00001298878,304
ENSMUSE00001253077,285
ENSMUSE00001289349,316
ENSMUSE00001273110,111
ENSMUSE00001339503,31
ENSMUSE00001237796,46
ENSMUSE00001304350,42
ENSMUSE00000501172,27
ENSMUSE00000664209,0
ENSMUSE00001344861,0
ENSMUSE00001345188,0
ENSMUSE00001344143,2
ENSMUSE00001346220,0
ENSMUSE00001338294,4
ENSMUSE00001339509,0
ENSMUSE00001341492,6
ENSMUSE00000660495,4
ENSMUSE00001337974,0
ENSMUSE00001340748,0
ENSMUSE00001344273,6
ENSMUSE00000522850,0
ENSMUSE00000463933,85
ENSMUSE00000754750,137
ENSMUSE00001146417,137
ENSMUSE00001238822,57
ENSMUSE00000713089,33
ENSMUSE00000553798,0
ENSMUSE00001104564,9
ENSMUSE00001144804,9
ENSMUSE00001175967,0
ENSMUSE00001320401,239
ENSMUSE00000553717,239
ENSMUSE00001332231,6
ENSMUSE00001317996,84
ENSMUSE00001323164,33
ENSMUSE00001328436,28
ENSMUSE00000441750,3
ENSMUSE00000403774,3
ENSMUSE00001272844,1
ENSMUSE00001338319,0
ENSMUSE00000793282,0
ENSMUSE00001330861,9
ENSMUSE00001328527,39
ENSMUSE00001308033,874
ENSMUSE00000813321,115
ENSMUSE00001290187,97
ENSMUSE00001291361,77
ENSMUSE00001255443,833
ENSMUSE00001375985,81
ENSMUSE00001329916,90
ENSMUSE00001335581,128
ENSMUSE00001296903,106
ENSMUSE00001264927,154
ENSMUSE00001232269,9
ENSMUSE00001319119,136
ENSMUSE00001320539,46
ENSMUSE00000437961,218
ENSMUSE00000842702,30
ENSMUSE00000785480,13
ENSMUSE00001214644,16
ENSMUSE00000757737,13
ENSMUSE00000846663,0
ENSMUSE00000714198,0
ENSMUSE00001328030,1
ENSMUSE00001332127,0
ENSMUSE00000847095,0
ENSMUSE00000604640,15
ENSMUSE00001323408,0
ENSMUSE00001327265,1
ENSMUSE00001329717,0
ENSMUSE00001322541,7
ENSMUSE00000317484,7
ENSMUSE00001319596,0
ENSMUSE00001323222,0
ENSMUSE00000728032,25
ENSMUSE00001265206,2
ENSMUSE00001321665,25
ENSMUSE00001338877,0
ENSMUSE00001324278,5
ENSMUSE00001318393,1
ENSMUSE00001339941,0
ENSMUSE00001323765,1
ENSMUSE00001002979,0
ENSMUSE00001315176,0
ENSMUSE00001117731,1
ENSMUSE00001310078,0
ENSMUSE00001114091,0
ENSMUSE00001332287,1
ENSMUSE00000360632,1
ENSMUSE00000412216,1
ENSMUSE00001331115,0
ENSMUSE00000630782,0
ENSMUSE00000576165,0
ENSMUSE00001331416,0
ENSMUSE00001317776,0
ENSMUSE00001331848,2
ENSMUSE00000553058,0
ENSMUSE00000847868,0
ENSMUSE00000966774,0
ENSMUSE00001325743,1
ENSMUSE00000458133,1
ENSMUSE00001343997,1
ENSMUSE00000712472,60
ENSMUSE00000959346,7
ENSMUSE00000901644,7
ENSMUSE00001338186,0
ENSMUSE00001338750,0
ENSMUSE00000664342,0
ENSMUSE00001323159,0
ENSMUSE00001335144,420
ENSMUSE00001328383,195
ENSMUSE00000323790,416
ENSMUSE00001332309,183
ENSMUSE00001339118,14
ENSMUSE00000847453,0
ENSMUSE00001333874,0
ENSMUSE00000333451,193
ENSMUSE00000752331,13
ENSMUSE00001330863,0
ENSMUSE00000851730,0
ENSMUSE00000856646,0
ENSMUSE00001344677,0
ENSMUSE00001129360,0
ENSMUSE00000955715,169
ENSMUSE00000949710,149
ENSMUSE00000962983,169
ENSMUSE00000956845,11
ENSMUSE00001323570,1
ENSMUSE00000153123,6
ENSMUSE00000153122,6
ENSMUSE00001321406,14
ENSMUSE00001342986,0
ENSMUSE00001335933,0
ENSMUSE00000744355,0
ENSMUSE00000153118,0
ENSMUSE00001320519,0
ENSMUSE00001333532,0
ENSMUSE00001322417,0
ENSMUSE00001326895,5
ENSMUSE00000848044,0
ENSMUSE00000552637,1
ENSMUSE00000853181,1
ENSMUSE00000343325,1
ENSMUSE00001319771,1
ENSMUSE00001331993,2
ENSMUSE00001335677,0
ENSMUSE00001322495,0
ENSMUSE00001320153,0
ENSMUSE00000320302,3
ENSMUSE00000739065,2
ENSMUSE00000335163,0
ENSMUSE00000456367,0
ENSMUSE00001328637,0
ENSMUSE00001335930,0
ENSMUSE00001329976,1
ENSMUSE00001330333,137
ENSMUSE00001345365,0
ENSMUSE00001332535,0
ENSMUSE00001431675,0
ENSMUSE00000522784,0
ENSMUSE00001333839,0
ENSMUSE00000522705,0
ENSMUSE00000154269,0
ENSMUSE00001327913,4
ENSMUSE00001322052,0
ENSMUSE00000702429,53
ENSMUSE00000359134,18
ENSMUSE00001324966,0
ENSMUSE00000866389,0
ENSMUSE00000307757,3
ENSMUSE00001322050,0
ENSMUSE00001335804,1
ENSMUSE00000869172,3
ENSMUSE00000154283,3
ENSMUSE00001337510,0
ENSMUSE00000783693,0
ENSMUSE00001250100,0
ENSMUSE00001323225,0
ENSMUSE00001335002,0
ENSMUSE00001057894,0
ENSMUSE00000552033,0
ENSMUSE00000801083,0
ENSMUSE00001043125,0
ENSMUSE00000604341,0
ENSMUSE00000777650,0
ENSMUSE00001080066,0
ENSMUSE00000812190,0
ENSMUSE00000746613,0
ENSMUSE00001159547,3
ENSMUSE00001335324,0
ENSMUSE00001166640,0
ENSMUSE00000848063,0
ENSMUSE00000522630,0
ENSMUSE00001299960,0
ENSMUSE00000522792,0
ENSMUSE00001325996,0
ENSMUSE00001141295,0
ENSMUSE00001329771,0
ENSMUSE00000843988,1
ENSMUSE00000828983,2
ENSMUSE00000415509,1
ENSMUSE00001341802,0
ENSMUSE00001339614,0
ENSMUSE00001341604,0
ENSMUSE00001106756,0
ENSMUSE00000779838,0
ENSMUSE00000630577,0
ENSMUSE00000771935,0
ENSMUSE00000824430,0
ENSMUSE00000438739,487
ENSMUSE00001332512,280
ENSMUSE00000604180,490
ENSMUSE00001328337,101
ENSMUSE00000604170,104
ENSMUSE00001325958,0
ENSMUSE00000718074,0
ENSMUSE00000722672,0
ENSMUSE00001343258,0
ENSMUSE00001327480,0
ENSMUSE00000846621,0
ENSMUSE00001335968,0
ENSMUSE00001318485,21
ENSMUSE00001346211,0
ENSMUSE00000515713,0
ENSMUSE00001322232,0
ENSMUSE00000707877,0
ENSMUSE00001317458,0
ENSMUSE00001328586,0
ENSMUSE00001073847,0
ENSMUSE00001331888,19
ENSMUSE00001334083,0
ENSMUSE00001324309,0
ENSMUSE00001335396,0
ENSMUSE00000357611,0
ENSMUSE00001319148,0
ENSMUSE00000155452,0
ENSMUSE00001335421,1
ENSMUSE00001320447,0
ENSMUSE00000974500,0
ENSMUSE00001324636,0
ENSMUSE00000604018,17
ENSMUSE00000710475,0
ENSMUSE00001330080,13
ENSMUSE00001327350,2
ENSMUSE00000314986,4
ENSMUSE00001321831,3
ENSMUSE00001343665,0
ENSMUSE00001345284,2
ENSMUSE00001340606,0
ENSMUSE00001339568,0
ENSMUSE00001340659,0
ENSMUSE00000847905,0
ENSMUSE00001337817,1
ENSMUSE00001336080,10
ENSMUSE00000847260,0
ENSMUSE00001324065,0
ENSMUSE00000522448,0
ENSMUSE00001321351,9
ENSMUSE00000522485,0
ENSMUSE00001331817,0
ENSMUSE00001331516,0
ENSMUSE00001341333,2
ENSMUSE00001344311,2
ENSMUSE00000838203,32
ENSMUSE00000314015,131
ENSMUSE00001291302,42
ENSMUSE00001259247,13
ENSMUSE00000797594,24
ENSMUSE00001341229,0
ENSMUSE00001209361,174
ENSMUSE00001339858,1
ENSMUSE00001370886,84
ENSMUSE00001372034,156
ENSMUSE00001254967,80
ENSMUSE00001343440,3
ENSMUSE00001337074,10
ENSMUSE00001355270,0
ENSMUSE00001240522,19
ENSMUSE00001373845,81
ENSMUSE00001229339,5
ENSMUSE00001321242,8
ENSMUSE00001371641,26
ENSMUSE00001374678,24
ENSMUSE00001318670,2
ENSMUSE00001375945,2
ENSMUSE00001375622,4
ENSMUSE00001337147,0
ENSMUSE00001326203,0
ENSMUSE00000701649,322
ENSMUSE00001329092,76
ENSMUSE00001341456,172
ENSMUSE00001211447,149
