#Duplication rate	Coverage
1.0	1.3994114E7
2.0	2182204.0
3.0	453347.0
4.0	140493.0
5.0	58520.0
6.0	29698.0
7.0	17266.0
8.0	11151.0
9.0	7672.0
10.0	5609.0
11.0	4215.0
12.0	3162.0
13.0	2525.0
14.0	1971.0
15.0	1702.0
16.0	1404.0
17.0	1248.0
18.0	1067.0
19.0	949.0
20.0	811.0
21.0	687.0
22.0	613.0
23.0	557.0
24.0	524.0
25.0	523.0
26.0	436.0
27.0	404.0
28.0	360.0
29.0	317.0
30.0	329.0
31.0	280.0
32.0	285.0
33.0	222.0
34.0	221.0
35.0	224.0
36.0	218.0
37.0	187.0
38.0	191.0
39.0	170.0
40.0	191.0
41.0	141.0
42.0	146.0
43.0	165.0
44.0	115.0
45.0	137.0
46.0	130.0
47.0	144.0
48.0	112.0
49.0	119.0
50.0	10416.0
